Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.1731876586609449 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 15:03:13.646698 True [    2927.172418] 0003 0036 00000436
2022-04-06 15:03:13.653356 True [    2927.180795] 0003 0035 000003a0
2022-04-06 15:03:13.653356 True [    2927.180795] 0003 0036 00000435
2022-04-06 15:03:13.662627 True [    2927.188900] 0003 0036 00000434
2022-04-06 15:03:13.670854 True [    2927.197795] 0003 0035 0000039f
2022-04-06 15:03:13.670854 True [    2927.197795] 0003 0036 00000433
2022-04-06 15:03:13.677058 True [    2927.205511] 0003 0036 00000432
2022-04-06 15:03:13.686351 True [    2927.213972] 0003 0035 0000039e
2022-04-06 15:03:13.686351 True [    2927.213972] 0003 0036 00000431
2022-04-06 15:03:13.693574 True [    2927.222118] 0003 0036 00000430
2022-04-06 15:03:13.710673 True [    2927.238860] 0003 0035 0000039d
2022-04-06 15:03:13.710673 True [    2927.238860] 0003 0036 0000042f
2022-04-06 15:03:13.718581 True [    2927.247223] 0003 0035 0000039c
2022-04-06 15:03:13.728673 True [    2927.255648] 0003 0035 0000039b
2022-04-06 15:03:13.738999 True [    2927.265380] 0003 0035 0000039a
2022-04-06 15:03:13.738999 True [    2927.265380] 0003 0036 0000042e
2022-04-06 15:03:13.745494 True [    2927.272042] 0003 0035 00000398
2022-04-06 15:03:13.754462 True [    2927.281715] 0003 0035 00000392
2022-04-06 15:03:13.754462 True [    2927.281715] 0003 0036 0000042b
2022-04-06 15:03:13.760564 True [    2927.288624] 0003 0035 0000038e
2022-04-06 15:03:13.760564 True [    2927.288624] 0003 0036 00000429
2022-04-06 15:03:13.768846 True [    2927.297101] 0003 0035 00000389
2022-04-06 15:03:13.776676 True [    2927.305247] 0003 0035 00000386
2022-04-06 15:03:13.785507 True [    2927.313888] 0003 0035 00000383
2022-04-06 15:03:13.793437 True [    2927.321855] 0003 0035 0000037e
2022-04-06 15:03:13.793437 True [    2927.321855] 0003 0036 0000042a
2022-04-06 15:03:13.801307 True [    2927.330305] 0003 0035 0000037b
2022-04-06 15:03:13.811166 True [    2927.338857] 0003 0035 00000375
2022-04-06 15:03:13.811166 True [    2927.338857] 0003 0036 0000042b
2022-04-06 15:03:13.821631 True [    2927.348121] 0003 0035 00000371
2022-04-06 15:03:13.821631 True [    2927.348121] 0003 0036 0000042c
2022-04-06 15:03:13.826899 True [    2927.355128] 0003 0035 00000367
2022-04-06 15:03:13.826899 True [    2927.355128] 0003 0036 0000042f
2022-04-06 15:03:13.835211 True [    2927.364306] 0003 0035 0000035c
2022-04-06 15:03:13.835211 True [    2927.364306] 0003 0036 00000432
2022-04-06 15:03:13.843261 True [    2927.371721] 0003 0035 00000355
2022-04-06 15:03:13.843261 True [    2927.371721] 0003 0036 00000434
2022-04-06 15:03:13.853987 True [    2927.381543] 0003 0035 0000034e
2022-04-06 15:03:13.859504 True [    2927.388479] 0003 0035 00000347
2022-04-06 15:03:13.859504 True [    2927.388479] 0003 0036 00000435
2022-04-06 15:03:13.868829 True [    2927.397049] 0003 0035 0000033c
2022-04-06 15:03:13.868829 True [    2927.397049] 0003 0036 00000438
2022-04-06 15:03:13.875652 True [    2927.404961] 0003 0035 00000335
2022-04-06 15:03:13.875652 True [    2927.404961] 0003 0036 0000043a
2022-04-06 15:03:13.886533 True [    2927.413395] 0003 0035 0000032b
2022-04-06 15:03:13.886533 True [    2927.413395] 0003 0036 0000043c
2022-04-06 15:03:13.893427 True [    2927.421577] 0003 0035 00000323
2022-04-06 15:03:13.893427 True [    2927.421577] 0003 0036 0000043d
2022-04-06 15:03:13.902553 True [    2927.430029] 0003 0035 0000031c
2022-04-06 15:03:13.902553 True [    2927.430029] 0003 0036 0000043f
2022-04-06 15:03:13.909604 True [    2927.438185] 0003 0035 00000317
2022-04-06 15:03:13.909604 True [    2927.438185] 0003 0036 00000441
2022-04-06 15:03:13.918155 True [    2927.446620] 0003 0035 00000310
2022-04-06 15:03:13.918155 True [    2927.446620] 0003 0036 00000444
2022-04-06 15:03:13.926653 True [    2927.455047] 0003 0035 00000306
2022-04-06 15:03:13.926653 True [    2927.455047] 0003 0036 00000446
2022-04-06 15:03:13.934747 True [    2927.463861] 0003 0035 00000300
2022-04-06 15:03:13.934747 True [    2927.463861] 0003 0036 00000448
2022-04-06 15:03:13.944406 True [    2927.471427] 0003 0035 000002f8
2022-04-06 15:03:13.944406 True [    2927.471427] 0003 0036 0000044a
2022-04-06 15:03:13.950661 True [    2927.480674] 0003 0035 000002f1
2022-04-06 15:03:13.951653 True [    2927.480674] 0003 0036 0000044c
2022-04-06 15:03:13.960507 True [    2927.488063] 0003 0035 000002eb
2022-04-06 15:03:13.960507 True [    2927.488063] 0003 0036 00000450
2022-04-06 15:03:13.969785 True [    2927.497069] 0003 0035 000002e6
2022-04-06 15:03:13.969785 True [    2927.497069] 0003 0036 00000453
2022-04-06 15:03:13.977180 True [    2927.504658] 0003 0035 000002e3
2022-04-06 15:03:13.977180 True [    2927.504658] 0003 0036 00000455
2022-04-06 15:03:13.986907 True [    2927.514404] 0003 0035 000002e1
2022-04-06 15:03:13.986907 True [    2927.514404] 0003 0036 00000456
2022-04-06 15:03:13.992230 True [    2927.521272] 0003 0035 000002df
2022-04-06 15:03:13.992230 True [    2927.521272] 0003 0036 00000457
2022-04-06 15:03:14.001854 True [    2927.529936] 0003 0035 000002dd
2022-04-06 15:03:14.001854 True [    2927.529936] 0003 0036 00000459
2022-04-06 15:03:14.009457 True [    2927.537895] 0003 0035 000002db
2022-04-06 15:03:14.009457 True [    2927.537895] 0003 0036 0000045a
2022-04-06 15:03:14.018063 True [    2927.546829] 0003 0035 000002da
2022-04-06 15:03:14.026923 True [    2927.554710] 0003 0035 000002d8
2022-04-06 15:03:14.026923 True [    2927.554710] 0003 0036 0000045b
2022-04-06 15:03:14.034369 True [    2927.563683] 0003 0036 0000045c
2022-04-06 15:03:14.044475 True [    2927.571363] 0003 0035 000002d7
2022-04-06 15:03:14.044475 True [    2927.571363] 0003 0036 0000045d
