Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.4163548765100455 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:43:38.549522 False [   18147.873819] 0003 0036 000005ff
2022-04-07 18:43:38.559916 False [   18147.882168] 0003 0035 0000049c
2022-04-07 18:43:38.559916 False [   18147.882168] 0003 0036 0000061a
2022-04-07 18:43:38.569301 False [   18147.890268] 0003 0035 0000049b
2022-04-07 18:43:38.569301 False [   18147.890268] 0003 0036 00000633
2022-04-07 18:43:38.574727 False [   18147.898640] 0003 0035 0000049a
2022-04-07 18:43:38.574727 False [   18147.898640] 0003 0036 0000064b
2022-04-07 18:43:38.581674 False [   18147.906734] 0003 0035 00000499
2022-04-07 18:43:38.581674 False [   18147.906734] 0003 0036 00000662
2022-04-07 18:43:38.590373 False [   18147.915707] 0003 0035 00000498
2022-04-07 18:43:38.590373 False [   18147.915707] 0003 0036 00000679
2022-04-07 18:43:38.599213 False [   18147.923354] 0003 0035 00000497
2022-04-07 18:43:38.599213 False [   18147.923354] 0003 0036 0000068f
2022-04-07 18:43:38.608087 False [   18147.931793] 0003 0035 00000495
2022-04-07 18:43:38.608087 False [   18147.931793] 0003 0036 000006a5
2022-04-07 18:43:38.616051 False [   18147.940198] 0003 0035 00000493
2022-04-07 18:43:38.616051 False [   18147.940198] 0003 0036 000006ba
2022-04-07 18:43:38.623925 False [   18147.948343] 0003 0035 00000491
2022-04-07 18:43:38.623925 False [   18147.948343] 0003 0036 000006cd
2022-04-07 18:43:38.630347 False [   18147.956554] 0003 0035 00000490
2022-04-07 18:43:38.630347 False [   18147.956554] 0003 0036 000006df
2022-04-07 18:43:38.641177 False [   18147.965185] 0003 0035 0000048f
2022-04-07 18:43:38.641177 False [   18147.965185] 0003 0036 000006f1
2022-04-07 18:43:38.649569 False [   18147.973209] 0003 0035 0000048e
2022-04-07 18:43:38.649569 False [   18147.973209] 0003 0036 00000702
2022-04-07 18:43:38.657869 False [   18147.981635] 0003 0035 0000048d
2022-04-07 18:43:38.657869 False [   18147.981635] 0003 0036 0000070c
2022-04-07 18:43:38.665547 False [   18147.989912] 0003 0036 0000071d
2022-04-07 18:43:38.675197 False [   18147.999259] 0003 0036 00000727
2022-04-07 18:43:38.684623 False [   18148.006982] 0003 0035 0000048c
2022-04-07 18:43:38.684623 False [   18148.006982] 0003 0036 00000739
2022-04-07 18:43:38.691721 False [   18148.014906] 0003 0036 00000744
2022-04-07 18:43:38.698075 False [   18148.023033] 0003 0036 00000754
2022-04-07 18:43:38.706646 False [   18148.031898] 0003 0036 0000075f
2022-04-07 18:43:38.714972 False [   18148.039626] 0003 0036 0000076d
2022-04-07 18:43:38.725462 False [   18148.048351] 0003 0036 00000777
2022-04-07 18:43:38.733719 False [   18148.056523] 0003 0036 00000787
2022-04-07 18:43:38.742874 False [   18148.066142] 0003 0036 00000791
2022-04-07 18:43:38.748131 False [   18148.072948] 0003 0036 0000079b
2022-04-07 18:43:38.756471 False [   18148.081571] 0003 0036 000007a3
2022-04-07 18:43:38.764581 False [   18148.089497] 0003 0035 0000048d
2022-04-07 18:43:38.764581 False [   18148.089497] 0003 0036 000007ae
2022-04-07 18:43:38.774096 False [   18148.098512] 0003 0035 0000048e
2022-04-07 18:43:38.774096 False [   18148.098512] 0003 0036 000007b5
2022-04-07 18:43:38.783815 False [   18148.106327] 0003 0035 0000048f
2022-04-07 18:43:38.783815 False [   18148.106327] 0003 0036 000007bf
2022-04-07 18:43:38.793090 False [   18148.114861] 0003 0035 00000490
2022-04-07 18:43:38.793090 False [   18148.114861] 0003 0036 000007c7
2022-04-07 18:43:38.797185 False [   18148.122791] 0003 0035 00000491
2022-04-07 18:43:38.798189 False [   18148.122791] 0003 0036 000007cc
2022-04-07 18:43:39.284695 False [   18148.604968] 0003 0035 000004c1
2022-04-07 18:43:39.284695 False [   18148.604968] 0003 0036 000002ec
2022-04-07 18:43:39.296978 False [   18148.621001] 0003 0036 000002ef
2022-04-07 18:43:39.306591 False [   18148.629454] 0003 0035 000004c0
2022-04-07 18:43:39.306591 False [   18148.629454] 0003 0036 000002f2
2022-04-07 18:43:39.315276 False [   18148.637685] 0003 0035 000004bf
2022-04-07 18:43:39.315276 False [   18148.637685] 0003 0036 000002fb
2022-04-07 18:43:39.321879 False [   18148.646119] 0003 0035 000004be
2022-04-07 18:43:39.321879 False [   18148.646119] 0003 0036 00000303
2022-04-07 18:43:39.329988 False [   18148.654354] 0003 0036 0000030d
2022-04-07 18:43:39.339586 False [   18148.662762] 0003 0036 00000315
2022-04-07 18:43:39.347112 False [   18148.671051] 0003 0035 000004bf
2022-04-07 18:43:39.347112 False [   18148.671051] 0003 0036 00000322
2022-04-07 18:43:39.356363 False [   18148.679456] 0003 0035 000004c0
2022-04-07 18:43:39.356363 False [   18148.679456] 0003 0036 0000032b
2022-04-07 18:43:39.364077 False [   18148.687568] 0003 0035 000004c1
2022-04-07 18:43:39.364077 False [   18148.687568] 0003 0036 00000339
2022-04-07 18:43:39.373177 False [   18148.696040] 0003 0035 000004c2
2022-04-07 18:43:39.373177 False [   18148.696040] 0003 0036 00000343
2022-04-07 18:43:39.382370 False [   18148.704306] 0003 0035 000004c5
2022-04-07 18:43:39.382370 False [   18148.704306] 0003 0036 00000354
2022-04-07 18:43:39.388152 False [   18148.712715] 0003 0035 000004c6
2022-04-07 18:43:39.388152 False [   18148.712715] 0003 0036 00000366
2022-04-07 18:43:39.397121 False [   18148.720834] 0003 0035 000004c8
2022-04-07 18:43:39.397121 False [   18148.720834] 0003 0036 00000370
2022-04-07 18:43:39.405324 False [   18148.729358] 0003 0035 000004c9
2022-04-07 18:43:39.405324 False [   18148.729358] 0003 0036 00000384
2022-04-07 18:43:39.414325 False [   18148.737564] 0003 0035 000004cc
2022-04-07 18:43:39.414325 False [   18148.737564] 0003 0036 00000398
2022-04-07 18:43:39.423402 False [   18148.745899] 0003 0035 000004cd
2022-04-07 18:43:39.423402 False [   18148.745899] 0003 0036 000003aa
2022-04-07 18:43:39.430225 False [   18148.754116] 0003 0035 000004cf
2022-04-07 18:43:39.430225 False [   18148.754116] 0003 0036 000003bd
2022-04-07 18:43:39.439320 False [   18148.762535] 0003 0035 000004d0
2022-04-07 18:43:39.439320 False [   18148.762535] 0003 0036 000003ce
2022-04-07 18:43:39.445681 False [   18148.770708] 0003 0036 000003df
2022-04-07 18:43:39.454831 False [   18148.779156] 0003 0035 000004d1
2022-04-07 18:43:39.454831 False [   18148.779156] 0003 0036 000003ef
2022-04-07 18:43:39.465413 False [   18148.787340] 0003 0035 000004d2
2022-04-07 18:43:39.465413 False [   18148.787340] 0003 0036 000003f9
2022-04-07 18:43:39.470540 False [   18148.795868] 0003 0035 000004d3
2022-04-07 18:43:39.470540 False [   18148.795868] 0003 0036 0000040e
2022-04-07 18:43:39.479769 False [   18148.803980] 0003 0036 00000421
2022-04-07 18:43:39.488088 False [   18148.812420] 0003 0035 000004d4
2022-04-07 18:43:39.488088 False [   18148.812420] 0003 0036 0000042c
2022-04-07 18:43:39.499638 False [   18148.820633] 0003 0035 000004d5
2022-04-07 18:43:39.499638 False [   18148.820633] 0003 0036 0000043c
2022-04-07 18:43:39.504801 False [   18148.829066] 0003 0035 000004d7
2022-04-07 18:43:39.504801 False [   18148.829066] 0003 0036 0000044f
2022-04-07 18:43:39.513984 False [   18148.837193] 0003 0035 000004d9
2022-04-07 18:43:39.513984 True [   18148.837193] 0003 0036 0000045a
2022-04-07 18:43:39.521555 True [   18148.845719] 0003 0035 000004da
2022-04-07 18:43:39.521555 True [   18148.845719] 0003 0036 00000469
2022-04-07 18:43:39.530088 True [   18148.853845] 0003 0035 000004db
2022-04-07 18:43:39.530088 True [   18148.853845] 0003 0036 00000472
2022-04-07 18:43:39.539470 True [   18148.862425] 0003 0035 000004dc
2022-04-07 18:43:39.539470 True [   18148.862425] 0003 0036 00000484
2022-04-07 18:43:39.548093 True [   18148.870459] 0003 0036 0000048f
2022-04-07 18:43:39.556617 True [   18148.878923] 0003 0036 0000049e
2022-04-07 18:43:39.564216 True [   18148.887070] 0003 0036 000004a7
2022-04-07 18:43:39.573590 True [   18148.895512] 0003 0035 000004da
2022-04-07 18:43:39.573590 True [   18148.895512] 0003 0036 000004bc
