Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.2795512620907759 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:59:21.754462 False [  145475.658383] 0003 0036 00000183
2022-04-02 13:59:21.811219 False [  145475.715388] 0003 0035 00000135
2022-04-02 13:59:21.817824 False [  145475.723998] 0003 0035 00000136
2022-04-02 13:59:21.825567 False [  145475.732084] 0003 0036 00000184
2022-04-02 13:59:21.835560 False [  145475.740608] 0003 0035 00000137
2022-04-02 13:59:21.842804 False [  145475.748809] 0003 0035 00000138
2022-04-02 13:59:21.842804 False [  145475.748809] 0003 0036 00000185
2022-04-02 13:59:21.851429 False [  145475.757126] 0003 0035 0000013a
2022-04-02 13:59:21.851429 False [  145475.757126] 0003 0036 00000186
2022-04-02 13:59:21.860258 False [  145475.765259] 0003 0036 00000187
2022-04-02 13:59:21.868473 False [  145475.773692] 0003 0035 0000013b
2022-04-02 13:59:21.868473 False [  145475.773692] 0003 0036 00000188
2022-04-02 13:59:21.877337 False [  145475.781902] 0003 0035 0000013c
2022-04-02 13:59:21.877337 False [  145475.781902] 0003 0036 00000189
2022-04-02 13:59:21.883782 False [  145475.790537] 0003 0035 0000013d
2022-04-02 13:59:21.883782 False [  145475.790537] 0003 0036 0000018a
2022-04-02 13:59:21.894303 False [  145475.798555] 0003 0035 0000013e
2022-04-02 13:59:21.894303 False [  145475.798555] 0003 0036 0000018b
2022-04-02 13:59:21.900646 False [  145475.807410] 0003 0035 00000140
2022-04-02 13:59:21.900646 False [  145475.807410] 0003 0036 0000018d
2022-04-02 13:59:21.909922 False [  145475.815224] 0003 0035 00000141
2022-04-02 13:59:21.909922 False [  145475.815224] 0003 0036 0000018e
2022-04-02 13:59:21.924879 False [  145475.831801] 0003 0035 00000143
2022-04-02 13:59:21.924879 False [  145475.831801] 0003 0036 00000190
2022-04-02 13:59:21.935962 False [  145475.840405] 0003 0035 00000144
2022-04-02 13:59:21.935962 False [  145475.840405] 0003 0036 00000191
2022-04-02 13:59:21.945457 False [  145475.848868] 0003 0036 00000192
2022-04-02 13:59:21.951557 False [  145475.857067] 0003 0035 00000145
2022-04-02 13:59:21.951557 False [  145475.857067] 0003 0036 00000193
2022-04-02 13:59:21.962236 False [  145475.865060] 0003 0035 00000146
2022-04-02 13:59:21.962236 False [  145475.865060] 0003 0036 00000194
2022-04-02 13:59:21.972854 False [  145475.873663] 0003 0035 00000147
2022-04-02 13:59:21.979385 False [  145475.881771] 0003 0035 00000148
2022-04-02 13:59:21.979385 False [  145475.881771] 0003 0036 00000195
2022-04-02 13:59:21.992484 False [  145475.890447] 0003 0036 00000197
2022-04-02 13:59:22.000764 False [  145475.898411] 0003 0035 00000149
2022-04-02 13:59:22.000764 False [  145475.898411] 0003 0036 00000198
2022-04-02 13:59:22.004159 False [  145475.906744] 0003 0036 00000199
2022-04-02 13:59:22.011734 False [  145475.914940] 0003 0035 0000014a
2022-04-02 13:59:22.019000 False [  145475.923330] 0003 0035 0000014b
2022-04-02 13:59:22.019000 False [  145475.923330] 0003 0036 0000019a
2022-04-02 13:59:22.025986 False [  145475.931543] 0003 0035 0000014c
2022-04-02 13:59:22.025986 False [  145475.931543] 0003 0036 0000019b
2022-04-02 13:59:22.034484 False [  145475.940361] 0003 0036 0000019d
2022-04-02 13:59:22.044253 False [  145475.948159] 0003 0036 0000019f
2022-04-02 13:59:22.049894 False [  145475.956681] 0003 0035 0000014d
2022-04-02 13:59:22.049894 False [  145475.956681] 0003 0036 000001a0
2022-04-02 13:59:22.059177 False [  145475.964746] 0003 0035 0000014e
2022-04-02 13:59:22.059177 False [  145475.964746] 0003 0036 000001a1
2022-04-02 13:59:22.066187 False [  145475.973196] 0003 0035 0000014f
2022-04-02 13:59:22.066187 False [  145475.973196] 0003 0036 000001a4
2022-04-02 13:59:22.075954 False [  145475.981392] 0003 0035 00000150
2022-04-02 13:59:22.075954 False [  145475.981392] 0003 0036 000001a6
2022-04-02 13:59:22.084091 False [  145475.990167] 0003 0035 00000152
2022-04-02 13:59:22.084091 False [  145475.990167] 0003 0036 000001a9
2022-04-02 13:59:22.092379 False [  145475.998285] 0003 0035 00000153
2022-04-02 13:59:22.092379 False [  145475.998285] 0003 0036 000001ac
2022-04-02 13:59:22.100956 False [  145476.006479] 0003 0035 00000154
2022-04-02 13:59:22.101954 False [  145476.006479] 0003 0036 000001b0
2022-04-02 13:59:22.110931 False [  145476.014667] 0003 0035 00000156
2022-04-02 13:59:22.110931 False [  145476.014667] 0003 0036 000001b4
2022-04-02 13:59:22.115917 False [  145476.023030] 0003 0035 00000157
2022-04-02 13:59:22.116914 False [  145476.023030] 0003 0036 000001b9
2022-04-02 13:59:22.126054 False [  145476.031507] 0003 0035 0000015a
2022-04-02 13:59:22.126054 False [  145476.031507] 0003 0036 000001be
2022-04-02 13:59:22.135496 False [  145476.039888] 0003 0035 0000015b
2022-04-02 13:59:22.135496 False [  145476.039888] 0003 0036 000001c3
2022-04-02 13:59:22.142106 False [  145476.047898] 0003 0035 0000015d
2022-04-02 13:59:22.142106 False [  145476.047898] 0003 0036 000001c9
2022-04-02 13:59:22.151073 False [  145476.056426] 0003 0035 0000015e
2022-04-02 13:59:22.151073 False [  145476.056426] 0003 0036 000001cf
2022-04-02 13:59:22.159923 False [  145476.064662] 0003 0035 00000161
2022-04-02 13:59:22.159923 False [  145476.064662] 0003 0036 000001d5
2022-04-02 13:59:22.169257 False [  145476.072969] 0003 0035 00000162
2022-04-02 13:59:22.169257 False [  145476.072969] 0003 0036 000001da
2022-04-02 13:59:22.177452 False [  145476.081184] 0003 0035 00000165
2022-04-02 13:59:22.177452 False [  145476.081184] 0003 0036 000001e0
2022-04-02 13:59:22.184837 False [  145476.089587] 0003 0035 00000166
2022-04-02 13:59:22.184837 False [  145476.089587] 0003 0036 000001e7
2022-04-02 13:59:22.190183 False [  145476.097779] 0003 0035 00000168
2022-04-02 13:59:22.190183 False [  145476.097779] 0003 0036 000001ed
2022-04-02 13:59:22.200245 False [  145476.106301] 0003 0035 0000016a
2022-04-02 13:59:22.200245 False [  145476.106301] 0003 0036 000001f3
2022-04-02 13:59:22.206931 False [  145476.114440] 0003 0035 0000016c
2022-04-02 13:59:22.206931 False [  145476.114440] 0003 0036 000001f9
2022-04-02 13:59:22.218600 False [  145476.123297] 0003 0035 0000016d
2022-04-02 13:59:22.218600 False [  145476.123297] 0003 0036 000001ff
2022-04-02 13:59:22.224110 False [  145476.131314] 0003 0035 0000016f
2022-04-02 13:59:22.224110 False [  145476.131314] 0003 0036 00000205
2022-04-02 13:59:22.235174 False [  145476.139641] 0003 0035 00000171
2022-04-02 13:59:22.235174 False [  145476.139641] 0003 0036 0000020b
2022-04-02 13:59:22.242234 False [  145476.147607] 0003 0035 00000173
2022-04-02 13:59:22.242234 False [  145476.147607] 0003 0036 0000020f
2022-04-02 13:59:22.250237 False [  145476.156113] 0003 0035 00000174
2022-04-02 13:59:22.250237 False [  145476.156113] 0003 0036 00000215
2022-04-02 13:59:22.259228 False [  145476.164275] 0003 0035 00000175
2022-04-02 13:59:22.259228 False [  145476.164275] 0003 0036 0000021a
2022-04-02 13:59:22.269037 False [  145476.172692] 0003 0035 00000176
2022-04-02 13:59:22.269037 False [  145476.172692] 0003 0036 0000021e
2022-04-02 13:59:22.277303 False [  145476.181105] 0003 0035 00000178
2022-04-02 13:59:22.277303 False [  145476.181105] 0003 0036 00000223
2022-04-02 13:59:22.285985 False [  145476.189505] 0003 0035 0000017a
2022-04-02 13:59:22.285985 False [  145476.189505] 0003 0036 00000227
2022-04-02 13:59:22.294140 False [  145476.197542] 0003 0036 0000022a
2022-04-02 13:59:22.299233 False [  145476.206025] 0003 0035 0000017c
2022-04-02 13:59:22.299233 False [  145476.206025] 0003 0036 0000022e
2022-04-02 13:59:22.308635 False [  145476.214214] 0003 0035 0000017d
2022-04-02 13:59:22.308635 False [  145476.214214] 0003 0036 00000232
2022-04-02 13:59:22.316449 False [  145476.222881] 0003 0036 00000234
2022-04-02 13:59:22.324882 False [  145476.230909] 0003 0035 0000017e
2022-04-02 13:59:22.324882 False [  145476.230909] 0003 0036 00000237
2022-04-02 13:59:22.334055 False [  145476.239195] 0003 0036 00000239
2022-04-02 13:59:22.341207 False [  145476.247645] 0003 0035 00000180
2022-04-02 13:59:22.341207 False [  145476.247645] 0003 0036 0000023d
2022-04-02 13:59:22.351132 False [  145476.256612] 0003 0035 00000181
2022-04-02 13:59:22.351132 False [  145476.256612] 0003 0036 0000023f
2022-04-02 13:59:22.359589 False [  145476.264057] 0003 0036 00000242
2022-04-02 13:59:22.365485 False [  145476.272561] 0003 0035 00000182
2022-04-02 13:59:22.365485 False [  145476.272561] 0003 0036 00000244
2022-04-02 13:59:22.374835 False [  145476.280780] 0003 0035 00000183
2022-04-02 13:59:22.374835 False [  145476.280780] 0003 0036 00000246
2022-04-02 13:59:22.382960 False [  145476.289130] 0003 0035 00000184
2022-04-02 13:59:22.382960 False [  145476.289130] 0003 0036 00000249
2022-04-02 13:59:22.393823 False [  145476.297243] 0003 0035 00000185
2022-04-02 13:59:22.393823 False [  145476.297243] 0003 0036 0000024a
2022-04-02 13:59:22.402490 False [  145476.305861] 0003 0036 0000024c
2022-04-02 13:59:22.409815 False [  145476.314085] 0003 0035 00000186
2022-04-02 13:59:22.409815 False [  145476.314085] 0003 0036 0000024f
2022-04-02 13:59:22.416086 False [  145476.322486] 0003 0035 00000187
2022-04-02 13:59:22.416086 False [  145476.322486] 0003 0036 00000250
2022-04-02 13:59:22.425907 False [  145476.330643] 0003 0036 00000252
2022-04-02 13:59:22.434386 False [  145476.339269] 0003 0035 00000188
2022-04-02 13:59:22.434386 False [  145476.339269] 0003 0036 00000254
2022-04-02 13:59:22.452311 False [  145476.357265] 0003 0036 00000255
2022-04-02 13:59:22.460617 False [  145476.363960] 0003 0035 00000189
2022-04-02 13:59:22.460617 False [  145476.363960] 0003 0036 00000257
2022-04-02 13:59:22.468456 False [  145476.372492] 0003 0035 0000018a
2022-04-02 13:59:22.468456 False [  145476.372492] 0003 0036 00000259
2022-04-02 13:59:22.475614 False [  145476.380776] 0003 0036 0000025a
2022-04-02 13:59:22.481731 False [  145476.388993] 0003 0035 0000018b
2022-04-02 13:59:22.481731 False [  145476.388993] 0003 0036 0000025c
2022-04-02 13:59:22.490683 False [  145476.397374] 0003 0035 0000018c
2022-04-02 13:59:22.490683 False [  145476.397374] 0003 0036 0000025e
2022-04-02 13:59:22.500633 False [  145476.405786] 0003 0035 0000018e
2022-04-02 13:59:22.500633 False [  145476.405786] 0003 0036 0000025f
2022-04-02 13:59:22.507929 False [  145476.413646] 0003 0035 0000018f
2022-04-02 13:59:22.507929 False [  145476.413646] 0003 0036 00000262
2022-04-02 13:59:22.518387 False [  145476.422048] 0003 0035 00000190
2022-04-02 13:59:22.518387 False [  145476.422048] 0003 0036 00000264
2022-04-02 13:59:22.525757 False [  145476.430285] 0003 0035 00000192
2022-04-02 13:59:22.525757 False [  145476.430285] 0003 0036 00000266
2022-04-02 13:59:22.534056 False [  145476.438830] 0003 0035 00000193
2022-04-02 13:59:22.534056 False [  145476.438830] 0003 0036 0000026a
2022-04-02 13:59:22.540029 False [  145476.446937] 0003 0035 00000194
2022-04-02 13:59:22.540029 False [  145476.446937] 0003 0036 0000026c
2022-04-02 13:59:22.549241 False [  145476.455357] 0003 0036 0000026f
2022-04-02 13:59:22.556443 False [  145476.463759] 0003 0035 00000195
