Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.3362259462033432 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 19:06:12.705867 False [   19501.999887] 0003 0035 000005b1
2022-04-07 19:06:12.705867 False [   19501.999887] 0003 0036 0000036e
2022-04-07 19:06:12.713817 False [   19502.008328] 0003 0035 000005b4
2022-04-07 19:06:12.713817 False [   19502.008328] 0003 0036 00000386
2022-04-07 19:06:12.713817 False [   19502.016540] 0003 0035 000005b5
2022-04-07 19:06:12.713817 False [   19502.016540] 0003 0036 0000039d
2022-04-07 19:06:12.731482 False [   19502.025024] 0003 0035 000005b7
2022-04-07 19:06:12.731482 False [   19502.025024] 0003 0036 000003b4
2022-04-07 19:06:12.737502 False [   19502.033118] 0003 0035 000005b8
2022-04-07 19:06:12.737502 False [   19502.033118] 0003 0036 000003ca
2022-04-07 19:06:12.737502 False [   19502.041527] 0003 0035 000005b9
2022-04-07 19:06:12.737502 False [   19502.041527] 0003 0036 000003e0
2022-04-07 19:06:12.746360 False [   19502.049747] 0003 0035 000005ba
2022-04-07 19:06:12.746360 False [   19502.049747] 0003 0036 000003f4
2022-04-07 19:06:12.764609 False [   19502.058172] 0003 0035 000005bb
2022-04-07 19:06:12.764609 False [   19502.058172] 0003 0036 00000409
2022-04-07 19:06:12.781293 False [   19502.066534] 0003 0036 0000041f
2022-04-07 19:06:12.798073 False [   19502.074803] 0003 0036 00000434
2022-04-07 19:06:12.831974 False [   19502.083097] 0003 0036 0000044a
2022-04-07 19:06:12.831974 False [   19502.091735] 0003 0036 00000460
2022-04-07 19:06:12.831974 False [   19502.099707] 0003 0036 00000475
2022-04-07 19:06:12.831974 False [   19502.108079] 0003 0036 0000048b
2022-04-07 19:06:12.854907 False [   19502.116443] 0003 0036 0000049f
2022-04-07 19:06:12.854907 False [   19502.124971] 0003 0036 000004b6
2022-04-07 19:06:12.854907 False [   19502.133166] 0003 0036 000004cb
2022-04-07 19:06:12.854907 False [   19502.141312] 0003 0036 000004e0
2022-04-07 19:06:12.863885 False [   19502.149605] 0003 0036 000004f7
2022-04-07 19:06:12.863885 False [   19502.157925] 0003 0035 000005ba
2022-04-07 19:06:12.863885 False [   19502.157925] 0003 0036 0000050e
2022-04-07 19:06:12.871543 False [   19502.166158] 0003 0035 000005b8
2022-04-07 19:06:12.871543 False [   19502.166158] 0003 0036 00000525
2022-04-07 19:06:12.888554 False [   19502.174666] 0003 0035 000005b7
2022-04-07 19:06:12.888554 False [   19502.174666] 0003 0036 0000053d
2022-04-07 19:06:12.897786 False [   19502.182790] 0003 0035 000005b5
2022-04-07 19:06:12.897786 False [   19502.182790] 0003 0036 00000554
2022-04-07 19:06:12.897786 False [   19502.191281] 0003 0035 000005b3
2022-04-07 19:06:12.897786 False [   19502.191281] 0003 0036 0000056c
2022-04-07 19:06:12.913514 False [   19502.199396] 0003 0035 000005b1
2022-04-07 19:06:12.913514 False [   19502.199396] 0003 0036 00000584
2022-04-07 19:06:12.913514 False [   19502.207897] 0003 0035 000005ae
2022-04-07 19:06:12.913514 False [   19502.207897] 0003 0036 0000059c
2022-04-07 19:06:12.922540 False [   19502.216110] 0003 0035 000005ac
2022-04-07 19:06:12.922540 False [   19502.216110] 0003 0036 000005b5
2022-04-07 19:06:12.922540 False [   19502.224677] 0003 0035 000005aa
2022-04-07 19:06:12.922540 False [   19502.224677] 0003 0036 000005cb
2022-04-07 19:06:12.930711 False [   19502.232727] 0003 0035 000005a7
2022-04-07 19:06:12.930711 False [   19502.232727] 0003 0036 000005e0
2022-04-07 19:06:12.937489 False [   19502.241044] 0003 0035 000005a4
2022-04-07 19:06:12.937489 False [   19502.241044] 0003 0036 000005f7
2022-04-07 19:06:12.947245 False [   19502.249348] 0003 0035 000005a2
2022-04-07 19:06:12.947245 False [   19502.249348] 0003 0036 0000060d
2022-04-07 19:06:12.960957 False [   19502.257731] 0003 0035 0000059f
2022-04-07 19:06:12.960957 False [   19502.257731] 0003 0036 00000623
2022-04-07 19:06:12.965041 False [   19502.265935] 0003 0035 0000059c
2022-04-07 19:06:12.965041 False [   19502.265935] 0003 0036 00000638
2022-04-07 19:06:12.988708 False [   19502.274653] 0003 0035 0000059a
2022-04-07 19:06:12.988708 False [   19502.274653] 0003 0036 0000064d
2022-04-07 19:06:12.996396 False [   19502.282569] 0003 0035 00000598
2022-04-07 19:06:12.996396 False [   19502.282569] 0003 0036 00000662
2022-04-07 19:06:12.996396 False [   19502.291014] 0003 0035 00000596
2022-04-07 19:06:12.996396 False [   19502.291014] 0003 0036 00000676
2022-04-07 19:06:13.011688 False [   19502.299204] 0003 0035 00000594
2022-04-07 19:06:13.011688 False [   19502.299204] 0003 0036 0000068a
2022-04-07 19:06:13.021154 False [   19502.307540] 0003 0035 00000593
2022-04-07 19:06:13.021154 False [   19502.307540] 0003 0036 0000069e
2022-04-07 19:06:13.029932 False [   19502.315851] 0003 0035 00000591
2022-04-07 19:06:13.029932 False [   19502.315851] 0003 0036 000006af
2022-04-07 19:06:13.029932 False [   19502.324314] 0003 0035 00000590
2022-04-07 19:06:13.029932 False [   19502.324314] 0003 0036 000006c5
2022-04-07 19:06:13.046460 False [   19502.332489] 0003 0035 0000058f
2022-04-07 19:06:13.046460 False [   19502.332489] 0003 0036 000006d8
2022-04-07 19:06:13.055616 False [   19502.340983] 0003 0035 0000058d
2022-04-07 19:06:13.055616 False [   19502.340983] 0003 0036 000006e9
2022-04-07 19:06:13.055616 False [   19502.349260] 0003 0035 0000058c
2022-04-07 19:06:13.055616 False [   19502.349260] 0003 0036 000006fe
2022-04-07 19:06:13.080619 False [   19502.357449] 0003 0035 0000058a
2022-04-07 19:06:13.080619 False [   19502.357449] 0003 0036 0000070f
2022-04-07 19:06:13.080619 False [   19502.365673] 0003 0035 00000589
2022-04-07 19:06:13.080619 False [   19502.365673] 0003 0036 00000722
2022-04-07 19:06:13.103498 False [   19502.374117] 0003 0035 00000587
2022-04-07 19:06:13.103498 False [   19502.374117] 0003 0036 00000735
2022-04-07 19:06:13.103498 False [   19502.382250] 0003 0035 00000586
2022-04-07 19:06:13.103498 False [   19502.382250] 0003 0036 00000748
2022-04-07 19:06:13.112361 False [   19502.391082] 0003 0035 00000585
2022-04-07 19:06:13.112361 False [   19502.391082] 0003 0036 0000075a
2022-04-07 19:06:13.112361 False [   19502.399231] 0003 0035 00000583
2022-04-07 19:06:13.112361 False [   19502.399231] 0003 0036 0000076c
2022-04-07 19:06:13.112361 False [   19502.407393] 0003 0035 00000582
2022-04-07 19:06:13.112361 False [   19502.407393] 0003 0036 00000780
2022-04-07 19:06:13.122361 False [   19502.415507] 0003 0035 00000581
2022-04-07 19:06:13.122361 False [   19502.415507] 0003 0036 00000792
2022-04-07 19:06:13.137474 False [   19502.423978] 0003 0035 0000057f
2022-04-07 19:06:13.137474 False [   19502.423978] 0003 0036 000007a5
2022-04-07 19:06:13.137474 False [   19502.432208] 0003 0036 000007b7
2022-04-07 19:06:13.146558 False [   19502.440634] 0003 0035 0000057e
2022-04-07 19:06:13.146558 False [   19502.440634] 0003 0036 000007ca
2022-04-07 19:06:13.154615 False [   19502.448776] 0003 0035 0000057d
2022-04-07 19:06:13.154615 False [   19502.448776] 0003 0036 000007dc
2022-04-07 19:06:13.161996 False [   19502.457204] 0003 0035 0000057c
2022-04-07 19:06:13.161996 False [   19502.457204] 0003 0036 000007ed
2022-04-07 19:06:13.164261 False [   19502.465353] 0003 0035 0000057b
2022-04-07 19:06:13.164261 False [   19502.465353] 0003 0036 000007fe
2022-04-07 19:06:13.171913 False [   19502.474188] 0003 0036 0000080f
2022-04-07 19:06:13.185408 False [   19502.482017] 0003 0036 00000820
2022-04-07 19:06:13.189064 False [   19502.490436] 0003 0036 00000830
2022-04-07 19:06:13.199586 False [   19502.499262] 0003 0036 0000083f
2022-04-07 19:06:13.219863 False [   19502.507036] 0003 0036 0000084e
2022-04-07 19:06:13.227542 False [   19502.515170] 0003 0036 0000085c
2022-04-07 19:06:13.227542 False [   19502.523675] 0003 0036 0000086b
2022-04-07 19:06:13.245800 False [   19502.531895] 0003 0036 00000879
2022-04-07 19:06:13.263849 False [   19502.540478] 0003 0036 00000886
2022-04-07 19:06:13.263849 False [   19502.548463] 0003 0036 00000894
2022-04-07 19:06:13.284376 False [   19502.556956] 0003 0036 000008a1
2022-04-07 19:06:13.284376 False [   19502.565173] 0003 0036 000008af
2022-04-07 19:06:13.294817 False [   19502.573542] 0003 0036 000008bb
2022-04-07 19:06:13.294817 False [   19502.581771] 0003 0036 000008c8
2022-04-07 19:06:13.294817 False [   19502.590314] 0003 0035 0000057a
2022-04-07 19:06:13.294817 False [   19502.590314] 0003 0036 000008d4
2022-04-07 19:06:13.303791 False [   19502.598344] 0003 0036 000008df
2022-04-07 19:06:13.328618 False [   19502.606809] 0003 0035 00000579
2022-04-07 19:06:13.328618 False [   19502.606809] 0003 0036 000008ea
2022-04-07 19:06:13.336298 False [   19502.614937] 0003 0035 00000578
2022-04-07 19:06:13.336298 False [   19502.614937] 0003 0036 000008f4
2022-04-07 19:06:13.336298 False [   19502.623379] 0003 0036 000008fe
2022-04-07 19:06:13.336298 False [   19502.631554] 0003 0036 00000909
2022-04-07 19:06:13.345067 False [   19502.639958] 0003 0035 00000577
2022-04-07 19:06:13.345067 False [   19502.639958] 0003 0036 00000912
2022-04-07 19:06:13.355460 False [   19502.648196] 0003 0035 00000576
2022-04-07 19:06:13.355460 False [   19502.648196] 0003 0036 0000091a
2022-04-07 19:06:13.363387 False [   19502.656826] 0003 0035 00000575
2022-04-07 19:06:13.363387 False [   19502.656826] 0003 0036 00000922
