Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.2546306936408325 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 18:18:34.869576 False [  161037.732421] 0003 0036 0000087f
2022-04-02 18:18:35.144925 False [  161037.760649] 0003 0035 000002a4
2022-04-02 18:18:35.144925 False [  161037.760649] 0003 0036 00000877
2022-04-02 18:18:35.144925 False [  161037.790721] 0003 0035 0000029e
2022-04-02 18:18:35.144925 False [  161037.790721] 0003 0036 00000875
2022-04-02 18:18:35.144925 False [  161037.822259] 0003 0035 000002cf
2022-04-02 18:18:35.144925 False [  161037.822259] 0003 0036 00000876
2022-04-02 18:18:35.144925 False [  161037.854561] 0003 0035 00000347
2022-04-02 18:18:35.144925 False [  161037.854561] 0003 0036 00000877
2022-04-02 18:18:35.144925 False [  161037.877763] 0003 0035 000003db
2022-04-02 18:18:35.144925 False [  161037.877763] 0003 0036 00000874
2022-04-02 18:18:35.144925 False [  161037.905039] 0003 0035 0000040b
2022-04-02 18:18:35.144925 False [  161037.905039] 0003 0036 0000086d
2022-04-02 18:18:35.144925 False [  161037.919729] 0003 0035 0000040f
2022-04-02 18:18:35.144925 False [  161037.919729] 0003 0036 0000086b
2022-04-02 18:18:35.144925 False [  161037.941344] 0003 0035 0000040b
2022-04-02 18:18:35.144925 False [  161037.941344] 0003 0036 00000869
2022-04-02 18:18:35.144925 False [  161037.966890] 0003 0035 000003cb
2022-04-02 18:18:35.144925 False [  161037.966890] 0003 0036 00000864
2022-04-02 18:18:35.144925 False [  161037.994940] 0003 0035 00000354
2022-04-02 18:18:35.144925 False [  161037.994940] 0003 0036 00000856
2022-04-02 18:18:35.235988 False [  161038.026199] 0003 0035 000002dc
2022-04-02 18:18:35.236985 False [  161038.026199] 0003 0036 0000084f
2022-04-02 18:18:35.236985 False [  161038.055263] 0003 0035 000002c5
2022-04-02 18:18:35.236985 False [  161038.055263] 0003 0036 0000084e
2022-04-02 18:18:35.236985 False [  161038.081417] 0003 0035 000002d8
2022-04-02 18:18:35.236985 False [  161038.107232] 0003 0035 00000377
2022-04-02 18:18:35.236985 False [  161038.107232] 0003 0036 0000084a
2022-04-02 18:18:35.236985 False [  161038.136190] 0003 0035 000003e6
2022-04-02 18:18:35.236985 False [  161038.136190] 0003 0036 00000847
2022-04-02 18:18:35.236985 False [  161038.164902] 0003 0035 00000417
2022-04-02 18:18:35.236985 False [  161038.164902] 0003 0036 00000843
2022-04-02 18:18:35.236985 False [  161038.189889] 0003 0035 0000041c
2022-04-02 18:18:35.236985 False [  161038.189889] 0003 0036 0000083f
2022-04-02 18:18:35.236985 False [  161038.217210] 0003 0035 000003cf
2022-04-02 18:18:35.236985 False [  161038.217210] 0003 0036 00000824
2022-04-02 18:18:35.236985 False [  161038.245275] 0003 0035 0000034e
2022-04-02 18:18:35.236985 False [  161038.245275] 0003 0036 00000809
2022-04-02 18:18:35.236985 False [  161038.270790] 0003 0035 000002e0
2022-04-02 18:18:35.236985 False [  161038.270790] 0003 0036 000007f8
2022-04-02 18:18:35.242969 False [  161038.298014] 0003 0035 000002d2
2022-04-02 18:18:35.242969 False [  161038.298014] 0003 0036 000007f6
2022-04-02 18:18:35.242969 False [  161038.328428] 0003 0035 000002d4
2022-04-02 18:18:35.404722 False [  161038.375216] 0003 0035 00000353
2022-04-02 18:18:35.404722 False [  161038.375216] 0003 0036 000007fb
2022-04-02 18:18:35.647757 False [  161038.394036] 0003 0035 0000038c
2022-04-02 18:18:35.647757 False [  161038.394036] 0003 0036 000007ff
2022-04-02 18:18:35.647757 False [  161038.413267] 0003 0035 000003b2
2022-04-02 18:18:35.647757 False [  161038.413267] 0003 0036 00000805
2022-04-02 18:18:35.647757 False [  161038.429585] 0003 0035 000003b3
2022-04-02 18:18:35.648754 False [  161038.451947] 0003 0035 000003a7
2022-04-02 18:18:35.648754 False [  161038.451947] 0003 0036 00000806
2022-04-02 18:18:35.648754 False [  161038.479766] 0003 0035 00000352
2022-04-02 18:18:35.648754 False [  161038.479766] 0003 0036 00000807
2022-04-02 18:18:35.648754 False [  161038.505873] 0003 0035 000002c6
2022-04-02 18:18:35.648754 False [  161038.505873] 0003 0036 000007ff
2022-04-02 18:18:35.648754 False [  161038.531069] 0003 0035 000002b5
2022-04-02 18:18:35.648754 False [  161038.531069] 0003 0036 000007fe
2022-04-02 18:18:35.838658 False [  161038.555767] 0003 0036 000007fc
2022-04-02 18:18:35.838658 False [  161038.584986] 0003 0035 000002ed
2022-04-02 18:18:35.838658 False [  161038.584986] 0003 0036 000007ea
2022-04-02 18:18:35.838658 False [  161038.609000] 0003 0035 00000347
2022-04-02 18:18:35.838658 False [  161038.609000] 0003 0036 000007d9
2022-04-02 18:18:35.838658 False [  161038.634913] 0003 0035 00000384
2022-04-02 18:18:35.838658 False [  161038.634913] 0003 0036 000007cf
2022-04-02 18:18:35.838658 False [  161038.661097] 0003 0035 00000392
2022-04-02 18:18:35.838658 False [  161038.661097] 0003 0036 000007cc
2022-04-02 18:18:35.838658 False [  161038.689052] 0003 0035 00000388
2022-04-02 18:18:35.838658 False [  161038.717898] 0003 0035 0000031f
2022-04-02 18:18:35.838658 False [  161038.717898] 0003 0036 000007cb
2022-04-02 18:18:35.838658 False [  161038.745699] 0003 0035 000002e9
2022-04-02 18:18:35.838658 False [  161038.745699] 0003 0036 000007c9
2022-04-02 18:18:36.072816 False [  161038.772702] 0003 0035 000002d7
2022-04-02 18:18:36.073828 False [  161038.772702] 0003 0036 000007c6
2022-04-02 18:18:36.073828 False [  161038.801618] 0003 0035 000002e9
2022-04-02 18:18:36.073828 False [  161038.801618] 0003 0036 000007c2
2022-04-02 18:18:36.073828 False [  161038.806749] 0003 0035 000002f9
2022-04-02 18:18:36.073828 False [  161038.806749] 0003 0036 000007be
2022-04-02 18:18:36.073828 False [  161038.816576] 0003 0035 0000030a
2022-04-02 18:18:36.073828 False [  161038.816576] 0003 0036 000007bb
2022-04-02 18:18:36.073828 False [  161038.834084] 0003 0035 00000321
2022-04-02 18:18:36.073828 False [  161038.834084] 0003 0036 000007b5
2022-04-02 18:18:36.073828 False [  161038.860471] 0003 0035 00000368
2022-04-02 18:18:36.073828 False [  161038.860471] 0003 0036 000007a7
2022-04-02 18:18:36.073828 False [  161038.886613] 0003 0035 00000372
2022-04-02 18:18:36.073828 False [  161038.886613] 0003 0036 000007a3
2022-04-02 18:18:36.073828 False [  161038.912758] 0003 0035 0000034b
2022-04-02 18:18:36.073828 False [  161038.912758] 0003 0036 000007a5
2022-04-02 18:18:36.073828 False [  161038.936047] 0003 0035 0000031b
2022-04-02 18:18:36.073828 False [  161038.936047] 0003 0036 000007a6
2022-04-02 18:18:36.073828 False [  161038.963459] 0003 0035 000002e0
2022-04-02 18:18:36.073828 False [  161038.963459] 0003 0036 000007a3
2022-04-02 18:18:36.219362 False [  161038.991951] 0003 0035 000002d8
2022-04-02 18:18:36.219362 False [  161038.991951] 0003 0036 000007a2
2022-04-02 18:18:36.219362 False [  161039.014621] 0003 0035 000002fb
2022-04-02 18:18:36.219362 False [  161039.014621] 0003 0036 0000079e
2022-04-02 18:18:36.219362 False [  161039.041991] 0003 0035 00000336
2022-04-02 18:18:36.219362 False [  161039.041991] 0003 0036 00000793
2022-04-02 18:18:36.219362 False [  161039.060928] 0003 0035 00000347
2022-04-02 18:18:36.219362 False [  161039.060928] 0003 0036 00000790
2022-04-02 18:18:36.219362 False [  161039.091376] 0003 0035 00000363
2022-04-02 18:18:36.219362 False [  161039.091376] 0003 0036 00000788
2022-04-02 18:18:36.219362 False [  161039.113887] 0003 0035 00000340
2022-04-02 18:18:36.219362 False [  161039.113887] 0003 0036 00000787
2022-04-02 18:18:36.219362 False [  161039.134126] 0003 0035 0000032a
2022-04-02 18:18:36.219362 False [  161039.134126] 0003 0036 00000786
2022-04-02 18:18:36.219362 False [  161039.155807] 0003 0035 000002f0
2022-04-02 18:18:36.219362 False [  161039.155807] 0003 0036 00000784
2022-04-02 18:18:36.219362 False [  161039.180254] 0003 0035 000002ea
2022-04-02 18:18:36.230236 False [  161039.224381] 0003 0035 0000031f
2022-04-02 18:18:36.230236 False [  161039.224381] 0003 0036 0000077a
2022-04-02 18:18:36.230236 False [  161039.250204] 0003 0035 0000035b
2022-04-02 18:18:36.230236 False [  161039.250204] 0003 0036 00000771
2022-04-02 18:18:36.230236 False [  161039.281156] 0003 0035 00000377
2022-04-02 18:18:36.230236 False [  161039.281156] 0003 0036 0000076a
2022-04-02 18:18:36.230236 False [  161039.310608] 0003 0035 00000372
2022-04-02 18:18:36.352146 False [  161039.375403] 0003 0035 000002f9
2022-04-02 18:18:36.352146 False [  161039.375403] 0003 0036 00000766
2022-04-02 18:18:36.542669 False [  161039.392588] 0003 0035 000002f5
2022-04-02 18:18:36.543661 False [  161039.392588] 0003 0036 00000765
2022-04-02 18:18:36.543661 False [  161039.399746] 0003 0035 000002f4
2022-04-02 18:18:36.543661 False [  161039.399746] 0003 0036 00000764
2022-04-02 18:18:36.543661 False [  161039.403972] 0003 0035 000002f8
2022-04-02 18:18:36.543661 False [  161039.403972] 0003 0036 00000763
2022-04-02 18:18:36.543661 False [  161039.410561] 0003 0035 00000301
2022-04-02 18:18:36.543661 False [  161039.410561] 0003 0036 00000760
2022-04-02 18:18:36.543661 False [  161039.418877] 0003 0035 00000310
2022-04-02 18:18:36.543661 False [  161039.418877] 0003 0036 0000075e
2022-04-02 18:18:36.543661 False [  161039.438087] 0003 0035 00000320
2022-04-02 18:18:36.543661 False [  161039.438087] 0003 0036 0000075b
2022-04-02 18:18:36.543661 False [  161039.457981] 0003 0035 00000342
2022-04-02 18:18:36.543661 False [  161039.457981] 0003 0036 00000756
2022-04-02 18:18:36.804859 False [  161039.476632] 0003 0035 0000035c
2022-04-02 18:18:36.804859 False [  161039.476632] 0003 0036 00000753
2022-04-02 18:18:36.804859 False [  161039.482663] 0003 0035 00000367
2022-04-02 18:18:36.804859 False [  161039.482663] 0003 0036 00000750
2022-04-02 18:18:36.804859 False [  161039.486213] 0003 0035 00000369
2022-04-02 18:18:36.805857 False [  161039.493880] 0003 0035 0000036a
2022-04-02 18:18:36.805857 False [  161039.520713] 0003 0035 0000034c
2022-04-02 18:18:36.805857 False [  161039.545747] 0003 0035 0000031f
