Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9508145121994385 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:50:46.085914 False [   35563.099343] 0003 0036 00000857
2022-03-16 19:50:46.197681 False [   35563.214089] 0003 0035 00000553
2022-03-16 19:50:46.197681 False [   35563.214089] 0003 0036 00000856
2022-03-16 19:50:46.206659 False [   35563.222810] 0003 0035 00000550
2022-03-16 19:50:46.207659 False [   35563.222810] 0003 0036 00000855
2022-03-16 19:50:46.214271 False [   35563.230887] 0003 0035 0000054d
2022-03-16 19:50:46.214271 False [   35563.230887] 0003 0036 00000854
2022-03-16 19:50:46.219658 False [   35563.239220] 0003 0035 00000549
2022-03-16 19:50:46.219658 False [   35563.239220] 0003 0036 00000851
2022-03-16 19:50:46.226654 False [   35563.247401] 0003 0035 00000546
2022-03-16 19:50:46.226654 False [   35563.247401] 0003 0036 0000084f
2022-03-16 19:50:46.237731 False [   35563.256394] 0003 0035 00000542
2022-03-16 19:50:46.237731 False [   35563.256394] 0003 0036 0000084c
2022-03-16 19:50:46.242353 False [   35563.264086] 0003 0035 0000053e
2022-03-16 19:50:46.243354 False [   35563.264086] 0003 0036 0000084a
2022-03-16 19:50:46.252494 False [   35563.272394] 0003 0035 0000053c
2022-03-16 19:50:46.252494 False [   35563.272394] 0003 0036 00000848
2022-03-16 19:50:46.260851 False [   35563.280608] 0003 0035 00000538
2022-03-16 19:50:46.260851 False [   35563.280608] 0003 0036 00000846
2022-03-16 19:50:46.268516 False [   35563.289313] 0003 0035 00000534
2022-03-16 19:50:46.268516 False [   35563.289313] 0003 0036 00000843
2022-03-16 19:50:46.276458 False [   35563.297439] 0003 0035 0000052f
2022-03-16 19:50:46.276458 False [   35563.297439] 0003 0036 00000840
2022-03-16 19:50:46.284763 False [   35563.305628] 0003 0035 0000052a
2022-03-16 19:50:46.284763 False [   35563.305628] 0003 0036 0000083c
2022-03-16 19:50:46.294845 False [   35563.313818] 0003 0035 00000525
2022-03-16 19:50:46.294845 False [   35563.313818] 0003 0036 00000839
2022-03-16 19:50:46.303855 False [   35563.322291] 0003 0035 00000522
2022-03-16 19:50:46.303855 False [   35563.322291] 0003 0036 00000835
2022-03-16 19:50:46.310931 False [   35563.330494] 0003 0035 0000051c
2022-03-16 19:50:46.310931 False [   35563.330494] 0003 0036 00000832
2022-03-16 19:50:46.318194 False [   35563.338903] 0003 0035 00000517
2022-03-16 19:50:46.319194 False [   35563.338903] 0003 0036 0000082e
2022-03-16 19:50:46.326552 False [   35563.347126] 0003 0035 00000510
2022-03-16 19:50:46.326552 False [   35563.347126] 0003 0036 00000829
2022-03-16 19:50:46.335016 False [   35563.355530] 0003 0035 0000050c
2022-03-16 19:50:46.335016 False [   35563.355530] 0003 0036 00000827
2022-03-16 19:50:46.345358 False [   35563.363679] 0003 0035 00000506
2022-03-16 19:50:46.345358 False [   35563.363679] 0003 0036 00000823
2022-03-16 19:50:46.351345 False [   35563.372077] 0003 0035 00000501
2022-03-16 19:50:46.351345 False [   35563.372077] 0003 0036 00000820
2022-03-16 19:50:46.361730 False [   35563.380286] 0003 0035 000004fc
2022-03-16 19:50:46.361730 False [   35563.380286] 0003 0036 0000081b
2022-03-16 19:50:46.366722 False [   35563.388740] 0003 0035 000004f7
2022-03-16 19:50:46.366722 False [   35563.388740] 0003 0036 00000817
2022-03-16 19:50:46.376686 False [   35563.397068] 0003 0035 000004f3
2022-03-16 19:50:46.376686 False [   35563.397068] 0003 0036 00000815
2022-03-16 19:50:46.385783 False [   35563.405335] 0003 0035 000004f0
2022-03-16 19:50:46.385783 False [   35563.405335] 0003 0036 00000812
2022-03-16 19:50:46.393341 False [   35563.413903] 0003 0035 000004ec
2022-03-16 19:50:46.393341 False [   35563.413903] 0003 0036 0000080f
2022-03-16 19:50:46.402823 False [   35563.422011] 0003 0035 000004e9
2022-03-16 19:50:46.402823 False [   35563.422011] 0003 0036 0000080b
2022-03-16 19:50:46.410813 False [   35563.430242] 0003 0035 000004e4
2022-03-16 19:50:46.410813 False [   35563.430242] 0003 0036 00000808
2022-03-16 19:50:46.419288 False [   35563.438785] 0003 0035 000004de
2022-03-16 19:50:46.419288 False [   35563.438785] 0003 0036 00000805
2022-03-16 19:50:46.425341 False [   35563.446780] 0003 0035 000004d9
2022-03-16 19:50:46.425341 False [   35563.446780] 0003 0036 00000800
2022-03-16 19:50:46.435174 False [   35563.455588] 0003 0035 000004d3
2022-03-16 19:50:46.435174 False [   35563.455588] 0003 0036 000007fc
2022-03-16 19:50:46.443145 False [   35563.463412] 0003 0035 000004cc
2022-03-16 19:50:46.443145 False [   35563.463412] 0003 0036 000007f8
2022-03-16 19:50:46.451365 False [   35563.472182] 0003 0035 000004c7
2022-03-16 19:50:46.451365 False [   35563.472182] 0003 0036 000007f4
2022-03-16 19:50:46.458559 False [   35563.480175] 0003 0035 000004c2
2022-03-16 19:50:46.459573 False [   35563.480175] 0003 0036 000007f0
2022-03-16 19:50:46.467395 False [   35563.488747] 0003 0035 000004bd
2022-03-16 19:50:46.467395 False [   35563.488747] 0003 0036 000007ec
2022-03-16 19:50:46.475377 False [   35563.496697] 0003 0035 000004b8
2022-03-16 19:50:46.475377 False [   35563.496697] 0003 0036 000007e8
2022-03-16 19:50:46.483987 False [   35563.505128] 0003 0035 000004b3
2022-03-16 19:50:46.483987 False [   35563.505128] 0003 0036 000007e4
2022-03-16 19:50:46.492619 False [   35563.513388] 0003 0035 000004b0
2022-03-16 19:50:46.492619 False [   35563.513388] 0003 0036 000007e0
2022-03-16 19:50:46.502460 False [   35563.521708] 0003 0035 000004ab
2022-03-16 19:50:46.502460 False [   35563.521708] 0003 0036 000007dc
2022-03-16 19:50:46.510698 False [   35563.530081] 0003 0035 000004a6
2022-03-16 19:50:46.510698 False [   35563.530081] 0003 0036 000007d8
2022-03-16 19:50:46.519490 False [   35563.538447] 0003 0035 000004a0
2022-03-16 19:50:46.519490 False [   35563.538447] 0003 0036 000007d2
2022-03-16 19:50:46.525465 False [   35563.546618] 0003 0035 0000049a
2022-03-16 19:50:46.526480 False [   35563.546618] 0003 0036 000007cd
2022-03-16 19:50:46.535860 False [   35563.554975] 0003 0035 00000493
2022-03-16 19:50:46.535860 False [   35563.554975] 0003 0036 000007c7
2022-03-16 19:50:46.543844 False [   35563.563209] 0003 0035 0000048d
2022-03-16 19:50:46.543844 False [   35563.563209] 0003 0036 000007c1
2022-03-16 19:50:46.552808 False [   35563.571641] 0003 0035 00000488
2022-03-16 19:50:46.552808 False [   35563.571641] 0003 0036 000007ba
2022-03-16 19:50:46.557794 False [   35563.579830] 0003 0035 00000482
2022-03-16 19:50:46.557794 False [   35563.579830] 0003 0036 000007b4
2022-03-16 19:50:46.569493 False [   35563.588320] 0003 0035 0000047e
2022-03-16 19:50:46.569493 False [   35563.588320] 0003 0036 000007ae
2022-03-16 19:50:46.575602 False [   35563.596876] 0003 0035 00000478
2022-03-16 19:50:46.575602 False [   35563.596876] 0003 0036 000007a8
2022-03-16 19:50:46.583563 False [   35563.605116] 0003 0035 00000473
2022-03-16 19:50:46.583563 False [   35563.605116] 0003 0036 000007a2
2022-03-16 19:50:46.591381 False [   35563.613060] 0003 0035 0000046e
2022-03-16 19:50:46.591381 False [   35563.613060] 0003 0036 0000079d
2022-03-16 19:50:46.601281 False [   35563.621531] 0003 0035 00000468
2022-03-16 19:50:46.601281 False [   35563.621531] 0003 0036 00000796
2022-03-16 19:50:46.609096 False [   35563.629648] 0003 0035 00000461
2022-03-16 19:50:46.609096 False [   35563.629648] 0003 0036 00000790
2022-03-16 19:50:46.618756 False [   35563.638415] 0003 0035 0000045a
2022-03-16 19:50:46.618756 False [   35563.638415] 0003 0036 00000789
2022-03-16 19:50:46.627583 False [   35563.646360] 0003 0035 00000453
2022-03-16 19:50:46.627583 False [   35563.646360] 0003 0036 00000783
2022-03-16 19:50:46.634936 False [   35563.654865] 0003 0035 0000044d
2022-03-16 19:50:46.634936 False [   35563.654865] 0003 0036 0000077b
