Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.8850851337739059 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:01:32.912295 False [  145606.816759] 0003 0036 00000149
2022-04-02 14:01:32.923565 False [  145606.824919] 0003 0036 0000014b
2022-04-02 14:01:32.931104 False [  145606.833324] 0003 0035 00000126
2022-04-02 14:01:32.931104 False [  145606.833324] 0003 0036 0000014d
2022-04-02 14:01:32.937958 False [  145606.841814] 0003 0035 00000128
2022-04-02 14:01:32.937958 False [  145606.841814] 0003 0036 0000014f
2022-04-02 14:01:32.947830 False [  145606.850062] 0003 0036 00000151
2022-04-02 14:01:32.952965 False [  145606.858335] 0003 0035 0000012a
2022-04-02 14:01:32.952965 False [  145606.858335] 0003 0036 00000153
2022-04-02 14:01:32.964842 False [  145606.866514] 0003 0035 0000012b
2022-04-02 14:01:32.964842 False [  145606.866514] 0003 0036 00000155
2022-04-02 14:01:32.972209 False [  145606.874734] 0003 0035 0000012c
2022-04-02 14:01:32.972209 False [  145606.874734] 0003 0036 00000156
2022-04-02 14:01:32.978206 False [  145606.883148] 0003 0035 0000012e
2022-04-02 14:01:32.978206 False [  145606.883148] 0003 0036 00000158
2022-04-02 14:01:32.985044 False [  145606.891328] 0003 0035 0000012f
2022-04-02 14:01:32.985044 False [  145606.891328] 0003 0036 00000159
2022-04-02 14:01:32.995934 False [  145606.899767] 0003 0036 0000015b
2022-04-02 14:01:33.004007 False [  145606.907998] 0003 0035 00000131
2022-04-02 14:01:33.004007 False [  145606.907998] 0003 0036 0000015e
2022-04-02 14:01:33.016988 False [  145606.916613] 0003 0035 00000132
2022-04-02 14:01:33.016988 False [  145606.916613] 0003 0036 0000015f
2022-04-02 14:01:33.022567 False [  145606.924767] 0003 0035 00000133
2022-04-02 14:01:33.022567 False [  145606.924767] 0003 0036 00000161
2022-04-02 14:01:33.030028 False [  145606.933032] 0003 0035 00000134
2022-04-02 14:01:33.030028 False [  145606.933032] 0003 0036 00000162
2022-04-02 14:01:33.036916 False [  145606.941278] 0003 0035 00000136
2022-04-02 14:01:33.036916 False [  145606.941278] 0003 0036 00000164
2022-04-02 14:01:33.048136 False [  145606.949647] 0003 0036 00000166
2022-04-02 14:01:33.054042 False [  145606.957929] 0003 0035 00000138
2022-04-02 14:01:33.054042 False [  145606.957929] 0003 0036 00000168
2022-04-02 14:01:33.060735 False [  145606.966271] 0003 0035 00000139
2022-04-02 14:01:33.060735 False [  145606.966271] 0003 0036 0000016a
2022-04-02 14:01:33.071160 False [  145606.974500] 0003 0035 0000013a
2022-04-02 14:01:33.071160 False [  145606.974500] 0003 0036 0000016b
2022-04-02 14:01:33.080081 False [  145606.982879] 0003 0035 0000013c
2022-04-02 14:01:33.080081 False [  145606.982879] 0003 0036 0000016f
2022-04-02 14:01:33.088060 False [  145606.991095] 0003 0035 0000013d
2022-04-02 14:01:33.088060 False [  145606.991095] 0003 0036 00000171
2022-04-02 14:01:33.100008 False [  145606.999526] 0003 0035 0000013e
2022-04-02 14:01:33.100008 False [  145606.999526] 0003 0036 00000173
2022-04-02 14:01:33.106115 False [  145607.007775] 0003 0035 00000141
2022-04-02 14:01:33.106115 False [  145607.007775] 0003 0036 00000178
2022-04-02 14:01:33.114192 False [  145607.016192] 0003 0035 00000142
2022-04-02 14:01:33.114192 False [  145607.016192] 0003 0036 0000017a
2022-04-02 14:01:33.122806 False [  145607.024354] 0003 0035 00000144
2022-04-02 14:01:33.122806 False [  145607.024354] 0003 0036 0000017f
2022-04-02 14:01:33.130723 False [  145607.032817] 0003 0035 00000147
2022-04-02 14:01:33.130723 False [  145607.032817] 0003 0036 00000184
2022-04-02 14:01:33.138547 False [  145607.041165] 0003 0035 00000149
2022-04-02 14:01:33.138547 False [  145607.041165] 0003 0036 00000189
2022-04-02 14:01:33.145781 False [  145607.049401] 0003 0035 0000014c
2022-04-02 14:01:33.145781 False [  145607.049401] 0003 0036 0000018f
2022-04-02 14:01:33.152691 False [  145607.057581] 0003 0035 0000014f
2022-04-02 14:01:33.152691 False [  145607.057581] 0003 0036 00000194
2022-04-02 14:01:33.162984 False [  145607.066082] 0003 0035 00000152
2022-04-02 14:01:33.162984 False [  145607.066082] 0003 0036 00000199
2022-04-02 14:01:33.172662 False [  145607.074258] 0003 0035 00000154
2022-04-02 14:01:33.172662 False [  145607.074258] 0003 0036 0000019f
2022-04-02 14:01:33.177890 False [  145607.082735] 0003 0035 00000157
2022-04-02 14:01:33.177890 False [  145607.082735] 0003 0036 000001a4
2022-04-02 14:01:33.186953 False [  145607.090828] 0003 0035 00000159
2022-04-02 14:01:33.186953 False [  145607.090828] 0003 0036 000001a9
2022-04-02 14:01:33.195818 False [  145607.099304] 0003 0035 0000015b
2022-04-02 14:01:33.195818 False [  145607.099304] 0003 0036 000001af
2022-04-02 14:01:33.203213 False [  145607.107518] 0003 0035 0000015d
2022-04-02 14:01:33.203213 False [  145607.107518] 0003 0036 000001b3
2022-04-02 14:01:33.211567 False [  145607.115862] 0003 0035 0000015f
2022-04-02 14:01:33.211567 False [  145607.115862] 0003 0036 000001b7
2022-04-02 14:01:33.222883 False [  145607.124321] 0003 0035 00000161
2022-04-02 14:01:33.222883 False [  145607.124321] 0003 0036 000001ba
2022-04-02 14:01:33.229512 False [  145607.132550] 0003 0035 00000163
