Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.035265419261927694 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:40:20.874813 False [  158743.937170] 0003 0035 00000550
2022-04-02 17:40:20.874813 False [  158743.937170] 0003 0036 0000044f
2022-04-02 17:40:20.874813 False [  158743.945372] 0003 0035 0000054e
2022-04-02 17:40:20.874813 False [  158743.945372] 0003 0036 00000452
2022-04-02 17:40:20.874813 False [  158743.954600] 0003 0035 0000054d
2022-04-02 17:40:20.874813 False [  158743.954600] 0003 0036 00000455
2022-04-02 17:40:20.874813 False [  158743.963598] 0003 0035 0000054b
2022-04-02 17:40:20.874813 False [  158743.963598] 0003 0036 00000458
2022-04-02 17:40:20.874813 False [  158743.971996] 0003 0035 0000054a
2022-04-02 17:40:20.874813 False [  158743.971996] 0003 0036 0000045a
2022-04-02 17:40:20.875800 False [  158743.980315] 0003 0035 00000549
2022-04-02 17:40:20.875800 False [  158743.980315] 0003 0036 0000045c
2022-04-02 17:40:20.932569 False [  158743.988065] 0003 0035 00000548
2022-04-02 17:40:20.932569 False [  158743.988065] 0003 0036 00000462
2022-04-02 17:40:20.932569 False [  158743.996651] 0003 0035 00000546
2022-04-02 17:40:20.932569 False [  158743.996651] 0003 0036 00000467
2022-04-02 17:40:20.932569 False [  158744.006101] 0003 0036 0000046a
2022-04-02 17:40:20.932569 False [  158744.016694] 0003 0036 0000046c
2022-04-02 17:40:20.932569 False [  158744.026317] 0003 0035 00000545
2022-04-02 17:40:20.932569 False [  158744.026317] 0003 0036 00000475
2022-04-02 17:40:20.932569 False [  158744.031582] 0003 0035 00000544
2022-04-02 17:40:20.932569 False [  158744.031582] 0003 0036 0000047b
2022-04-02 17:40:20.989771 False [  158744.040171] 0003 0036 00000480
2022-04-02 17:40:20.989771 False [  158744.049725] 0003 0036 00000483
2022-04-02 17:40:20.989771 False [  158744.060356] 0003 0036 00000486
2022-04-02 17:40:20.989771 False [  158744.070744] 0003 0035 00000543
2022-04-02 17:40:20.989771 False [  158744.070744] 0003 0036 00000487
2022-04-02 17:40:20.989771 False [  158744.078732] 0003 0036 00000491
2022-04-02 17:40:20.989771 False [  158744.089344] 0003 0036 00000494
2022-04-02 17:40:21.042715 False [  158744.097623] 0003 0036 00000498
2022-04-02 17:40:21.042715 False [  158744.107039] 0003 0036 00000499
2022-04-02 17:40:21.042715 False [  158744.117617] 0003 0035 00000542
2022-04-02 17:40:21.042715 False [  158744.117617] 0003 0036 0000049c
2022-04-02 17:40:21.042715 False [  158744.125919] 0003 0036 0000049e
2022-04-02 17:40:21.042715 False [  158744.135941] 0003 0036 000004a0
2022-04-02 17:40:21.042715 False [  158744.146318] 0003 0036 000004a2
2022-04-02 17:40:21.098721 False [  158744.155152] 0003 0035 00000541
2022-04-02 17:40:21.099726 False [  158744.155152] 0003 0036 000004a7
2022-04-02 17:40:21.099726 False [  158744.163964] 0003 0035 00000540
2022-04-02 17:40:21.099726 False [  158744.163964] 0003 0036 000004aa
2022-04-02 17:40:21.099726 False [  158744.171323] 0003 0036 000004ac
2022-04-02 17:40:21.099726 False [  158744.181429] 0003 0035 0000053f
2022-04-02 17:40:21.099726 False [  158744.181429] 0003 0036 000004ae
2022-04-02 17:40:21.099726 False [  158744.189980] 0003 0036 000004af
2022-04-02 17:40:21.099726 False [  158744.199832] 0003 0035 0000053e
2022-04-02 17:40:21.099726 False [  158744.199832] 0003 0036 000004b4
2022-04-02 17:40:21.146307 False [  158744.208501] 0003 0036 000004b9
2022-04-02 17:40:21.146307 False [  158744.216665] 0003 0036 000004bc
2022-04-02 17:40:21.146307 False [  158744.228535] 0003 0036 000004bf
2022-04-02 17:40:21.146307 False [  158744.239509] 0003 0035 0000053d
2022-04-02 17:40:21.146307 True [  158744.239509] 0003 0036 000004c6
2022-04-02 17:40:21.146307 True [  158744.247233] 0003 0036 000004ca
2022-04-02 17:40:21.146307 True [  158744.256050] 0003 0035 0000053c
2022-04-02 17:40:21.146307 True [  158744.256050] 0003 0036 000004ce
2022-04-02 17:40:21.192659 True [  158744.264423] 0003 0036 000004d0
2022-04-02 17:40:21.192659 True [  158744.273414] 0003 0036 000004d3
2022-04-02 17:40:21.192659 True [  158744.283082] 0003 0036 000004d4
2022-04-02 17:40:21.192659 True [  158744.292081] 0003 0036 000004d5
2022-04-02 17:40:21.192659 True [  158744.301354] 0003 0036 000004d6
2022-04-02 17:40:21.197840 True [  158744.312888] 0003 0036 000004d7
2022-04-02 17:40:21.197840 True [  158744.325024] 0003 0036 000004d9
