Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.55604959485662 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:39:17.820233 False [   34874.850550] 0003 0036 0000080a
2022-03-16 19:39:18.020988 False [   34875.048364] 0003 0035 000003da
2022-03-16 19:39:18.021967 False [   34875.048364] 0003 0036 0000077b
2022-03-16 19:39:18.261914 False [   34875.289250] 0003 0035 0000024c
2022-03-16 19:39:18.261914 False [   34875.289250] 0003 0036 00000771
2022-03-16 19:39:18.453351 False [   34875.480520] 0003 0035 00000250
2022-03-16 19:39:18.453351 True [   34875.480520] 0003 0036 000006da
2022-03-16 19:39:18.585826 True [   34875.613408] 0003 0035 0000026e
2022-03-16 19:39:18.585826 True [   34875.613408] 0003 0036 000006cb
2022-03-16 19:39:19.224196 True [   34876.253446] 0003 0035 000003b5
2022-03-16 19:39:19.224196 False [   34876.253446] 0003 0036 00000883
2022-03-16 19:39:20.116884 False [   34877.142337] 0003 0035 0000040c
2022-03-16 19:39:20.116884 False [   34877.142337] 0003 0036 00000878
2022-03-16 19:39:20.129967 False [   34877.158917] 0003 0035 0000040e
2022-03-16 19:39:20.129967 False [   34877.158917] 0003 0036 00000873
2022-03-16 19:39:20.137981 False [   34877.167132] 0003 0035 0000040f
2022-03-16 19:39:20.137981 False [   34877.167132] 0003 0036 0000086f
2022-03-16 19:39:20.145959 False [   34877.175540] 0003 0035 00000410
2022-03-16 19:39:20.146969 False [   34877.175540] 0003 0036 0000086c
2022-03-16 19:39:20.152688 False [   34877.183775] 0003 0035 00000414
2022-03-16 19:39:20.152688 False [   34877.183775] 0003 0036 00000860
2022-03-16 19:39:20.160463 False [   34877.192268] 0003 0035 00000417
2022-03-16 19:39:20.160463 False [   34877.192268] 0003 0036 00000859
2022-03-16 19:39:20.169964 False [   34877.200426] 0003 0035 0000041a
2022-03-16 19:39:20.169964 False [   34877.200426] 0003 0036 00000854
