Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.745578596409672 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-12 15:31:54.039358 True [   14250.647941] 0003 0036 000001f8
2022-03-12 15:31:54.055442 True [   14250.664895] 0003 0035 000001e4
2022-03-12 15:31:54.055442 True [   14250.664895] 0003 0036 000001f5
2022-03-12 15:31:54.073500 True [   14250.682540] 0003 0035 000001e8
2022-03-12 15:31:54.073500 True [   14250.682540] 0003 0036 000001f3
2022-03-12 15:31:54.089364 True [   14250.698760] 0003 0035 000001e8
2022-03-12 15:31:54.089364 True [   14250.698760] 0003 0036 000001f3
2022-03-12 15:31:54.106822 True [   14250.716414] 0003 0035 000001ed
2022-03-12 15:31:54.106822 True [   14250.716414] 0003 0036 000001ef
2022-03-12 15:31:54.123979 True [   14250.733776] 0003 0035 000001ed
2022-03-12 15:31:54.123979 True [   14250.733776] 0003 0036 000001ef
2022-03-12 15:31:54.141193 True [   14250.750274] 0003 0035 000001ed
2022-03-12 15:31:54.141193 True [   14250.750274] 0003 0036 000001ef
2022-03-12 15:31:54.157471 True [   14250.766976] 0003 0035 000001f1
2022-03-12 15:31:54.157471 True [   14250.766976] 0003 0036 000001eb
2022-03-12 15:31:54.174506 True [   14250.784103] 0003 0035 000001f1
2022-03-12 15:31:54.174506 True [   14250.784103] 0003 0036 000001eb
2022-03-12 15:31:54.191239 True [   14250.801203] 0003 0035 000001f1
2022-03-12 15:31:54.191239 True [   14250.801203] 0003 0036 000001eb
2022-03-12 15:31:54.210075 True [   14250.817804] 0003 0035 000001f1
2022-03-12 15:31:54.210075 True [   14250.817804] 0003 0036 000001eb
2022-03-12 15:31:54.464134 True [   14251.073462] 0003 0035 0000013f
2022-03-12 15:31:54.464134 False [   14251.073462] 0003 0036 00000297
2022-03-12 15:31:54.480338 False [   14251.089820] 0003 0035 0000013f
2022-03-12 15:31:54.480338 False [   14251.089820] 0003 0036 00000297
2022-03-12 15:31:54.496433 False [   14251.105706] 0003 0035 0000013f
2022-03-12 15:31:54.496433 False [   14251.105706] 0003 0036 00000297
2022-03-12 15:31:54.513588 False [   14251.122957] 0003 0035 0000013f
2022-03-12 15:31:54.513588 False [   14251.122957] 0003 0036 00000297
2022-03-12 15:31:54.531371 False [   14251.139940] 0003 0035 0000013f
2022-03-12 15:31:54.531371 False [   14251.139940] 0003 0036 00000297
2022-03-12 15:31:54.547467 False [   14251.155912] 0003 0035 0000013f
2022-03-12 15:31:54.547467 False [   14251.155912] 0003 0036 00000297
2022-03-12 15:31:54.563594 False [   14251.172842] 0003 0035 00000142
2022-03-12 15:31:54.563594 False [   14251.172842] 0003 0036 00000293
2022-03-12 15:31:54.581570 False [   14251.190771] 0003 0035 0000014a
2022-03-12 15:31:54.581570 False [   14251.190771] 0003 0036 0000028e
2022-03-12 15:31:54.598271 False [   14251.207617] 0003 0035 00000157
2022-03-12 15:31:54.598271 False [   14251.207617] 0003 0036 00000288
2022-03-12 15:31:54.618955 False [   14251.224848] 0003 0035 00000166
2022-03-12 15:31:54.618955 False [   14251.224848] 0003 0036 00000282
2022-03-12 15:31:54.638766 False [   14251.246647] 0003 0035 00000175
2022-03-12 15:31:54.638766 False [   14251.246647] 0003 0036 0000027c
2022-03-12 15:31:54.649116 False [   14251.257559] 0003 0035 00000181
2022-03-12 15:31:54.649116 False [   14251.257559] 0003 0036 00000275
2022-03-12 15:31:54.666154 False [   14251.274465] 0003 0035 0000018c
2022-03-12 15:31:54.666154 False [   14251.274465] 0003 0036 0000026e
2022-03-12 15:31:54.685104 False [   14251.291793] 0003 0035 00000199
2022-03-12 15:31:54.685104 False [   14251.291793] 0003 0036 00000267
2022-03-12 15:31:54.698979 False [   14251.308309] 0003 0035 000001a7
2022-03-12 15:31:54.698979 False [   14251.308309] 0003 0036 00000261
2022-03-12 15:31:54.715892 False [   14251.325571] 0003 0035 000001b7
2022-03-12 15:31:54.715892 False [   14251.325571] 0003 0036 0000025b
2022-03-12 15:31:54.733110 False [   14251.342197] 0003 0035 000001c6
2022-03-12 15:31:54.733110 False [   14251.342197] 0003 0036 00000255
2022-03-12 15:31:54.749594 False [   14251.359309] 0003 0035 000001d4
2022-03-12 15:31:54.749594 False [   14251.359309] 0003 0036 00000250
2022-03-12 15:31:54.767191 True [   14251.376192] 0003 0035 000001df
2022-03-12 15:31:54.768210 True [   14251.376192] 0003 0036 0000024b
2022-03-12 15:31:54.783107 True [   14251.392964] 0003 0035 000001e8
2022-03-12 15:31:54.783107 True [   14251.392964] 0003 0036 00000246
2022-03-12 15:31:54.800066 True [   14251.409927] 0003 0035 000001ef
2022-03-12 15:31:54.800066 True [   14251.409927] 0003 0036 00000242
2022-03-12 15:31:54.818480 True [   14251.427037] 0003 0035 000001f5
2022-03-12 15:31:54.818480 True [   14251.427037] 0003 0036 0000023e
2022-03-12 15:31:54.834524 True [   14251.443798] 0003 0035 000001fc
2022-03-12 15:31:54.834524 True [   14251.443798] 0003 0036 0000023a
2022-03-12 15:31:54.851286 True [   14251.461100] 0003 0035 00000204
2022-03-12 15:31:54.851286 True [   14251.461100] 0003 0036 00000236
2022-03-12 15:31:54.867998 True [   14251.477810] 0003 0035 0000020f
2022-03-12 15:31:54.867998 True [   14251.477810] 0003 0036 00000232
2022-03-12 15:31:54.885382 True [   14251.494623] 0003 0035 0000021b
2022-03-12 15:31:54.885382 True [   14251.494623] 0003 0036 0000022e
2022-03-12 15:31:54.903065 True [   14251.511554] 0003 0035 00000226
2022-03-12 15:31:54.903065 True [   14251.511554] 0003 0036 0000022a
2022-03-12 15:31:54.921008 True [   14251.528442] 0003 0035 0000022f
2022-03-12 15:31:54.921008 True [   14251.528442] 0003 0036 00000227
2022-03-12 15:31:54.937137 True [   14251.546224] 0003 0035 00000237
2022-03-12 15:31:54.937137 True [   14251.546224] 0003 0036 00000224
2022-03-12 15:31:54.954562 True [   14251.563118] 0003 0035 0000023d
2022-03-12 15:31:54.954562 True [   14251.563118] 0003 0036 00000221
2022-03-12 15:31:54.970951 True [   14251.579911] 0003 0035 00000242
2022-03-12 15:31:54.970951 True [   14251.579911] 0003 0036 0000021f
2022-03-12 15:31:54.986701 True [   14251.596321] 0003 0035 00000246
2022-03-12 15:31:54.986701 True [   14251.596321] 0003 0036 0000021d
2022-03-12 15:31:55.004312 True [   14251.613227] 0003 0035 00000246
2022-03-12 15:31:55.004312 True [   14251.613227] 0003 0036 0000021d
2022-03-12 15:31:55.021205 True [   14251.631030] 0003 0035 00000246
2022-03-12 15:31:55.021205 True [   14251.631030] 0003 0036 0000021d
2022-03-12 15:31:55.038595 True [   14251.647805] 0003 0035 00000246
2022-03-12 15:31:55.038595 True [   14251.647805] 0003 0036 0000021d
2022-03-12 15:31:55.055140 True [   14251.664177] 0003 0035 00000246
2022-03-12 15:31:55.055140 True [   14251.664177] 0003 0036 0000021d
2022-03-12 15:31:55.073610 True [   14251.681259] 0003 0035 00000246
2022-03-12 15:31:55.073610 True [   14251.681259] 0003 0036 0000021d
2022-03-12 15:31:55.310856 True [   14251.919304] 0003 0035 0000019c
2022-03-12 15:31:55.310856 False [   14251.919304] 0003 0036 000002a2
2022-03-12 15:31:55.326797 False [   14251.935791] 0003 0035 0000019c
2022-03-12 15:31:55.326797 False [   14251.935791] 0003 0036 000002a2
2022-03-12 15:31:55.343392 False [   14251.952557] 0003 0035 0000019c
2022-03-12 15:31:55.343392 False [   14251.952557] 0003 0036 000002a2
2022-03-12 15:31:55.361922 False [   14251.969866] 0003 0035 0000019c
2022-03-12 15:31:55.361922 False [   14251.969866] 0003 0036 000002a2
2022-03-12 15:31:55.377061 False [   14251.986534] 0003 0035 000001a0
2022-03-12 15:31:55.377061 False [   14251.986534] 0003 0036 000002a2
2022-03-12 15:31:55.394495 False [   14252.002670] 0003 0035 000001aa
2022-03-12 15:31:55.394495 False [   14252.002670] 0003 0036 0000029f
2022-03-12 15:31:55.412327 False [   14252.019551] 0003 0035 000001b7
2022-03-12 15:31:55.412327 False [   14252.019551] 0003 0036 0000029c
2022-03-12 15:31:55.430008 False [   14252.037572] 0003 0035 000001c6
2022-03-12 15:31:55.430008 False [   14252.037572] 0003 0036 00000298
2022-03-12 15:31:55.447134 False [   14252.054242] 0003 0035 000001d3
2022-03-12 15:31:55.447134 False [   14252.054242] 0003 0036 00000294
2022-03-12 15:31:55.461337 False [   14252.071144] 0003 0035 000001de
2022-03-12 15:31:55.461337 False [   14252.071144] 0003 0036 0000028f
2022-03-12 15:31:55.478904 False [   14252.088218] 0003 0035 000001ea
2022-03-12 15:31:55.478904 False [   14252.088218] 0003 0036 0000028a
2022-03-12 15:31:55.495418 False [   14252.104566] 0003 0035 000001f9
2022-03-12 15:31:55.495418 False [   14252.104566] 0003 0036 00000284
2022-03-12 15:31:55.513152 False [   14252.121562] 0003 0035 0000020c
2022-03-12 15:31:55.513152 False [   14252.121562] 0003 0036 0000027d
2022-03-12 15:31:55.529976 False [   14252.138460] 0003 0035 0000021f
2022-03-12 15:31:55.529976 False [   14252.138460] 0003 0036 00000276
2022-03-12 15:31:55.546372 False [   14252.155050] 0003 0035 00000230
2022-03-12 15:31:55.546372 False [   14252.155050] 0003 0036 0000026f
2022-03-12 15:31:55.562469 False [   14252.172242] 0003 0035 0000023f
2022-03-12 15:31:55.562469 False [   14252.172242] 0003 0036 00000268
2022-03-12 15:31:55.583133 False [   14252.189323] 0003 0035 0000024b
2022-03-12 15:31:55.583133 True [   14252.189323] 0003 0036 00000262
2022-03-12 15:31:55.597337 False [   14252.206495] 0003 0035 00000258
2022-03-12 15:31:55.597337 True [   14252.206495] 0003 0036 0000025d
2022-03-12 15:31:55.616348 False [   14252.223285] 0003 0035 00000268
2022-03-12 15:31:55.616348 True [   14252.223285] 0003 0036 00000259
2022-03-12 15:31:55.632156 False [   14252.240127] 0003 0035 00000278
2022-03-12 15:31:55.632156 True [   14252.240127] 0003 0036 00000255
2022-03-12 15:31:55.649172 False [   14252.257481] 0003 0035 00000287
2022-03-12 15:31:55.649172 True [   14252.257481] 0003 0036 00000251
2022-03-12 15:31:55.665269 False [   14252.273910] 0003 0035 00000293
2022-03-12 15:31:55.665269 True [   14252.273910] 0003 0036 0000024d
2022-03-12 15:31:55.682188 True [   14252.291370] 0003 0035 0000029d
2022-03-12 15:31:55.682188 True [   14252.291370] 0003 0036 00000249
2022-03-12 15:31:55.698761 True [   14252.308230] 0003 0035 000002a5
2022-03-12 15:31:55.698761 True [   14252.308230] 0003 0036 00000245
2022-03-12 15:31:55.716112 True [   14252.325438] 0003 0035 000002aa
2022-03-12 15:31:55.716112 True [   14252.325438] 0003 0036 00000243
2022-03-12 15:31:55.733208 True [   14252.342094] 0003 0035 000002aa
2022-03-12 15:31:55.733208 True [   14252.342094] 0003 0036 00000243
2022-03-12 15:31:55.750771 True [   14252.358263] 0003 0035 000002af
2022-03-12 15:31:55.750771 True [   14252.358263] 0003 0036 00000240
2022-03-12 15:31:55.767717 True [   14252.375504] 0003 0035 000002b3
2022-03-12 15:31:55.767717 True [   14252.375504] 0003 0036 0000023e
2022-03-12 15:31:55.783554 True [   14252.392948] 0003 0035 000002b3
2022-03-12 15:31:55.783554 True [   14252.392948] 0003 0036 0000023e
2022-03-12 15:31:55.799750 True [   14252.409146] 0003 0035 000002b7
2022-03-12 15:31:55.799750 True [   14252.409146] 0003 0036 0000023c
2022-03-12 15:31:55.816723 True [   14252.426339] 0003 0035 000002b7
2022-03-12 15:31:55.816723 True [   14252.426339] 0003 0036 0000023c
2022-03-12 15:31:55.833711 True [   14252.442713] 0003 0035 000002b7
2022-03-12 15:31:55.833711 True [   14252.442713] 0003 0036 0000023c
2022-03-12 15:31:56.092964 True [   14252.698845] 0003 0035 00000249
2022-03-12 15:31:56.092964 False [   14252.698845] 0003 0036 000002bb
2022-03-12 15:31:56.105662 False [   14252.715453] 0003 0035 00000249
2022-03-12 15:31:56.106668 False [   14252.715453] 0003 0036 000002bb
2022-03-12 15:31:56.122162 False [   14252.731305] 0003 0035 00000249
2022-03-12 15:31:56.122162 False [   14252.731305] 0003 0036 000002bb
2022-03-12 15:31:56.138919 False [   14252.748416] 0003 0035 00000249
2022-03-12 15:31:56.138919 False [   14252.748416] 0003 0036 000002bb
2022-03-12 15:31:56.156517 False [   14252.764722] 0003 0035 00000249
2022-03-12 15:31:56.156517 False [   14252.764722] 0003 0036 000002bb
2022-03-12 15:31:56.175009 False [   14252.781649] 0003 0035 0000024e
2022-03-12 15:31:56.175009 False [   14252.781649] 0003 0036 000002b7
2022-03-12 15:31:56.190983 False [   14252.798605] 0003 0035 00000257
2022-03-12 15:31:56.190983 False [   14252.798605] 0003 0036 000002b2
2022-03-12 15:31:56.210050 False [   14252.816546] 0003 0035 00000266
2022-03-12 15:31:56.210050 False [   14252.816546] 0003 0036 000002ad
2022-03-12 15:31:56.225136 False [   14252.832699] 0003 0035 00000277
2022-03-12 15:31:56.225136 False [   14252.832699] 0003 0036 000002a7
2022-03-12 15:31:56.242970 False [   14252.850119] 0003 0035 00000288
2022-03-12 15:31:56.242970 False [   14252.850119] 0003 0036 000002a0
2022-03-12 15:31:56.257498 False [   14252.866879] 0003 0035 00000297
2022-03-12 15:31:56.257498 False [   14252.866879] 0003 0036 0000029a
2022-03-12 15:31:56.274527 False [   14252.883657] 0003 0035 000002a4
2022-03-12 15:31:56.274527 False [   14252.883657] 0003 0036 00000293
2022-03-12 15:31:56.292173 False [   14252.900482] 0003 0035 000002b3
2022-03-12 15:31:56.292173 False [   14252.900482] 0003 0036 0000028c
2022-03-12 15:31:56.309453 False [   14252.918849] 0003 0035 000002c5
2022-03-12 15:31:56.309453 False [   14252.918849] 0003 0036 00000284
2022-03-12 15:31:56.325063 False [   14252.934598] 0003 0035 000002d7
2022-03-12 15:31:56.325063 False [   14252.934598] 0003 0036 0000027c
2022-03-12 15:31:56.342195 False [   14252.951630] 0003 0035 000002e8
2022-03-12 15:31:56.342195 False [   14252.951630] 0003 0036 00000274
2022-03-12 15:31:56.358512 False [   14252.968326] 0003 0035 000002f6
2022-03-12 15:31:56.358512 False [   14252.968326] 0003 0036 0000026d
2022-03-12 15:31:56.376469 False [   14252.985513] 0003 0035 00000303
2022-03-12 15:31:56.376469 False [   14252.985513] 0003 0036 00000266
2022-03-12 15:31:56.392178 False [   14253.001845] 0003 0035 00000311
2022-03-12 15:31:56.392178 False [   14253.001845] 0003 0036 00000260
2022-03-12 15:31:56.409534 False [   14253.019162] 0003 0035 00000320
2022-03-12 15:31:56.409534 False [   14253.019162] 0003 0036 0000025b
2022-03-12 15:31:56.426438 False [   14253.035857] 0003 0035 0000032e
2022-03-12 15:31:56.426438 False [   14253.035857] 0003 0036 00000257
2022-03-12 15:31:56.445277 False [   14253.053630] 0003 0035 0000033b
2022-03-12 15:31:56.445277 False [   14253.053630] 0003 0036 00000252
2022-03-12 15:31:56.460315 False [   14253.069739] 0003 0035 00000346
2022-03-12 15:31:56.460315 False [   14253.069739] 0003 0036 0000024e
2022-03-12 15:31:56.477104 False [   14253.086555] 0003 0035 0000034f
2022-03-12 15:31:56.477104 False [   14253.086555] 0003 0036 0000024b
2022-03-12 15:31:56.495348 False [   14253.103878] 0003 0035 00000355
2022-03-12 15:31:56.495348 False [   14253.103878] 0003 0036 00000248
2022-03-12 15:31:56.510950 False [   14253.120593] 0003 0035 0000035b
2022-03-12 15:31:56.510950 False [   14253.120593] 0003 0036 00000246
2022-03-12 15:31:56.527837 False [   14253.137308] 0003 0035 0000035f
2022-03-12 15:31:56.527837 False [   14253.137308] 0003 0036 00000244
2022-03-12 15:31:56.545100 False [   14253.154523] 0003 0035 0000035f
2022-03-12 15:31:56.545100 False [   14253.154523] 0003 0036 00000244
2022-03-12 15:31:56.565241 False [   14253.171473] 0003 0035 0000035f
2022-03-12 15:31:56.565241 False [   14253.171473] 0003 0036 00000244
2022-03-12 15:31:56.849933 False [   14253.459602] 0003 0035 000002d2
2022-03-12 15:31:56.849933 False [   14253.459602] 0003 0036 000002bd
2022-03-12 15:31:56.867169 False [   14253.476549] 0003 0035 000002d2
2022-03-12 15:31:56.867169 False [   14253.476549] 0003 0036 000002bd
2022-03-12 15:31:56.884521 False [   14253.494117] 0003 0035 000002d2
2022-03-12 15:31:56.884521 False [   14253.494117] 0003 0036 000002bd
2022-03-12 15:31:56.902094 False [   14253.510413] 0003 0035 000002d8
2022-03-12 15:31:56.902094 False [   14253.510413] 0003 0036 000002bd
2022-03-12 15:31:56.920247 False [   14253.528393] 0003 0035 000002df
2022-03-12 15:31:56.920247 False [   14253.528393] 0003 0036 000002bb
2022-03-12 15:31:56.933549 False [   14253.543872] 0003 0035 000002e6
2022-03-12 15:31:56.933549 False [   14253.543872] 0003 0036 000002b9
2022-03-12 15:31:56.952239 False [   14253.561421] 0003 0035 000002ee
2022-03-12 15:31:56.952239 False [   14253.561421] 0003 0036 000002b6
2022-03-12 15:31:56.970211 False [   14253.578228] 0003 0035 000002f6
2022-03-12 15:31:56.970211 False [   14253.578228] 0003 0036 000002b2
2022-03-12 15:31:56.987150 False [   14253.595139] 0003 0035 000002ff
2022-03-12 15:31:56.987150 False [   14253.595139] 0003 0036 000002ad
2022-03-12 15:31:57.002223 False [   14253.611661] 0003 0035 0000030d
2022-03-12 15:31:57.002223 False [   14253.611661] 0003 0036 000002a7
2022-03-12 15:31:57.019534 False [   14253.629052] 0003 0035 0000031e
2022-03-12 15:31:57.019534 False [   14253.629052] 0003 0036 000002a1
2022-03-12 15:31:57.036532 False [   14253.646097] 0003 0035 00000330
2022-03-12 15:31:57.037569 False [   14253.646097] 0003 0036 0000029a
2022-03-12 15:31:57.054637 False [   14253.662273] 0003 0035 00000341
2022-03-12 15:31:57.054637 False [   14253.662273] 0003 0036 00000292
2022-03-12 15:31:57.070788 False [   14253.679191] 0003 0035 0000034f
2022-03-12 15:31:57.070788 False [   14253.679191] 0003 0036 0000028a
2022-03-12 15:31:57.087804 False [   14253.696484] 0003 0035 0000035c
2022-03-12 15:31:57.087804 False [   14253.696484] 0003 0036 00000282
2022-03-12 15:31:57.104303 False [   14253.714039] 0003 0035 0000036b
2022-03-12 15:31:57.105337 False [   14253.714039] 0003 0036 0000027a
2022-03-12 15:31:57.121059 False [   14253.730738] 0003 0035 0000037d
2022-03-12 15:31:57.121059 False [   14253.730738] 0003 0036 00000272
2022-03-12 15:31:57.138633 False [   14253.747978] 0003 0035 0000038f
2022-03-12 15:31:57.138633 False [   14253.747978] 0003 0036 0000026b
2022-03-12 15:31:57.156157 False [   14253.763821] 0003 0035 000003a0
2022-03-12 15:31:57.156157 False [   14253.763821] 0003 0036 00000264
2022-03-12 15:31:57.171052 False [   14253.780746] 0003 0035 000003af
2022-03-12 15:31:57.171052 False [   14253.780746] 0003 0036 0000025e
2022-03-12 15:31:57.189324 False [   14253.798512] 0003 0035 000003bd
2022-03-12 15:31:57.189324 False [   14253.798512] 0003 0036 00000258
2022-03-12 15:31:57.205310 False [   14253.814777] 0003 0035 000003cf
2022-03-12 15:31:57.205310 False [   14253.814777] 0003 0036 00000251
2022-03-12 15:31:57.222310 False [   14253.831781] 0003 0035 000003e2
2022-03-12 15:31:57.222310 False [   14253.831781] 0003 0036 0000024b
2022-03-12 15:31:57.240420 False [   14253.848956] 0003 0035 000003f3
2022-03-12 15:31:57.240420 False [   14253.848956] 0003 0036 00000245
2022-03-12 15:31:57.256909 False [   14253.866308] 0003 0035 00000401
2022-03-12 15:31:57.256909 False [   14253.866308] 0003 0036 0000023f
2022-03-12 15:31:57.273700 False [   14253.883146] 0003 0035 0000040d
2022-03-12 15:31:57.273700 False [   14253.883146] 0003 0036 0000023a
2022-03-12 15:31:57.291338 False [   14253.900240] 0003 0035 00000416
2022-03-12 15:31:57.291338 False [   14253.900240] 0003 0036 00000235
2022-03-12 15:31:57.307797 False [   14253.917249] 0003 0035 00000420
2022-03-12 15:31:57.307797 False [   14253.917249] 0003 0036 00000230
2022-03-12 15:31:57.326092 False [   14253.933979] 0003 0035 0000042d
2022-03-12 15:31:57.326092 False [   14253.933979] 0003 0036 0000022b
2022-03-12 15:31:57.342981 False [   14253.952347] 0003 0035 0000043b
2022-03-12 15:31:57.342981 False [   14253.952347] 0003 0036 00000226
2022-03-12 15:31:57.358992 False [   14253.967674] 0003 0035 00000449
2022-03-12 15:31:57.358992 False [   14253.967674] 0003 0036 00000221
2022-03-12 15:31:57.377030 False [   14253.984684] 0003 0035 00000456
2022-03-12 15:31:57.377030 False [   14253.984684] 0003 0036 0000021c
2022-03-12 15:31:57.394246 False [   14254.001361] 0003 0035 00000461
2022-03-12 15:31:57.394246 False [   14254.001361] 0003 0036 00000217
2022-03-12 15:31:57.408752 False [   14254.017988] 0003 0035 0000046a
2022-03-12 15:31:57.408752 False [   14254.017988] 0003 0036 00000212
2022-03-12 15:31:57.425655 False [   14254.035234] 0003 0035 00000475
2022-03-12 15:31:57.425655 False [   14254.035234] 0003 0036 0000020d
2022-03-12 15:31:57.442435 False [   14254.051807] 0003 0035 00000486
2022-03-12 15:31:57.442435 False [   14254.051807] 0003 0036 00000208
2022-03-12 15:31:57.459924 False [   14254.069149] 0003 0035 0000049a
2022-03-12 15:31:57.459924 False [   14254.069149] 0003 0036 00000202
2022-03-12 15:31:57.477367 False [   14254.086350] 0003 0035 000004af
