Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.422351992080007 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 15:01:02.756673 False [    2796.287424] 0003 0036 00000354
2022-04-06 15:01:02.765654 False [    2796.295537] 0003 0035 00000433
2022-04-06 15:01:02.765654 False [    2796.295537] 0003 0036 00000353
2022-04-06 15:01:02.774797 False [    2796.305141] 0003 0035 00000436
2022-04-06 15:01:02.780675 False [    2796.312166] 0003 0035 00000439
2022-04-06 15:01:02.790626 False [    2796.321314] 0003 0035 0000043a
2022-04-06 15:01:02.790626 False [    2796.321314] 0003 0036 00000352
2022-04-06 15:01:02.798991 False [    2796.328891] 0003 0035 0000043c
2022-04-06 15:01:02.808204 False [    2796.337405] 0003 0035 0000043d
2022-04-06 15:01:02.815750 False [    2796.345368] 0003 0036 00000351
2022-04-06 15:01:02.843543 False [    2796.371814] 0003 0035 0000043e
2022-04-06 15:01:02.927691 False [    2796.453485] 0003 0036 00000352
2022-04-06 15:01:02.943543 False [    2796.471601] 0003 0035 0000043d
2022-04-06 15:01:02.949398 False [    2796.478391] 0003 0036 00000353
2022-04-06 15:01:02.955640 False [    2796.487011] 0003 0035 0000043c
2022-04-06 15:01:02.963980 False [    2796.494979] 0003 0035 0000043a
2022-04-06 15:01:02.963980 False [    2796.494979] 0003 0036 00000354
2022-04-06 15:01:02.975898 False [    2796.504906] 0003 0035 00000438
2022-04-06 15:01:02.975898 False [    2796.504906] 0003 0036 00000355
2022-04-06 15:01:02.980676 False [    2796.511573] 0003 0035 00000436
2022-04-06 15:01:02.980676 False [    2796.511573] 0003 0036 00000357
2022-04-06 15:01:02.990420 False [    2796.520412] 0003 0035 00000433
2022-04-06 15:01:02.990420 False [    2796.520412] 0003 0036 00000359
2022-04-06 15:01:02.997992 False [    2796.528321] 0003 0035 0000042f
2022-04-06 15:01:02.997992 False [    2796.528321] 0003 0036 0000035a
2022-04-06 15:01:03.007748 False [    2796.537833] 0003 0035 0000042c
2022-04-06 15:01:03.007748 False [    2796.537833] 0003 0036 0000035d
2022-04-06 15:01:03.016775 False [    2796.544872] 0003 0035 00000428
2022-04-06 15:01:03.016775 False [    2796.544872] 0003 0036 0000035e
2022-04-06 15:01:03.022719 False [    2796.553290] 0003 0035 00000424
2022-04-06 15:01:03.022719 False [    2796.553290] 0003 0036 00000360
2022-04-06 15:01:03.029725 False [    2796.561622] 0003 0035 00000421
