Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.0293531747692906 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 3
        ===============================
2022-04-07 18:39:43.616035 False [   17912.943332] 0003 0036 00000332
2022-04-07 18:39:43.625777 False [   17912.952926] 0003 0036 00000346
2022-04-07 18:39:43.630569 False [   17912.959929] 0003 0036 0000035b
2022-04-07 18:39:43.641523 False [   17912.969200] 0003 0036 0000036e
2022-04-07 18:39:43.650089 False [   17912.976948] 0003 0036 00000382
2022-04-07 18:39:43.657064 False [   17912.985074] 0003 0036 00000395
2022-04-07 18:39:43.665769 False [   17912.993191] 0003 0036 000003aa
2022-04-07 18:39:43.675323 False [   17913.001613] 0003 0036 000003bd
2022-04-07 18:39:43.682333 False [   17913.010102] 0003 0035 000005c5
2022-04-07 18:39:43.682333 False [   17913.010102] 0003 0036 000003cf
2022-04-07 18:39:43.692565 False [   17913.019534] 0003 0035 000005c6
2022-04-07 18:39:43.692565 False [   17913.019534] 0003 0036 000003e4
2022-04-07 18:39:43.699872 False [   17913.026422] 0003 0036 000003f0
2022-04-07 18:39:43.710166 False [   17913.036414] 0003 0035 000005c7
2022-04-07 18:39:43.710166 False [   17913.036414] 0003 0036 00000405
2022-04-07 18:39:43.715390 False [   17913.043082] 0003 0035 000005c8
2022-04-07 18:39:43.715390 False [   17913.043082] 0003 0036 0000041c
2022-04-07 18:39:43.723208 False [   17913.051987] 0003 0035 000005c9
2022-04-07 18:39:43.723208 False [   17913.051987] 0003 0036 00000430
2022-04-07 18:39:43.731555 False [   17913.059674] 0003 0036 00000442
2022-04-07 18:39:43.739119 False [   17913.068113] 0003 0035 000005ca
2022-04-07 18:39:43.739119 False [   17913.068113] 0003 0036 00000458
2022-04-07 18:39:43.747424 False [   17913.076300] 0003 0036 0000046d
2022-04-07 18:39:43.757172 False [   17913.085531] 0003 0036 00000484
2022-04-07 18:39:43.764174 False [   17913.093036] 0003 0035 000005c9
2022-04-07 18:39:43.764174 False [   17913.093036] 0003 0036 00000499
2022-04-07 18:39:43.776860 False [   17913.102749] 0003 0036 000004b0
2022-04-07 18:39:43.781658 False [   17913.109557] 0003 0035 000005c8
2022-04-07 18:39:43.781658 False [   17913.109557] 0003 0036 000004c7
2022-04-07 18:39:43.789909 False [   17913.118003] 0003 0035 000005c6
2022-04-07 18:39:43.789909 False [   17913.118003] 0003 0036 000004de
2022-04-07 18:39:43.798845 False [   17913.126289] 0003 0035 000005c5
2022-04-07 18:39:43.798845 False [   17913.126289] 0003 0036 000004f7
2022-04-07 18:39:43.805979 False [   17913.134852] 0003 0035 000005c3
2022-04-07 18:39:43.805979 False [   17913.134852] 0003 0036 00000510
2022-04-07 18:39:43.814401 False [   17913.142922] 0003 0035 000005c0
2022-04-07 18:39:43.814401 False [   17913.142922] 0003 0036 00000528
2022-04-07 18:39:43.821198 False [   17913.151328] 0003 0035 000005bd
2022-04-07 18:39:43.821198 False [   17913.151328] 0003 0036 00000541
2022-04-07 18:39:43.832260 False [   17913.159434] 0003 0035 000005ba
2022-04-07 18:39:43.832260 False [   17913.159434] 0003 0036 0000055a
2022-04-07 18:39:43.841200 False [   17913.169064] 0003 0035 000005b7
2022-04-07 18:39:43.841200 False [   17913.169064] 0003 0036 00000573
2022-04-07 18:39:43.847395 False [   17913.176045] 0003 0035 000005b2
2022-04-07 18:39:43.847395 False [   17913.176045] 0003 0036 0000058e
2022-04-07 18:39:43.858159 False [   17913.185731] 0003 0035 000005af
2022-04-07 18:39:43.858159 False [   17913.185731] 0003 0036 000005a7
2022-04-07 18:39:43.864498 False [   17913.192868] 0003 0035 000005ac
2022-04-07 18:39:43.864498 False [   17913.192868] 0003 0036 000005c0
2022-04-07 18:39:43.871733 False [   17913.201442] 0003 0035 000005aa
2022-04-07 18:39:43.871733 False [   17913.201442] 0003 0036 000005d8
2022-04-07 18:39:43.882603 False [   17913.209324] 0003 0035 000005a9
