Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.6793070579893647 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:48:45.864284 False [  159248.973938] 0003 0036 00000325
2022-04-02 17:48:45.916875 False [  159249.054409] 0003 0035 00000447
2022-04-02 17:48:45.916875 False [  159249.062942] 0003 0035 00000445
2022-04-02 17:48:45.916875 False [  159249.062942] 0003 0036 00000327
2022-04-02 17:48:45.937330 False [  159249.071089] 0003 0035 00000442
2022-04-02 17:48:45.937330 False [  159249.071089] 0003 0036 00000329
2022-04-02 17:48:46.005303 False [  159249.079695] 0003 0035 0000043e
2022-04-02 17:48:46.005303 False [  159249.079695] 0003 0036 0000032b
2022-04-02 17:48:46.006318 False [  159249.087732] 0003 0035 0000043a
2022-04-02 17:48:46.006318 False [  159249.087732] 0003 0036 0000032c
2022-04-02 17:48:46.072731 False [  159249.096176] 0003 0035 00000434
2022-04-02 17:48:46.072731 False [  159249.096176] 0003 0036 0000032e
2022-04-02 17:48:46.072731 False [  159249.105746] 0003 0035 0000042e
2022-04-02 17:48:46.072731 False [  159249.105746] 0003 0036 00000330
2022-04-02 17:48:46.072731 False [  159249.113361] 0003 0035 00000426
2022-04-02 17:48:46.072731 False [  159249.113361] 0003 0036 00000331
2022-04-02 17:48:46.072731 False [  159249.121520] 0003 0035 00000421
2022-04-02 17:48:46.072731 False [  159249.132524] 0003 0035 0000041d
2022-04-02 17:48:46.072731 False [  159249.143517] 0003 0035 00000419
2022-04-02 17:48:46.072731 False [  159249.143517] 0003 0036 00000332
2022-04-02 17:48:46.072731 False [  159249.154000] 0003 0035 00000414
2022-04-02 17:48:46.161305 False [  159249.166743] 0003 0035 0000040a
2022-04-02 17:48:46.161305 False [  159249.166743] 0003 0036 00000331
2022-04-02 17:48:46.161305 False [  159249.177814] 0003 0035 00000404
2022-04-02 17:48:46.161305 False [  159249.190789] 0003 0035 000003fd
2022-04-02 17:48:46.161305 False [  159249.190789] 0003 0036 0000032f
2022-04-02 17:48:46.161305 False [  159249.200767] 0003 0035 000003ed
2022-04-02 17:48:46.161305 False [  159249.200767] 0003 0036 0000032c
2022-04-02 17:48:46.161305 False [  159249.212186] 0003 0035 000003e4
2022-04-02 17:48:46.161305 False [  159249.212186] 0003 0036 00000329
2022-04-02 17:48:46.161305 False [  159249.223135] 0003 0035 000003dd
2022-04-02 17:48:46.161305 False [  159249.223135] 0003 0036 00000328
2022-04-02 17:48:46.236307 False [  159249.232917] 0003 0035 000003cf
2022-04-02 17:48:46.236307 False [  159249.232917] 0003 0036 00000324
2022-04-02 17:48:46.236307 False [  159249.245015] 0003 0035 000003c5
2022-04-02 17:48:46.236307 False [  159249.245015] 0003 0036 00000320
2022-04-02 17:48:46.236307 False [  159249.256594] 0003 0035 000003ba
2022-04-02 17:48:46.236307 False [  159249.256594] 0003 0036 0000031d
2022-04-02 17:48:46.236307 False [  159249.268279] 0003 0035 000003a4
2022-04-02 17:48:46.236307 False [  159249.268279] 0003 0036 00000318
2022-04-02 17:48:46.236307 False [  159249.279125] 0003 0035 0000039a
2022-04-02 17:48:46.236307 False [  159249.279125] 0003 0036 00000315
2022-04-02 17:48:46.236307 False [  159249.288796] 0003 0035 00000385
2022-04-02 17:48:46.236307 False [  159249.288796] 0003 0036 00000313
2022-04-02 17:48:46.236307 False [  159249.299391] 0003 0035 0000037c
2022-04-02 17:48:46.236307 False [  159249.311470] 0003 0035 00000373
2022-04-02 17:48:46.236307 False [  159249.311470] 0003 0036 00000314
2022-04-02 17:48:46.307902 False [  159249.321007] 0003 0035 00000369
2022-04-02 17:48:46.307902 False [  159249.321007] 0003 0036 00000315
2022-04-02 17:48:46.307902 False [  159249.331643] 0003 0035 00000356
2022-04-02 17:48:46.307902 False [  159249.331643] 0003 0036 00000318
2022-04-02 17:48:46.307902 False [  159249.344733] 0003 0035 0000034e
2022-04-02 17:48:46.307902 False [  159249.344733] 0003 0036 0000031a
2022-04-02 17:48:46.307902 False [  159249.355563] 0003 0035 00000347
2022-04-02 17:48:46.307902 False [  159249.368326] 0003 0035 0000033d
2022-04-02 17:48:46.307902 False [  159249.368326] 0003 0036 0000031c
2022-04-02 17:48:46.307902 False [  159249.375470] 0003 0035 00000339
2022-04-02 17:48:46.307902 False [  159249.375470] 0003 0036 0000031d
2022-04-02 17:48:46.307902 False [  159249.385171] 0003 0035 00000338
2022-04-02 17:48:46.307902 False [  159249.385171] 0003 0036 0000031e
2022-04-02 17:48:46.385743 False [  159249.397166] 0003 0035 00000336
2022-04-02 17:48:46.385743 False [  159249.409811] 0003 0035 00000334
2022-04-02 17:48:46.385743 False [  159249.409811] 0003 0036 0000031f
2022-04-02 17:48:46.385743 False [  159249.420652] 0003 0035 00000333
2022-04-02 17:48:46.385743 False [  159249.444565] 0003 0035 00000332
2022-04-02 17:48:46.385743 False [  159249.456803] 0003 0035 0000033b
2022-04-02 17:48:46.385743 False [  159249.456803] 0003 0036 0000031e
2022-04-02 17:48:46.385743 False [  159249.465102] 0003 0035 00000357
2022-04-02 17:48:46.385743 False [  159249.465102] 0003 0036 00000318
2022-04-02 17:48:46.385743 False [  159249.476604] 0003 0035 00000363
2022-04-02 17:48:46.385743 False [  159249.476604] 0003 0036 00000315
2022-04-02 17:48:46.470438 False [  159249.487569] 0003 0035 0000037f
2022-04-02 17:48:46.470438 False [  159249.487569] 0003 0036 00000310
2022-04-02 17:48:46.470438 False [  159249.497074] 0003 0035 000003ab
2022-04-02 17:48:46.470438 False [  159249.497074] 0003 0036 0000030c
2022-04-02 17:48:46.470438 False [  159249.506691] 0003 0035 000003b9
2022-04-02 17:48:46.470438 False [  159249.506691] 0003 0036 0000030a
2022-04-02 17:48:46.470438 False [  159249.514969] 0003 0035 000003da
2022-04-02 17:48:46.470438 False [  159249.528202] 0003 0035 000003ea
2022-04-02 17:48:46.470438 False [  159249.536301] 0003 0035 00000408
2022-04-02 17:48:46.477262 False [  159249.549191] 0003 0035 00000418
2022-04-02 17:48:46.477262 False [  159249.561773] 0003 0035 00000436
2022-04-02 17:48:46.477262 False [  159249.573868] 0003 0035 00000442
2022-04-02 17:48:46.477262 False [  159249.585850] 0003 0035 00000444
2022-04-02 17:48:46.477262 False [  159249.598058] 0003 0035 00000446
2022-04-02 17:48:46.477262 False [  159249.610238] 0003 0035 00000448
2022-04-02 17:48:46.511163 False [  159249.644882] 0003 0035 00000444
2022-04-02 17:48:46.582742 False [  159249.652979] 0003 0035 0000043d
2022-04-02 17:48:46.582742 False [  159249.652979] 0003 0036 00000309
2022-04-02 17:48:46.582742 False [  159249.661507] 0003 0035 00000430
2022-04-02 17:48:46.650840 False [  159249.673931] 0003 0035 0000041d
2022-04-02 17:48:46.650840 False [  159249.685916] 0003 0035 00000405
2022-04-02 17:48:46.650840 False [  159249.685916] 0003 0036 0000030a
2022-04-02 17:48:46.650840 False [  159249.689397] 0003 0035 000003eb
2022-04-02 17:48:46.650840 False [  159249.689397] 0003 0036 0000030b
2022-04-02 17:48:46.650840 False [  159249.700993] 0003 0035 000003cf
2022-04-02 17:48:46.650840 False [  159249.700993] 0003 0036 0000030c
2022-04-02 17:48:46.650840 False [  159249.711084] 0003 0035 000003af
2022-04-02 17:48:46.650840 False [  159249.711084] 0003 0036 0000030f
2022-04-02 17:48:46.650840 False [  159249.722150] 0003 0035 00000373
2022-04-02 17:48:46.650840 False [  159249.722150] 0003 0036 00000313
2022-04-02 17:48:46.650840 False [  159249.733259] 0003 0035 00000355
2022-04-02 17:48:46.650840 False [  159249.733259] 0003 0036 00000315
2022-04-02 17:48:46.726462 False [  159249.742868] 0003 0035 0000033a
2022-04-02 17:48:46.726462 False [  159249.755533] 0003 0035 0000031d
2022-04-02 17:48:46.726462 False [  159249.755533] 0003 0036 00000317
2022-04-02 17:48:46.726462 False [  159249.761218] 0003 0035 000002e6
2022-04-02 17:48:46.726462 False [  159249.761218] 0003 0036 0000031a
2022-04-02 17:48:46.726462 False [  159249.771643] 0003 0035 000002d0
2022-04-02 17:48:46.726462 False [  159249.779879] 0003 0035 000002bb
2022-04-02 17:48:46.726462 False [  159249.791725] 0003 0035 000002aa
2022-04-02 17:48:46.726462 False [  159249.791725] 0003 0036 00000319
2022-04-02 17:48:46.726462 False [  159249.800258] 0003 0035 0000029b
2022-04-02 17:48:46.726462 False [  159249.800258] 0003 0036 00000316
2022-04-02 17:48:46.794971 False [  159249.811707] 0003 0035 00000291
2022-04-02 17:48:46.795964 False [  159249.811707] 0003 0036 00000314
2022-04-02 17:48:46.795964 False [  159249.822334] 0003 0035 00000285
2022-04-02 17:48:46.795964 False [  159249.822334] 0003 0036 0000030e
2022-04-02 17:48:46.795964 False [  159249.831720] 0003 0035 00000282
2022-04-02 17:48:46.795964 False [  159249.831720] 0003 0036 0000030c
2022-04-02 17:48:46.795964 False [  159249.843348] 0003 0035 00000281
2022-04-02 17:48:46.795964 False [  159249.843348] 0003 0036 0000030b
2022-04-02 17:48:46.795964 False [  159249.854507] 0003 0035 00000283
2022-04-02 17:48:46.795964 False [  159249.854507] 0003 0036 00000307
2022-04-02 17:48:46.795964 False [  159249.867276] 0003 0035 00000287
2022-04-02 17:48:46.795964 False [  159249.867276] 0003 0036 00000301
2022-04-02 17:48:46.795964 False [  159249.877518] 0003 0035 000002a2
2022-04-02 17:48:46.795964 False [  159249.877518] 0003 0036 000002ed
2022-04-02 17:48:46.869746 False [  159249.889053] 0003 0035 000002c5
2022-04-02 17:48:46.869746 False [  159249.889053] 0003 0036 000002db
2022-04-02 17:48:46.869746 False [  159249.901709] 0003 0035 000002d0
2022-04-02 17:48:46.869746 False [  159249.901709] 0003 0036 000002d6
2022-04-02 17:48:46.869746 False [  159249.909846] 0003 0035 000002fb
2022-04-02 17:48:46.869746 False [  159249.909846] 0003 0036 000002ca
2022-04-02 17:48:46.869746 False [  159249.917817] 0003 0035 0000031f
2022-04-02 17:48:46.869746 False [  159249.917817] 0003 0036 000002c3
2022-04-02 17:48:46.869746 False [  159249.921617] 0003 0035 00000340
2022-04-02 17:48:46.869746 False [  159249.921617] 0003 0036 000002bd
2022-04-02 17:48:46.869746 False [  159249.932777] 0003 0035 00000359
2022-04-02 17:48:46.869746 False [  159249.932777] 0003 0036 000002b9
2022-04-02 17:48:46.932931 False [  159249.944975] 0003 0035 00000379
2022-04-02 17:48:46.932931 False [  159249.944975] 0003 0036 000002b5
2022-04-02 17:48:46.932931 False [  159249.952574] 0003 0035 000003ab
2022-04-02 17:48:46.932931 False [  159249.952574] 0003 0036 000002b1
2022-04-02 17:48:46.932931 False [  159249.961761] 0003 0035 000003d1
2022-04-02 17:48:46.932931 False [  159249.961761] 0003 0036 000002af
2022-04-02 17:48:46.932931 False [  159249.973464] 0003 0035 000003e1
2022-04-02 17:48:46.932931 False [  159249.985981] 0003 0035 000003f4
2022-04-02 17:48:46.932931 False [  159249.985981] 0003 0036 000002ad
2022-04-02 17:48:46.932931 False [  159249.997201] 0003 0035 00000406
2022-04-02 17:48:46.932931 False [  159249.997201] 0003 0036 000002ab
2022-04-02 17:48:46.932931 False [  159250.008498] 0003 0035 0000040a
2022-04-02 17:48:46.932931 False [  159250.019841] 0003 0035 0000040d
2022-04-02 17:48:46.932931 False [  159250.019841] 0003 0036 000002a9
2022-04-02 17:48:46.956411 False [  159250.030817] 0003 0035 00000410
2022-04-02 17:48:46.956411 False [  159250.030817] 0003 0036 000002a6
2022-04-02 17:48:46.956411 False [  159250.037787] 0003 0035 0000040f
2022-04-02 17:48:46.956411 False [  159250.037787] 0003 0036 000002a5
2022-04-02 17:48:46.956411 False [  159250.044868] 0003 0035 0000040b
2022-04-02 17:48:46.956411 False [  159250.044868] 0003 0036 000002a4
2022-04-02 17:48:46.956411 False [  159250.054600] 0003 0035 00000404
2022-04-02 17:48:46.956411 False [  159250.054600] 0003 0036 000002a3
2022-04-02 17:48:46.956411 False [  159250.065089] 0003 0035 000003f5
2022-04-02 17:48:46.956411 False [  159250.077865] 0003 0035 000003dd
2022-04-02 17:48:46.956411 False [  159250.077865] 0003 0036 000002a5
2022-04-02 17:48:47.017775 False [  159250.085160] 0003 0035 000003a1
2022-04-02 17:48:47.017775 False [  159250.085160] 0003 0036 000002ae
2022-04-02 17:48:47.017775 False [  159250.096781] 0003 0035 0000037d
2022-04-02 17:48:47.017775 False [  159250.096781] 0003 0036 000002b3
2022-04-02 17:48:47.017775 False [  159250.101706] 0003 0035 0000035b
2022-04-02 17:48:47.017775 False [  159250.101706] 0003 0036 000002b9
2022-04-02 17:48:47.017775 False [  159250.110108] 0003 0035 00000339
2022-04-02 17:48:47.017775 False [  159250.110108] 0003 0036 000002bd
2022-04-02 17:48:47.017775 False [  159250.121188] 0003 0035 00000318
2022-04-02 17:48:47.017775 False [  159250.121188] 0003 0036 000002c1
2022-04-02 17:48:47.049248 False [  159250.133303] 0003 0035 000002f7
2022-04-02 17:48:47.049248 False [  159250.133303] 0003 0036 000002c5
2022-04-02 17:48:47.049248 False [  159250.145586] 0003 0035 000002da
2022-04-02 17:48:47.049248 False [  159250.145586] 0003 0036 000002c8
2022-04-02 17:48:47.049248 False [  159250.157008] 0003 0035 000002a6
2022-04-02 17:48:47.049248 False [  159250.157008] 0003 0036 000002cc
2022-04-02 17:48:47.069267 False [  159250.166044] 0003 0035 00000291
2022-04-02 17:48:47.069267 False [  159250.166044] 0003 0036 000002cd
2022-04-02 17:48:47.069267 False [  159250.174906] 0003 0035 0000027f
2022-04-02 17:48:47.069267 False [  159250.174906] 0003 0036 000002ce
2022-04-02 17:48:47.069267 False [  159250.180763] 0003 0035 00000270
2022-04-02 17:48:47.069267 False [  159250.185022] 0003 0035 00000265
2022-04-02 17:48:47.069267 False [  159250.193188] 0003 0035 0000025e
2022-04-02 17:48:47.069267 False [  159250.193188] 0003 0036 000002cd
2022-04-02 17:48:47.074079 False [  159250.201433] 0003 0035 0000025a
2022-04-02 17:48:47.074079 False [  159250.201433] 0003 0036 000002cb
2022-04-02 17:48:47.074079 False [  159250.211378] 0003 0035 00000258
2022-04-02 17:48:47.074079 False [  159250.211378] 0003 0036 000002c9
2022-04-02 17:48:47.142681 False [  159250.236154] 0003 0035 0000025e
2022-04-02 17:48:47.142681 False [  159250.236154] 0003 0036 000002c6
2022-04-02 17:48:47.207319 False [  159250.248142] 0003 0035 00000262
2022-04-02 17:48:47.207319 False [  159250.248142] 0003 0036 000002c4
2022-04-02 17:48:47.207319 False [  159250.257961] 0003 0035 00000278
2022-04-02 17:48:47.207319 False [  159250.257961] 0003 0036 000002b9
2022-04-02 17:48:47.207319 False [  159250.268111] 0003 0035 0000028e
2022-04-02 17:48:47.207319 False [  159250.268111] 0003 0036 000002b2
2022-04-02 17:48:47.207319 False [  159250.280294] 0003 0035 000002c0
2022-04-02 17:48:47.207319 False [  159250.280294] 0003 0036 000002a7
2022-04-02 17:48:47.207319 False [  159250.292487] 0003 0035 000002df
2022-04-02 17:48:47.207319 False [  159250.292487] 0003 0036 000002a2
2022-04-02 17:48:47.272479 False [  159250.302885] 0003 0035 00000300
2022-04-02 17:48:47.272479 False [  159250.302885] 0003 0036 0000029f
2022-04-02 17:48:47.272479 False [  159250.313300] 0003 0035 00000344
2022-04-02 17:48:47.272479 False [  159250.313300] 0003 0036 0000029d
2022-04-02 17:48:47.272479 False [  159250.324179] 0003 0035 00000368
2022-04-02 17:48:47.272479 False [  159250.324179] 0003 0036 0000029e
2022-04-02 17:48:47.272479 False [  159250.335447] 0003 0035 0000038d
2022-04-02 17:48:47.273478 False [  159250.335447] 0003 0036 0000029f
2022-04-02 17:48:47.273478 False [  159250.347176] 0003 0035 000003cd
2022-04-02 17:48:47.273478 False [  159250.347176] 0003 0036 000002a5
2022-04-02 17:48:47.344701 False [  159250.356064] 0003 0035 000003da
2022-04-02 17:48:47.344701 False [  159250.356064] 0003 0036 000002a6
2022-04-02 17:48:47.344701 False [  159250.362746] 0003 0035 000003ef
2022-04-02 17:48:47.344701 False [  159250.362746] 0003 0036 000002a7
2022-04-02 17:48:47.344701 False [  159250.371765] 0003 0035 000003fb
2022-04-02 17:48:47.344701 False [  159250.371765] 0003 0036 000002a8
2022-04-02 17:48:47.344701 False [  159250.381054] 0003 0035 00000407
2022-04-02 17:48:47.344701 False [  159250.391128] 0003 0035 00000410
2022-04-02 17:48:47.344701 False [  159250.403023] 0003 0035 00000417
2022-04-02 17:48:47.344701 False [  159250.403023] 0003 0036 000002a7
2022-04-02 17:48:47.344701 False [  159250.414774] 0003 0035 0000041d
2022-04-02 17:48:47.344701 False [  159250.422784] 0003 0036 000002a6
2022-04-02 17:48:47.383405 False [  159250.437276] 0003 0035 0000041c
2022-04-02 17:48:47.383405 False [  159250.451380] 0003 0035 00000407
2022-04-02 17:48:47.383405 False [  159250.451380] 0003 0036 000002a8
2022-04-02 17:48:47.383405 False [  159250.460561] 0003 0035 000003cd
2022-04-02 17:48:47.383405 False [  159250.460561] 0003 0036 000002ad
2022-04-02 17:48:47.383405 False [  159250.470318] 0003 0035 000003a7
2022-04-02 17:48:47.383405 False [  159250.470318] 0003 0036 000002af
2022-04-02 17:48:47.383405 False [  159250.477344] 0003 0035 0000037b
2022-04-02 17:48:47.383405 False [  159250.477344] 0003 0036 000002b2
