Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:27.309247 True [   18524.401386] 0003 0035 0000037c
2022-03-16 15:12:27.309247 True [   18524.401386] 0003 0036 00000201
2022-03-16 15:12:27.326030 True [   18524.418839] 0003 0035 00000378
2022-03-16 15:12:27.326030 True [   18524.418839] 0003 0036 00000203
2022-03-16 15:12:27.343076 True [   18524.435401] 0003 0035 00000378
2022-03-16 15:12:27.343076 True [   18524.435401] 0003 0036 00000203
2022-03-16 15:12:27.359629 True [   18524.452381] 0003 0035 00000378
2022-03-16 15:12:27.359629 True [   18524.452381] 0003 0036 00000203
2022-03-16 15:12:27.376340 True [   18524.469514] 0003 0035 00000378
2022-03-16 15:12:27.376340 True [   18524.469514] 0003 0036 00000203
2022-03-16 15:12:27.393171 True [   18524.486417] 0003 0035 00000374
2022-03-16 15:12:27.393171 True [   18524.486417] 0003 0036 00000203
2022-03-16 15:12:27.411268 True [   18524.503411] 0003 0035 00000374
2022-03-16 15:12:27.411268 True [   18524.503411] 0003 0036 00000203
2022-03-16 15:12:27.426741 True [   18524.520310] 0003 0035 00000374
2022-03-16 15:12:27.426741 True [   18524.520310] 0003 0036 00000203
2022-03-16 15:12:27.444755 True [   18524.537225] 0003 0035 0000036f
2022-03-16 15:12:27.444755 True [   18524.537225] 0003 0036 00000205
2022-03-16 15:12:27.461037 True [   18524.553768] 0003 0035 0000036b
2022-03-16 15:12:27.461037 True [   18524.553768] 0003 0036 00000205
2022-03-16 15:12:27.478556 True [   18524.570876] 0003 0035 00000366
2022-03-16 15:12:27.478556 True [   18524.570876] 0003 0036 00000207
2022-03-16 15:12:27.496896 True [   18524.587812] 0003 0035 0000035f
2022-03-16 15:12:27.496896 True [   18524.587812] 0003 0036 00000207
2022-03-16 15:12:27.512140 True [   18524.604952] 0003 0035 00000356
2022-03-16 15:12:27.512140 True [   18524.604952] 0003 0036 00000209
2022-03-16 15:12:27.528537 True [   18524.621740] 0003 0035 0000034e
2022-03-16 15:12:27.528537 True [   18524.621740] 0003 0036 00000209
2022-03-16 15:12:27.546943 True [   18524.639097] 0003 0035 00000345
2022-03-16 15:12:27.546943 True [   18524.639097] 0003 0036 0000020b
2022-03-16 15:12:27.562604 True [   18524.655334] 0003 0035 0000033d
2022-03-16 15:12:27.562604 True [   18524.655334] 0003 0036 0000020b
2022-03-16 15:12:27.579544 True [   18524.672923] 0003 0035 00000336
2022-03-16 15:12:27.579544 True [   18524.672923] 0003 0036 0000020b
2022-03-16 15:12:27.597502 True [   18524.690242] 0003 0035 00000330
2022-03-16 15:12:27.597502 True [   18524.690242] 0003 0036 0000020b
2022-03-16 15:12:27.613631 True [   18524.706394] 0003 0035 0000032b
2022-03-16 15:12:27.614650 True [   18524.706394] 0003 0036 0000020d
2022-03-16 15:12:27.630467 True [   18524.723893] 0003 0035 00000327
2022-03-16 15:12:27.630467 True [   18524.723893] 0003 0036 0000020d
2022-03-16 15:12:27.647443 True [   18524.740660] 0003 0035 00000327
2022-03-16 15:12:27.647443 True [   18524.740660] 0003 0036 0000020d
2022-03-16 15:12:27.664013 True [   18524.756959] 0003 0035 00000323
2022-03-16 15:12:27.664013 True [   18524.756959] 0003 0036 0000020d
2022-03-16 15:12:27.680758 True [   18524.774681] 0003 0035 00000323
2022-03-16 15:12:27.680758 True [   18524.774681] 0003 0036 0000020d
2022-03-16 15:12:27.697670 True [   18524.791269] 0003 0035 0000031f
2022-03-16 15:12:27.697670 True [   18524.791269] 0003 0036 0000020f
2022-03-16 15:12:27.715762 True [   18524.807997] 0003 0035 0000031f
2022-03-16 15:12:27.715762 True [   18524.807997] 0003 0036 0000020f
2022-03-16 15:12:27.732127 True [   18524.824919] 0003 0035 0000031a
2022-03-16 15:12:27.732127 True [   18524.824919] 0003 0036 0000020f
2022-03-16 15:12:27.749157 True [   18524.842277] 0003 0035 0000031a
2022-03-16 15:12:27.749157 True [   18524.842277] 0003 0036 0000020f
2022-03-16 15:12:27.765658 True [   18524.859053] 0003 0035 00000315
2022-03-16 15:12:27.765658 True [   18524.859053] 0003 0036 00000211
2022-03-16 15:12:27.782546 True [   18524.875655] 0003 0035 00000311
2022-03-16 15:12:27.783543 True [   18524.875655] 0003 0036 00000213
2022-03-16 15:12:27.799998 True [   18524.893042] 0003 0035 0000030d
2022-03-16 15:12:27.799998 True [   18524.893042] 0003 0036 00000213
2022-03-16 15:12:27.817238 True [   18524.910428] 0003 0035 0000030d
2022-03-16 15:12:27.817238 True [   18524.910428] 0003 0036 00000213
2022-03-16 15:12:27.833272 True [   18524.927047] 0003 0035 00000307
2022-03-16 15:12:27.833272 True [   18524.927047] 0003 0036 00000215
2022-03-16 15:12:27.852126 True [   18524.944237] 0003 0035 000002ff
2022-03-16 15:12:27.852126 True [   18524.944237] 0003 0036 00000215
2022-03-16 15:12:27.867276 True [   18524.960417] 0003 0035 000002f7
2022-03-16 15:12:27.867276 True [   18524.960417] 0003 0036 00000215
2022-03-16 15:12:27.884455 True [   18524.977562] 0003 0035 000002f0
2022-03-16 15:12:27.884455 True [   18524.977562] 0003 0036 00000217
2022-03-16 15:12:27.903124 True [   18524.994888] 0003 0035 000002e9
2022-03-16 15:12:27.903124 True [   18524.994888] 0003 0036 00000217
2022-03-16 15:12:27.919780 True [   18525.011747] 0003 0035 000002e4
2022-03-16 15:12:27.919780 True [   18525.011747] 0003 0036 00000217
2022-03-16 15:12:27.935884 True [   18525.028362] 0003 0035 000002e0
2022-03-16 15:12:27.935884 True [   18525.028362] 0003 0036 00000217
2022-03-16 15:12:27.952779 True [   18525.045441] 0003 0035 000002e0
2022-03-16 15:12:27.952779 True [   18525.045441] 0003 0036 00000217
2022-03-16 15:12:27.968841 True [   18525.062150] 0003 0035 000002dc
2022-03-16 15:12:27.969844 True [   18525.062150] 0003 0036 00000219
