Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.1032237792101471 
        wm_size = [1600 2560] 
        stim_amp = 6 
        baseline_stim = 4
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 14:28:51.535854 True [    7040.599809] 0003 0035 0000034f
2022-04-07 14:28:51.535854 True [    7040.599809] 0003 0036 0000057f
2022-04-07 14:28:51.544414 True [    7040.607867] 0003 0035 00000351
2022-04-07 14:28:51.544414 True [    7040.607867] 0003 0036 00000565
2022-04-07 14:28:51.552450 True [    7040.616370] 0003 0035 00000352
2022-04-07 14:28:51.552450 True [    7040.616370] 0003 0036 00000549
2022-04-07 14:28:51.561342 True [    7040.624631] 0003 0036 0000052d
2022-04-07 14:28:51.569093 True [    7040.632983] 0003 0035 00000353
2022-04-07 14:28:51.569093 True [    7040.632983] 0003 0036 0000050d
2022-04-07 14:28:51.578092 True [    7040.641090] 0003 0035 00000355
2022-04-07 14:28:51.578092 True [    7040.641090] 0003 0036 000004ef
2022-04-07 14:28:51.585849 True [    7040.649587] 0003 0036 000004ce
2022-04-07 14:28:51.594625 True [    7040.657757] 0003 0035 00000356
2022-04-07 14:28:51.594625 True [    7040.657757] 0003 0036 000004ac
2022-04-07 14:28:51.605513 True [    7040.667514] 0003 0035 00000357
2022-04-07 14:28:51.605513 True [    7040.667514] 0003 0036 0000048c
2022-04-07 14:28:51.611497 True [    7040.674597] 0003 0035 00000356
2022-04-07 14:28:51.611497 True [    7040.674597] 0003 0036 0000046c
2022-04-07 14:28:51.620188 True [    7040.683515] 0003 0035 00000357
2022-04-07 14:28:51.620188 True [    7040.683515] 0003 0036 0000044f
2022-04-07 14:28:51.628439 True [    7040.691442] 0003 0035 00000356
2022-04-07 14:28:51.628439 True [    7040.691442] 0003 0036 00000431
2022-04-07 14:28:51.635578 True [    7040.700207] 0003 0035 00000358
2022-04-07 14:28:51.636588 True [    7040.700207] 0003 0036 00000417
2022-04-07 14:28:51.644099 True [    7040.707776] 0003 0035 00000359
2022-04-07 14:28:51.644099 True [    7040.707776] 0003 0036 00000402
2022-04-07 14:28:51.653636 True [    7040.717215] 0003 0035 0000035c
2022-04-07 14:28:51.653636 True [    7040.717215] 0003 0036 000003eb
2022-04-07 14:28:51.660381 True [    7040.724658] 0003 0035 00000360
2022-04-07 14:28:51.661386 True [    7040.724658] 0003 0036 000003d0
2022-04-07 14:28:52.560677 True [    7041.623785] 0003 0035 000003bb
2022-04-07 14:28:52.560677 True [    7041.623785] 0003 0036 000006c3
2022-04-07 14:28:53.142708 False [    7042.205302] 0003 0035 00000347
2022-04-07 14:28:53.142708 False [    7042.205302] 0003 0036 0000082d
2022-04-07 14:28:53.499837 False [    7042.562496] 0003 0035 000003dd
2022-04-07 14:28:53.499837 False [    7042.562496] 0003 0036 00000792
2022-04-07 14:28:53.863132 False [    7042.926445] 0003 0035 00000276
2022-04-07 14:28:53.863132 False [    7042.926445] 0003 0036 0000076f
2022-04-07 14:28:54.061722 False [    7043.125686] 0003 0035 0000027f
2022-04-07 14:28:54.061722 False [    7043.125686] 0003 0036 000006e4
2022-04-07 14:28:54.203330 False [    7043.266810] 0003 0035 0000027e
2022-04-07 14:28:54.203330 False [    7043.266810] 0003 0036 000006da
2022-04-07 14:28:54.261748 False [    7043.325216] 0003 0036 000006dd
2022-04-07 14:28:54.696095 False [    7043.759453] 0003 0035 0000039a
2022-04-07 14:28:54.696095 False [    7043.759453] 0003 0036 000008c5
2022-04-07 14:28:55.269065 False [    7044.332529] 0003 0035 000003f5
2022-04-07 14:28:55.269065 False [    7044.332529] 0003 0036 0000087f
2022-04-07 14:28:56.481608 False [    7045.544469] 0003 0035 00000327
2022-04-07 14:28:56.481608 False [    7045.544469] 0003 0036 000009f4
