Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.0931176187513074 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:19:10.079427 True [   18927.161892] 0003 0036 000001a6
2022-03-16 15:19:10.094065 True [   18927.178683] 0003 0035 00000404
2022-03-16 15:19:10.095074 True [   18927.178683] 0003 0036 0000019f
2022-03-16 15:19:10.115532 True [   18927.195928] 0003 0035 000003f4
2022-03-16 15:19:10.115532 True [   18927.195928] 0003 0036 00000196
2022-03-16 15:19:10.127818 True [   18927.212544] 0003 0035 000003e3
2022-03-16 15:19:10.127818 True [   18927.212544] 0003 0036 0000018b
2022-03-16 15:19:10.144429 True [   18927.229897] 0003 0035 000003cf
2022-03-16 15:19:10.144429 True [   18927.229897] 0003 0036 0000017e
2022-03-16 15:19:10.165684 True [   18927.246189] 0003 0035 000003b8
2022-03-16 15:19:10.165684 True [   18927.246189] 0003 0036 00000170
2022-03-16 15:19:10.178584 True [   18927.263358] 0003 0035 000003a2
2022-03-16 15:19:10.179582 True [   18927.263358] 0003 0036 00000162
2022-03-16 15:19:10.197023 True [   18927.280720] 0003 0035 0000038f
2022-03-16 15:19:10.197023 True [   18927.280720] 0003 0036 00000155
2022-03-16 15:19:10.213019 True [   18927.297769] 0003 0035 00000382
2022-03-16 15:19:10.213019 True [   18927.297769] 0003 0036 0000014a
2022-03-16 15:19:10.232824 True [   18927.314554] 0003 0035 00000378
2022-03-16 15:19:10.232824 True [   18927.314554] 0003 0036 00000140
2022-03-16 15:19:10.247361 True [   18927.331489] 0003 0035 00000372
2022-03-16 15:19:10.247361 True [   18927.331489] 0003 0036 00000138
2022-03-16 15:19:10.265372 True [   18927.347864] 0003 0035 0000036e
2022-03-16 15:19:10.265372 True [   18927.347864] 0003 0036 00000132
2022-03-16 15:19:10.282194 True [   18927.365011] 0003 0035 0000036b
2022-03-16 15:19:10.282194 True [   18927.365011] 0003 0036 0000012e
2022-03-16 15:19:10.303516 True [   18927.382507] 0003 0035 0000036b
2022-03-16 15:19:10.303516 True [   18927.382507] 0003 0036 0000012e
2022-03-16 15:19:10.315975 True [   18927.399959] 0003 0035 0000036b
2022-03-16 15:19:10.315975 True [   18927.399959] 0003 0036 0000012e
2022-03-16 15:19:10.330661 True [   18927.415607] 0003 0035 0000036b
2022-03-16 15:19:10.330661 True [   18927.415607] 0003 0036 0000012e
2022-03-16 15:19:10.347769 True [   18927.432950] 0003 0035 0000036b
2022-03-16 15:19:10.347769 True [   18927.432950] 0003 0036 0000012e
2022-03-16 15:19:10.365584 True [   18927.450619] 0003 0035 0000036b
2022-03-16 15:19:10.365584 True [   18927.450619] 0003 0036 0000012e
2022-03-16 15:19:10.383279 True [   18927.466884] 0003 0035 0000036b
2022-03-16 15:19:10.384260 True [   18927.466884] 0003 0036 0000012e
2022-03-16 15:19:10.402523 True [   18927.483352] 0003 0035 0000036b
2022-03-16 15:19:10.402523 True [   18927.483352] 0003 0036 0000012e
2022-03-16 15:19:10.415877 True [   18927.500254] 0003 0035 0000036b
2022-03-16 15:19:10.415877 True [   18927.500254] 0003 0036 0000012e
2022-03-16 15:19:10.433963 True [   18927.517836] 0003 0035 0000036b
2022-03-16 15:19:10.433963 True [   18927.517836] 0003 0036 0000012e
2022-03-16 15:19:10.453613 True [   18927.534791] 0003 0035 00000370
2022-03-16 15:19:10.453613 True [   18927.534791] 0003 0036 00000133
2022-03-16 15:19:10.469112 True [   18927.551139] 0003 0035 0000037b
2022-03-16 15:19:10.469112 True [   18927.551139] 0003 0036 00000139
2022-03-16 15:19:10.487109 True [   18927.568312] 0003 0035 0000038a
2022-03-16 15:19:10.487109 True [   18927.568312] 0003 0036 00000141
2022-03-16 15:19:10.501222 True [   18927.585958] 0003 0035 00000399
2022-03-16 15:19:10.501222 True [   18927.585958] 0003 0036 0000014a
2022-03-16 15:19:10.521663 True [   18927.602303] 0003 0035 000003a6
2022-03-16 15:19:10.521663 True [   18927.602303] 0003 0036 00000153
2022-03-16 15:19:10.538506 True [   18927.619677] 0003 0035 000003b2
2022-03-16 15:19:10.538506 True [   18927.619677] 0003 0036 0000015d
2022-03-16 15:19:10.554462 True [   18927.635831] 0003 0035 000003bd
2022-03-16 15:19:10.554462 True [   18927.635831] 0003 0036 00000167
2022-03-16 15:19:10.567991 True [   18927.653468] 0003 0035 000003ca
2022-03-16 15:19:10.568989 True [   18927.653468] 0003 0036 00000171
2022-03-16 15:19:10.585942 True [   18927.670673] 0003 0035 000003db
2022-03-16 15:19:10.585942 True [   18927.670673] 0003 0036 0000017b
2022-03-16 15:19:10.606639 True [   18927.687419] 0003 0035 000003ed
2022-03-16 15:19:10.607637 True [   18927.687419] 0003 0036 00000185
2022-03-16 15:19:10.624390 True [   18927.705394] 0003 0035 000003fc
2022-03-16 15:19:10.625437 True [   18927.705394] 0003 0036 0000018f
2022-03-16 15:19:10.636164 True [   18927.721127] 0003 0035 00000409
2022-03-16 15:19:10.636164 True [   18927.721127] 0003 0036 00000198
2022-03-16 15:19:10.656338 True [   18927.737882] 0003 0035 00000413
2022-03-16 15:19:10.656338 True [   18927.737882] 0003 0036 000001a0
2022-03-16 15:19:10.674401 True [   18927.754439] 0003 0035 0000041b
2022-03-16 15:19:10.674401 True [   18927.754439] 0003 0036 000001a8
2022-03-16 15:19:10.690332 True [   18927.771939] 0003 0035 00000422
2022-03-16 15:19:10.690332 True [   18927.771939] 0003 0036 000001ae
2022-03-16 15:19:10.708339 True [   18927.788519] 0003 0035 00000427
2022-03-16 15:19:10.708339 True [   18927.788519] 0003 0036 000001b3
2022-03-16 15:19:10.721741 True [   18927.805515] 0003 0035 0000042b
2022-03-16 15:19:10.721741 True [   18927.805515] 0003 0036 000001b7
2022-03-16 15:19:10.742501 True [   18927.822195] 0003 0035 0000042b
2022-03-16 15:19:10.742501 True [   18927.822195] 0003 0036 000001b7
2022-03-16 15:19:10.758446 True [   18927.839393] 0003 0035 0000042b
2022-03-16 15:19:10.758446 True [   18927.839393] 0003 0036 000001b7
2022-03-16 15:19:10.776026 True [   18927.856362] 0003 0035 0000042b
2022-03-16 15:19:10.776026 True [   18927.856362] 0003 0036 000001b7
2022-03-16 15:19:10.793648 True [   18927.873897] 0003 0035 0000042b
2022-03-16 15:19:10.794660 True [   18927.873897] 0003 0036 000001b7
2022-03-16 15:19:10.808960 True [   18927.890816] 0003 0035 0000042b
2022-03-16 15:19:10.808960 True [   18927.890816] 0003 0036 000001b7
2022-03-16 15:19:10.822216 True [   18927.907567] 0003 0035 00000427
2022-03-16 15:19:10.823210 True [   18927.907567] 0003 0036 000001b0
2022-03-16 15:19:10.842361 True [   18927.924591] 0003 0035 0000041e
2022-03-16 15:19:10.842361 True [   18927.924591] 0003 0036 000001a7
2022-03-16 15:19:10.856860 True [   18927.941471] 0003 0035 0000040e
2022-03-16 15:19:10.856860 True [   18927.941471] 0003 0036 0000019d
2022-03-16 15:19:10.873053 True [   18927.957700] 0003 0035 000003fc
2022-03-16 15:19:10.873053 True [   18927.957700] 0003 0036 00000191
2022-03-16 15:19:10.890491 True [   18927.974982] 0003 0035 000003ea
2022-03-16 15:19:10.890491 True [   18927.974982] 0003 0036 00000185
2022-03-16 15:19:10.911621 True [   18927.991527] 0003 0035 000003db
2022-03-16 15:19:10.911621 True [   18927.991527] 0003 0036 0000017a
2022-03-16 15:19:10.929650 True [   18928.009722] 0003 0035 000003c8
2022-03-16 15:19:10.929650 True [   18928.009722] 0003 0036 0000016e
2022-03-16 15:19:10.943172 True [   18928.025672] 0003 0035 000003b1
2022-03-16 15:19:10.943172 True [   18928.025672] 0003 0036 00000161
2022-03-16 15:19:10.959188 True [   18928.042377] 0003 0035 0000039b
2022-03-16 15:19:10.959188 True [   18928.042377] 0003 0036 00000154
2022-03-16 15:19:10.974533 True [   18928.059678] 0003 0035 00000389
2022-03-16 15:19:10.975533 True [   18928.059678] 0003 0036 00000147
2022-03-16 15:19:10.994858 True [   18928.077230] 0003 0035 0000037a
2022-03-16 15:19:10.994858 True [   18928.077230] 0003 0036 0000013a
2022-03-16 15:19:11.008824 True [   18928.093998] 0003 0035 0000036a
2022-03-16 15:19:11.008824 True [   18928.093998] 0003 0036 0000012e
2022-03-16 15:19:11.026405 True [   18928.110130] 0003 0035 00000358
2022-03-16 15:19:11.026405 True [   18928.110130] 0003 0036 00000124
2022-03-16 15:19:11.042610 True [   18928.127257] 0003 0035 00000346
2022-03-16 15:19:11.042610 True [   18928.127257] 0003 0036 0000011a
2022-03-16 15:19:11.063479 True [   18928.144058] 0003 0035 00000337
2022-03-16 15:19:11.063479 True [   18928.144058] 0003 0036 00000110
2022-03-16 15:19:11.078477 True [   18928.161334] 0003 0035 0000032a
2022-03-16 15:19:11.078477 True [   18928.161334] 0003 0036 00000107
2022-03-16 15:19:11.093914 True [   18928.178302] 0003 0035 0000031f
2022-03-16 15:19:11.093914 True [   18928.178302] 0003 0036 000000fe
2022-03-16 15:19:11.110612 True [   18928.195077] 0003 0035 00000315
2022-03-16 15:19:11.110612 True [   18928.195077] 0003 0036 000000f6
2022-03-16 15:19:11.127543 True [   18928.211786] 0003 0035 0000030a
2022-03-16 15:19:11.127543 True [   18928.211786] 0003 0036 000000ee
2022-03-16 15:19:11.145776 True [   18928.229775] 0003 0035 000002fc
2022-03-16 15:19:11.146774 True [   18928.229775] 0003 0036 000000e6
2022-03-16 15:19:11.160751 True [   18928.245681] 0003 0035 000002ed
2022-03-16 15:19:11.160751 True [   18928.245681] 0003 0036 000000de
2022-03-16 15:19:11.178324 False [   18928.263385] 0003 0035 000002df
2022-03-16 15:19:11.179292 False [   18928.263385] 0003 0036 000000d6
2022-03-16 15:19:11.198753 False [   18928.280690] 0003 0035 000002d3
2022-03-16 15:19:11.198753 False [   18928.280690] 0003 0036 000000cf
