Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.3674502677469232 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:24:30.618334 False [  146993.843452] 0003 0036 000002ac
2022-04-02 14:24:30.618334 False [  146993.860644] 0003 0035 0000020c
2022-04-02 14:24:30.618334 False [  146993.872974] 0003 0036 000002ad
2022-04-02 14:24:30.682408 False [  146993.893879] 0003 0035 00000209
2022-04-02 14:24:30.682408 False [  146993.893879] 0003 0036 000002af
2022-04-02 14:24:30.682408 False [  146993.908212] 0003 0035 00000207
2022-04-02 14:24:30.682408 False [  146993.922700] 0003 0035 00000203
2022-04-02 14:24:30.682408 False [  146993.922700] 0003 0036 000002b0
2022-04-02 14:24:30.682408 False [  146993.930323] 0003 0035 000001fd
2022-04-02 14:24:30.682408 False [  146993.930323] 0003 0036 000002b3
2022-04-02 14:24:30.776428 False [  146993.936243] 0003 0035 000001fa
2022-04-02 14:24:30.776428 False [  146993.948082] 0003 0035 000001f6
2022-04-02 14:24:30.776428 False [  146993.948082] 0003 0036 000002b5
2022-04-02 14:24:30.776428 False [  146993.956770] 0003 0035 000001f2
2022-04-02 14:24:30.776428 False [  146993.956770] 0003 0036 000002b8
2022-04-02 14:24:30.776428 False [  146993.969566] 0003 0035 000001ec
2022-04-02 14:24:30.777469 False [  146993.969566] 0003 0036 000002ba
2022-04-02 14:24:30.777469 False [  146993.981045] 0003 0035 000001e1
2022-04-02 14:24:30.777469 False [  146993.981045] 0003 0036 000002c0
2022-04-02 14:24:30.777469 False [  146993.993805] 0003 0035 000001da
2022-04-02 14:24:30.777469 False [  146993.993805] 0003 0036 000002c4
2022-04-02 14:24:30.830085 False [  146994.007277] 0003 0035 000001cc
2022-04-02 14:24:30.830085 False [  146994.007277] 0003 0036 000002ca
2022-04-02 14:24:30.830085 False [  146994.020508] 0003 0035 000001c6
2022-04-02 14:24:30.830085 False [  146994.020508] 0003 0036 000002ce
2022-04-02 14:24:30.830085 False [  146994.033497] 0003 0035 000001bb
2022-04-02 14:24:30.830085 False [  146994.033497] 0003 0036 000002d4
