Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.9799148470948775 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:01:54.841858 True [  156438.030805] 0003 0035 000004aa
2022-04-02 17:01:54.841858 True [  156438.030805] 0003 0036 000003ba
2022-04-02 17:01:54.851255 True [  156438.038997] 0003 0035 000004ab
2022-04-02 17:01:54.851255 True [  156438.038997] 0003 0036 000003b7
2022-04-02 17:01:54.860512 True [  156438.047823] 0003 0036 000003b5
2022-04-02 17:01:54.867200 True [  156438.055728] 0003 0035 000004ac
2022-04-02 17:01:54.867200 True [  156438.055728] 0003 0036 000003b4
2022-04-02 17:01:54.877393 True [  156438.064559] 0003 0036 000003b3
2022-04-02 17:01:54.883951 True [  156438.072296] 0003 0036 000003b2
2022-04-02 17:01:54.892380 True [  156438.081100] 0003 0036 000003b1
2022-04-02 17:01:54.902153 True [  156438.088942] 0003 0036 000003b0
2022-04-02 17:01:54.910839 True [  156438.097332] 0003 0036 000003b3
2022-04-02 17:01:54.918019 True [  156438.105599] 0003 0036 000003b5
2022-04-02 17:01:54.936324 True [  156438.122457] 0003 0036 000003b7
2022-04-02 17:01:54.943306 True [  156438.130892] 0003 0035 000004a9
2022-04-02 17:01:54.943306 True [  156438.130892] 0003 0036 000003bf
2022-04-02 17:01:54.952339 True [  156438.138969] 0003 0035 000004a8
2022-04-02 17:01:54.952339 True [  156438.138969] 0003 0036 000003c5
2022-04-02 17:01:54.961028 True [  156438.147939] 0003 0035 000004a7
2022-04-02 17:01:54.961028 True [  156438.147939] 0003 0036 000003c9
2022-04-02 17:01:54.967053 True [  156438.155366] 0003 0035 000004a6
2022-04-02 17:01:54.967053 True [  156438.155366] 0003 0036 000003cc
2022-04-02 17:01:54.976572 True [  156438.164001] 0003 0035 000004a5
2022-04-02 17:01:54.976572 True [  156438.164001] 0003 0036 000003d1
2022-04-02 17:01:54.984331 True [  156438.172377] 0003 0036 000003d6
2022-04-02 17:01:54.993702 True [  156438.180883] 0003 0035 000004a4
2022-04-02 17:01:54.993702 True [  156438.180883] 0003 0036 000003d9
2022-04-02 17:01:55.001791 True [  156438.189102] 0003 0035 000004a3
2022-04-02 17:01:55.001791 True [  156438.189102] 0003 0036 000003dc
2022-04-02 17:01:55.010320 True [  156438.197050] 0003 0036 000003de
2022-04-02 17:01:55.019224 True [  156438.205586] 0003 0035 000004a2
2022-04-02 17:01:55.019224 True [  156438.205586] 0003 0036 000003df
2022-04-02 17:01:55.026663 True [  156438.213672] 0003 0036 000003e0
2022-04-02 17:01:55.035337 True [  156438.222062] 0003 0036 000003e1
2022-04-02 17:01:55.042402 True [  156438.230816] 0003 0036 000003e2
2022-04-02 17:01:55.069323 True [  156438.255405] 0003 0036 000003e3
2022-04-02 17:01:55.075590 True [  156438.263933] 0003 0036 000003e1
2022-04-02 17:01:55.083537 True [  156438.271818] 0003 0036 000003df
2022-04-02 17:01:55.093111 True [  156438.280574] 0003 0035 000004a3
2022-04-02 17:01:55.093111 True [  156438.280574] 0003 0036 000003da
2022-04-02 17:01:55.101146 True [  156438.288713] 0003 0035 000004a5
2022-04-02 17:01:55.101146 True [  156438.288713] 0003 0036 000003d5
2022-04-02 17:01:55.110392 True [  156438.297613] 0003 0035 000004a6
2022-04-02 17:01:55.110392 True [  156438.297613] 0003 0036 000003ce
2022-04-02 17:01:55.117520 True [  156438.305024] 0003 0035 000004a8
2022-04-02 17:01:55.117520 True [  156438.305024] 0003 0036 000003c9
2022-04-02 17:01:55.125255 True [  156438.313552] 0003 0035 000004aa
2022-04-02 17:01:55.125255 True [  156438.313552] 0003 0036 000003c4
2022-04-02 17:01:55.142128 True [  156438.330223] 0003 0035 000004ac
2022-04-02 17:01:55.142128 True [  156438.330223] 0003 0036 000003bc
2022-04-02 17:01:55.151994 True [  156438.338431] 0003 0035 000004ae
2022-04-02 17:01:55.151994 True [  156438.338431] 0003 0036 000003b7
2022-04-02 17:01:55.159431 True [  156438.346818] 0003 0035 000004b0
