Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.34174130018692 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:01:48.276218 False [  160031.298613] 0003 0036 00000817
2022-04-02 18:01:48.276218 False [  160031.306787] 0003 0035 000003c6
2022-04-02 18:01:48.276218 False [  160031.306787] 0003 0036 000007f0
2022-04-02 18:01:48.276218 False [  160031.315037] 0003 0035 000003c7
2022-04-02 18:01:48.276218 False [  160031.315037] 0003 0036 000007e7
2022-04-02 18:01:48.276218 False [  160031.326999] 0003 0036 000007dd
2022-04-02 18:01:48.297413 False [  160031.341653] 0003 0035 000003c8
2022-04-02 18:01:48.297413 False [  160031.341653] 0003 0036 000007d5
2022-04-02 18:01:48.297413 False [  160031.353214] 0003 0035 000003cf
2022-04-02 18:01:48.297413 False [  160031.353214] 0003 0036 000007a1
2022-04-02 18:01:48.297413 False [  160031.367523] 0003 0035 000003d2
2022-04-02 18:01:48.297413 False [  160031.367523] 0003 0036 00000793
2022-04-02 18:01:48.297413 False [  160031.378184] 0003 0035 0000041b
2022-04-02 18:01:48.297413 False [  160031.378184] 0003 0036 00000730
2022-04-02 18:01:48.297413 False [  160031.392132] 0003 0035 0000042b
2022-04-02 18:01:48.297413 False [  160031.392132] 0003 0036 00000725
2022-04-02 18:01:48.297413 False [  160031.404407] 0003 0035 00000427
2022-04-02 18:01:48.297413 False [  160031.404407] 0003 0036 0000072a
2022-04-02 18:01:48.297413 False [  160031.411353] 0003 0035 0000041c
2022-04-02 18:01:48.297413 False [  160031.411353] 0003 0036 00000734
2022-04-02 18:01:48.297413 False [  160031.414554] 0003 0035 0000040e
2022-04-02 18:01:48.297413 False [  160031.414554] 0003 0036 0000073f
2022-04-02 18:01:50.599682 False [  160033.725027] 0003 0035 00000072
2022-04-02 18:01:50.599682 False [  160033.725027] 0003 0036 000001a7
2022-04-02 18:01:50.718739 False [  160033.832782] 0003 0035 00000074
2022-04-02 18:01:50.718739 False [  160033.832782] 0003 0036 000001aa
2022-04-02 18:01:52.631478 False [  160035.754719] 0003 0035 00000403
2022-04-02 18:01:52.631478 True [  160035.754719] 0003 0036 00000605
2022-04-02 18:01:52.738663 True [  160035.802370] 0003 0036 00000606
2022-04-02 18:01:52.769534 True [  160035.814456] 0003 0035 00000404
2022-04-02 18:01:52.769534 True [  160035.814456] 0003 0036 00000608
2022-04-02 18:01:52.769534 True [  160035.818927] 0003 0035 00000405
2022-04-02 18:01:52.769534 True [  160035.818927] 0003 0036 0000060a
2022-04-02 18:01:52.769534 True [  160035.828658] 0003 0035 00000407
2022-04-02 18:01:52.769534 True [  160035.828658] 0003 0036 0000060d
2022-04-02 18:01:52.769534 True [  160035.838157] 0003 0035 00000408
2022-04-02 18:01:52.769534 True [  160035.838157] 0003 0036 0000060f
2022-04-02 18:01:52.769534 True [  160035.852225] 0003 0035 0000040a
2022-04-02 18:01:52.769534 True [  160035.852225] 0003 0036 00000612
2022-04-02 18:01:52.769534 True [  160035.866396] 0003 0035 0000040b
2022-04-02 18:01:52.769534 True [  160035.866396] 0003 0036 00000615
2022-04-02 18:01:52.769534 True [  160035.877668] 0003 0035 0000040c
2022-04-02 18:01:52.769534 True [  160035.877668] 0003 0036 00000616
2022-04-02 18:01:52.787259 True [  160035.889821] 0003 0035 0000040d
2022-04-02 18:01:52.787259 True [  160035.889821] 0003 0036 00000618
2022-04-02 18:01:52.787259 True [  160035.899826] 0003 0035 0000040e
2022-04-02 18:01:52.787259 True [  160035.899826] 0003 0036 00000619
2022-04-02 18:01:52.792433 True [  160035.910493] 0003 0035 0000040f
2022-04-02 18:01:52.887659 True [  160035.954148] 0003 0035 00000410
2022-04-02 18:01:52.972668 True [  160035.976897] 0003 0035 00000412
