Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.692117123680261 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:37:44.267369 True [  154987.475363] 0003 0035 0000034e
2022-04-02 16:37:44.275159 True [  154987.483708] 0003 0035 0000034b
2022-04-02 16:37:44.284016 True [  154987.492087] 0003 0035 00000348
2022-04-02 16:37:44.291794 True [  154987.500409] 0003 0035 00000345
2022-04-02 16:37:44.291794 True [  154987.500409] 0003 0036 00000378
2022-04-02 16:37:44.299994 True [  154987.509197] 0003 0035 00000343
2022-04-02 16:37:44.308651 True [  154987.516942] 0003 0035 00000340
2022-04-02 16:37:44.308651 True [  154987.516942] 0003 0036 00000377
2022-04-02 16:37:44.315913 True [  154987.525325] 0003 0035 0000033d
2022-04-02 16:37:44.316973 True [  154987.525325] 0003 0036 00000376
2022-04-02 16:37:44.325339 True [  154987.533551] 0003 0035 0000033b
2022-04-02 16:37:44.325339 True [  154987.533551] 0003 0036 00000375
2022-04-02 16:37:44.332496 True [  154987.541839] 0003 0035 00000339
2022-04-02 16:37:44.340621 True [  154987.549862] 0003 0035 00000337
2022-04-02 16:37:44.348476 True [  154987.558229] 0003 0035 00000335
2022-04-02 16:37:44.349328 True [  154987.558229] 0003 0036 00000374
2022-04-02 16:37:44.358264 True [  154987.566525] 0003 0035 00000334
2022-04-02 16:37:44.366870 True [  154987.575076] 0003 0035 00000332
2022-04-02 16:37:44.374803 True [  154987.583438] 0003 0035 00000331
2022-04-02 16:37:44.381473 True [  154987.591738] 0003 0035 0000032e
2022-04-02 16:37:44.390510 True [  154987.599961] 0003 0035 0000032c
2022-04-02 16:37:44.400513 True [  154987.608514] 0003 0035 00000329
2022-04-02 16:37:44.400513 True [  154987.608514] 0003 0036 00000373
2022-04-02 16:37:44.407243 True [  154987.616633] 0003 0035 00000327
2022-04-02 16:37:44.415749 True [  154987.625448] 0003 0035 00000324
2022-04-02 16:37:44.423367 True [  154987.632864] 0003 0035 00000322
2022-04-02 16:37:44.433019 True [  154987.641498] 0003 0035 0000031f
2022-04-02 16:37:44.440411 True [  154987.649887] 0003 0035 0000031d
2022-04-02 16:37:44.449638 True [  154987.658152] 0003 0035 0000031a
2022-04-02 16:37:44.449638 True [  154987.658152] 0003 0036 00000372
2022-04-02 16:37:44.457863 True [  154987.666182] 0003 0035 00000317
2022-04-02 16:37:44.465358 True [  154987.674726] 0003 0035 00000315
2022-04-02 16:37:44.474887 True [  154987.683084] 0003 0035 00000312
2022-04-02 16:37:44.482277 True [  154987.691565] 0003 0035 00000310
2022-04-02 16:37:44.490450 True [  154987.699789] 0003 0035 0000030d
2022-04-02 16:37:44.499490 True [  154987.708811] 0003 0035 0000030b
2022-04-02 16:37:44.507659 True [  154987.716200] 0003 0035 00000308
2022-04-02 16:37:44.516609 True [  154987.725005] 0003 0035 00000304
2022-04-02 16:37:44.516609 True [  154987.725005] 0003 0036 00000371
2022-04-02 16:37:44.524191 True [  154987.732894] 0003 0035 00000302
2022-04-02 16:37:44.533648 True [  154987.742270] 0003 0035 000002fe
2022-04-02 16:37:44.540859 True [  154987.749743] 0003 0035 000002fc
2022-04-02 16:37:44.549739 True [  154987.757679] 0003 0035 000002f8
2022-04-02 16:37:44.549739 True [  154987.757679] 0003 0036 00000370
2022-04-02 16:37:44.557506 True [  154987.765922] 0003 0035 000002f5
2022-04-02 16:37:44.565309 True [  154987.774500] 0003 0035 000002f1
2022-04-02 16:37:44.574082 True [  154987.782473] 0003 0035 000002ef
2022-04-02 16:37:44.574082 True [  154987.782473] 0003 0036 0000036f
2022-04-02 16:37:44.582447 True [  154987.790885] 0003 0035 000002eb
2022-04-02 16:37:44.590673 True [  154987.799466] 0003 0035 000002e8
2022-04-02 16:37:44.599545 True [  154987.807934] 0003 0035 000002e4
2022-04-02 16:37:44.607581 True [  154987.815760] 0003 0035 000002e1
2022-04-02 16:37:44.615296 True [  154987.824498] 0003 0035 000002de
2022-04-02 16:37:44.623037 True [  154987.832571] 0003 0035 000002d9
2022-04-02 16:37:44.631155 True [  154987.840976] 0003 0035 000002d4
2022-04-02 16:37:44.639865 True [  154987.849000] 0003 0035 000002d0
2022-04-02 16:37:44.648781 True [  154987.857581] 0003 0035 000002ca
2022-04-02 16:37:44.648781 True [  154987.857581] 0003 0036 00000370
2022-04-02 16:37:44.657623 True [  154987.865974] 0003 0035 000002c6
2022-04-02 16:37:44.657623 True [  154987.865974] 0003 0036 00000371
2022-04-02 16:37:44.663890 True [  154987.873981] 0003 0035 000002c0
2022-04-02 16:37:44.664888 True [  154987.873981] 0003 0036 00000372
2022-04-02 16:37:44.673793 True [  154987.882254] 0003 0035 000002bb
2022-04-02 16:37:44.673793 True [  154987.882254] 0003 0036 00000373
2022-04-02 16:37:44.681669 True [  154987.890895] 0003 0035 000002b5
2022-04-02 16:37:44.683151 True [  154987.890895] 0003 0036 00000374
2022-04-02 16:37:44.690662 True [  154987.898846] 0003 0035 000002af
2022-04-02 16:37:44.690662 True [  154987.898846] 0003 0036 00000376
2022-04-02 16:37:44.698312 True [  154987.907524] 0003 0035 000002a9
2022-04-02 16:37:44.699177 True [  154987.907524] 0003 0036 00000378
2022-04-02 16:37:44.707366 True [  154987.915814] 0003 0035 000002a3
2022-04-02 16:37:44.707366 True [  154987.915814] 0003 0036 00000379
2022-04-02 16:37:44.715552 True [  154987.924705] 0003 0035 0000029d
2022-04-02 16:37:44.716661 True [  154987.924705] 0003 0036 0000037c
2022-04-02 16:37:44.723123 True [  154987.932422] 0003 0035 00000297
2022-04-02 16:37:44.724122 True [  154987.932422] 0003 0036 0000037f
2022-04-02 16:37:44.730666 True [  154987.940621] 0003 0035 00000291
2022-04-02 16:37:44.732146 True [  154987.940621] 0003 0036 00000380
2022-04-02 16:37:44.739452 True [  154987.948928] 0003 0035 0000028b
2022-04-02 16:37:44.739452 True [  154987.948928] 0003 0036 00000383
2022-04-02 16:37:44.748361 True [  154987.957234] 0003 0035 00000286
2022-04-02 16:37:44.750722 True [  154987.957234] 0003 0036 00000384
2022-04-02 16:37:44.755374 True [  154987.965328] 0003 0035 00000281
2022-04-02 16:37:44.756696 True [  154987.965328] 0003 0036 00000386
2022-04-02 16:37:44.765792 True [  154987.973737] 0003 0035 0000027d
2022-04-02 16:37:44.765792 True [  154987.973737] 0003 0036 00000388
2022-04-02 16:37:44.773679 True [  154987.981960] 0003 0035 00000278
2022-04-02 16:37:44.773679 True [  154987.981960] 0003 0036 0000038a
2022-04-02 16:37:44.781413 True [  154987.990365] 0003 0035 00000274
2022-04-02 16:37:44.781413 True [  154987.990365] 0003 0036 0000038d
2022-04-02 16:37:44.789489 True [  154987.998574] 0003 0035 0000026f
2022-04-02 16:37:44.789489 True [  154987.998574] 0003 0036 0000038f
2022-04-02 16:37:44.797408 True [  154988.007006] 0003 0035 0000026b
2022-04-02 16:37:44.797408 True [  154988.007006] 0003 0036 00000391
2022-04-02 16:37:44.805464 True [  154988.015173] 0003 0035 00000266
2022-04-02 16:37:44.806470 True [  154988.015173] 0003 0036 00000393
2022-04-02 16:37:44.813617 True [  154988.023550] 0003 0035 00000262
2022-04-02 16:37:44.813617 True [  154988.023550] 0003 0036 00000394
2022-04-02 16:37:44.822026 True [  154988.031792] 0003 0035 0000025e
2022-04-02 16:37:44.822026 True [  154988.031792] 0003 0036 00000396
2022-04-02 16:37:44.831368 True [  154988.040381] 0003 0035 0000025a
2022-04-02 16:37:44.831368 True [  154988.040381] 0003 0036 00000398
2022-04-02 16:37:44.839320 True [  154988.048517] 0003 0035 00000257
2022-04-02 16:37:44.839320 True [  154988.048517] 0003 0036 0000039a
2022-04-02 16:37:44.847026 True [  154988.056838] 0003 0035 00000253
2022-04-02 16:37:44.848081 True [  154988.056838] 0003 0036 0000039b
2022-04-02 16:37:44.855351 True [  154988.065146] 0003 0035 00000250
2022-04-02 16:37:44.855351 True [  154988.065146] 0003 0036 0000039c
2022-04-02 16:37:44.864234 True [  154988.073508] 0003 0035 0000024d
2022-04-02 16:37:44.864234 True [  154988.073508] 0003 0036 0000039e
2022-04-02 16:37:44.872027 True [  154988.081676] 0003 0035 0000024b
2022-04-02 16:37:44.872027 True [  154988.081676] 0003 0036 0000039f
2022-04-02 16:37:44.881420 True [  154988.090084] 0003 0035 00000249
2022-04-02 16:37:44.881420 True [  154988.090084] 0003 0036 000003a0
2022-04-02 16:37:44.888626 True [  154988.098245] 0003 0035 00000248
2022-04-02 16:37:44.888626 True [  154988.098245] 0003 0036 000003a1
2022-04-02 16:37:44.897027 True [  154988.106718] 0003 0035 00000246
2022-04-02 16:37:44.898070 True [  154988.106718] 0003 0036 000003a3
2022-04-02 16:37:44.906381 True [  154988.114988] 0003 0035 00000244
2022-04-02 16:37:44.906381 True [  154988.114988] 0003 0036 000003a4
2022-04-02 16:37:44.913693 True [  154988.123382] 0003 0035 00000242
2022-04-02 16:37:44.913693 True [  154988.123382] 0003 0036 000003a5
2022-04-02 16:37:44.923080 True [  154988.131583] 0003 0035 0000023f
2022-04-02 16:37:44.923080 True [  154988.131583] 0003 0036 000003a7
2022-04-02 16:37:44.930360 True [  154988.139951] 0003 0035 0000023e
2022-04-02 16:37:44.931418 True [  154988.139951] 0003 0036 000003a9
2022-04-02 16:37:44.938699 True [  154988.148205] 0003 0035 0000023c
2022-04-02 16:37:44.938699 True [  154988.148205] 0003 0036 000003aa
2022-04-02 16:37:44.947027 True [  154988.156629] 0003 0035 0000023b
2022-04-02 16:37:44.947027 True [  154988.156629] 0003 0036 000003ab
2022-04-02 16:37:44.955345 True [  154988.164931] 0003 0035 00000239
2022-04-02 16:37:44.955345 True [  154988.164931] 0003 0036 000003ad
2022-04-02 16:37:44.963677 True [  154988.173183] 0003 0035 00000237
2022-04-02 16:37:44.963677 True [  154988.173183] 0003 0036 000003af
2022-04-02 16:37:44.972758 True [  154988.181496] 0003 0035 00000234
2022-04-02 16:37:44.972758 True [  154988.181496] 0003 0036 000003b2
2022-04-02 16:37:44.980360 True [  154988.189838] 0003 0035 00000231
2022-04-02 16:37:44.980360 True [  154988.189838] 0003 0036 000003b5
2022-04-02 16:37:44.988448 True [  154988.198071] 0003 0035 0000022f
2022-04-02 16:37:44.988448 True [  154988.198071] 0003 0036 000003b8
2022-04-02 16:37:44.996994 True [  154988.206400] 0003 0035 0000022d
