Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.096564172022006 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:32:01.909099 True [  158245.068291] 0003 0036 000004a1
2022-04-02 17:32:01.918629 True [  158245.076787] 0003 0036 000004a2
2022-04-02 17:32:01.924280 True [  158245.084902] 0003 0035 00000498
2022-04-02 17:32:01.924280 True [  158245.084902] 0003 0036 000004a4
2022-04-02 17:32:01.945481 True [  158245.101436] 0003 0035 00000499
2022-04-02 17:32:01.945481 True [  158245.101436] 0003 0036 000004a5
2022-04-02 17:32:01.950004 True [  158245.110063] 0003 0036 000004a6
2022-04-02 17:32:01.959370 True [  158245.118056] 0003 0036 000004a7
2022-04-02 17:32:01.964931 True [  158245.126517] 0003 0035 0000049a
2022-04-02 17:32:01.964931 True [  158245.126517] 0003 0036 000004a8
2022-04-02 17:32:01.987534 True [  158245.144293] 0003 0036 000004a9
2022-04-02 17:32:02.030406 True [  158245.186490] 0003 0035 0000049b
2022-04-02 17:32:02.060303 True [  158245.218468] 0003 0035 0000049c
2022-04-02 17:32:02.108596 True [  158245.268162] 0003 0036 000004a8
2022-04-02 17:32:02.120230 True [  158245.276383] 0003 0036 000004a6
2022-04-02 17:32:02.126476 True [  158245.285199] 0003 0035 0000049d
2022-04-02 17:32:02.126476 True [  158245.285199] 0003 0036 000004a5
2022-04-02 17:32:02.138930 True [  158245.293235] 0003 0036 000004a4
2022-04-02 17:32:02.142862 True [  158245.301109] 0003 0036 000004a3
2022-04-02 17:32:02.150038 True [  158245.309509] 0003 0036 000004a2
2022-04-02 17:32:02.159467 True [  158245.317645] 0003 0035 0000049e
2022-04-02 17:32:02.159467 True [  158245.317645] 0003 0036 000004a1
2022-04-02 17:32:02.167380 True [  158245.326062] 0003 0036 000004a0
2022-04-02 17:32:02.177010 True [  158245.334263] 0003 0036 0000049f
2022-04-02 17:32:02.193840 True [  158245.352660] 0003 0036 0000049e
2022-04-02 17:32:02.209280 True [  158245.359868] 0003 0036 0000049c
2022-04-02 17:32:02.218121 True [  158245.367597] 0003 0036 00000499
2022-04-02 17:32:02.232477 True [  158245.376194] 0003 0036 00000497
2022-04-02 17:32:02.239780 True [  158245.384154] 0003 0036 00000495
2022-04-02 17:32:02.239780 True [  158245.392685] 0003 0035 0000049f
2022-04-02 17:32:02.239780 True [  158245.392685] 0003 0036 00000493
2022-04-02 17:32:02.252348 True [  158245.409155] 0003 0036 00000492
2022-04-02 17:32:02.260353 True [  158245.417343] 0003 0036 00000491
2022-04-02 17:32:02.273035 True [  158245.426078] 0003 0036 0000048d
2022-04-02 17:32:02.273035 True [  158245.434232] 0003 0036 0000048a
2022-04-02 17:32:02.285252 True [  158245.442636] 0003 0036 00000486
2022-04-02 17:32:02.294033 True [  158245.450622] 0003 0035 000004a0
2022-04-02 17:32:02.294033 True [  158245.450622] 0003 0036 00000483
2022-04-02 17:32:02.302396 True [  158245.459130] 0003 0036 00000481
2022-04-02 17:32:02.310055 True [  158245.467328] 0003 0036 0000047e
2022-04-02 17:32:02.318411 True [  158245.475983] 0003 0036 0000047b
2022-04-02 17:32:02.327251 True [  158245.483939] 0003 0036 00000479
2022-04-02 17:32:02.339091 True [  158245.492302] 0003 0036 00000475
2022-04-02 17:32:02.342737 True [  158245.500663] 0003 0035 000004a1
2022-04-02 17:32:02.342737 True [  158245.500663] 0003 0036 00000474
2022-04-02 17:32:02.350291 True [  158245.508912] 0003 0036 00000472
2022-04-02 17:32:02.360242 True [  158245.517114] 0003 0036 0000046f
2022-04-02 17:32:02.367240 True [  158245.525589] 0003 0036 0000046c
2022-04-02 17:32:02.376947 True [  158245.533719] 0003 0036 0000046a
2022-04-02 17:32:02.383352 True [  158245.542126] 0003 0036 00000467
2022-04-02 17:32:02.397566 True [  158245.550355] 0003 0036 00000464
2022-04-02 17:32:02.400207 True [  158245.559142] 0003 0036 00000462
2022-04-02 17:32:02.409380 True [  158245.566979] 0003 0036 0000045f
2022-04-02 17:32:02.418477 True [  158245.575417] 0003 0036 0000045d
