Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.23816853657635756 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 18:04:06.754049 False [  160169.872210] 0003 0036 00000011
2022-04-02 18:04:09.508141 False [  160172.630091] 0003 0035 0000054d
2022-04-02 18:04:09.509145 False [  160172.630091] 0003 0036 00000455
2022-04-02 18:04:09.602765 False [  160172.653614] 0003 0036 00000458
2022-04-02 18:04:09.693258 False [  160172.670015] 0003 0035 0000054e
2022-04-02 18:04:09.693258 False [  160172.670015] 0003 0036 0000045b
2022-04-02 18:04:09.693258 False [  160172.678968] 0003 0035 00000551
2022-04-02 18:04:09.693258 False [  160172.678968] 0003 0036 0000046f
2022-04-02 18:04:09.693258 False [  160172.690726] 0003 0035 00000554
2022-04-02 18:04:09.693258 False [  160172.690726] 0003 0036 0000047f
2022-04-02 18:04:09.693258 False [  160172.703303] 0003 0036 00000489
2022-04-02 18:04:09.693258 False [  160172.721243] 0003 0036 000004a0
2022-04-02 18:04:09.693258 False [  160172.740177] 0003 0036 000004b4
2022-04-02 18:04:09.706349 False [  160172.757121] 0003 0036 000004c3
2022-04-02 18:04:09.706349 False [  160172.774800] 0003 0035 00000553
2022-04-02 18:04:09.706349 False [  160172.774800] 0003 0036 000004cd
2022-04-02 18:04:09.706349 False [  160172.787225] 0003 0035 00000552
2022-04-02 18:04:09.706349 False [  160172.787225] 0003 0036 000004d3
2022-04-02 18:04:09.706349 False [  160172.803454] 0003 0036 000004d6
2022-04-02 18:04:09.706349 False [  160172.819109] 0003 0035 00000551
2022-04-02 18:04:09.706349 False [  160172.819109] 0003 0036 000004d8
2022-04-02 18:04:09.817741 False [  160172.836385] 0003 0035 0000054c
2022-04-02 18:04:09.817741 False [  160172.836385] 0003 0036 000004d7
2022-04-02 18:04:09.910508 False [  160172.845330] 0003 0035 00000549
2022-04-02 18:04:09.910508 False [  160172.862813] 0003 0035 00000543
2022-04-02 18:04:09.910508 False [  160172.862813] 0003 0036 000004cf
2022-04-02 18:04:09.910508 False [  160172.877229] 0003 0035 00000539
2022-04-02 18:04:09.911516 False [  160172.877229] 0003 0036 000004bc
2022-04-02 18:04:09.911516 False [  160172.892621] 0003 0035 00000535
2022-04-02 18:04:09.911516 False [  160172.892621] 0003 0036 000004b4
2022-04-02 18:04:09.911516 False [  160172.908215] 0003 0035 0000052d
2022-04-02 18:04:09.911516 False [  160172.908215] 0003 0036 0000049d
2022-04-02 18:04:09.911516 False [  160172.924600] 0003 0035 00000525
2022-04-02 18:04:09.911516 False [  160172.924600] 0003 0036 00000484
2022-04-02 18:04:09.911516 False [  160172.941260] 0003 0035 00000520
2022-04-02 18:04:09.911516 False [  160172.941260] 0003 0036 00000473
2022-04-02 18:04:09.911516 False [  160172.956059] 0003 0035 0000051e
2022-04-02 18:04:09.911516 False [  160172.956059] 0003 0036 0000046b
2022-04-02 18:04:10.004021 False [  160172.963205] 0003 0035 0000051d
2022-04-02 18:04:10.004021 False [  160172.963205] 0003 0036 00000467
2022-04-02 18:04:10.004021 False [  160172.972952] 0003 0035 00000520
2022-04-02 18:04:10.004021 False [  160172.988506] 0003 0035 0000052c
2022-04-02 18:04:10.004021 False [  160172.988506] 0003 0036 0000046e
