Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0747089519444473 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:28:07.367223 False [  158010.528988] 0003 0036 0000053d
2022-04-02 17:28:07.372532 False [  158010.537151] 0003 0035 00000556
2022-04-02 17:28:07.372532 False [  158010.537151] 0003 0036 0000052f
2022-04-02 17:28:07.383158 False [  158010.545614] 0003 0035 00000566
2022-04-02 17:28:07.383158 False [  158010.545614] 0003 0036 0000050f
2022-04-02 17:28:07.390673 False [  158010.553731] 0003 0035 0000056b
2022-04-02 17:28:07.390673 False [  158010.553731] 0003 0036 00000503
2022-04-02 17:28:07.399556 False [  158010.562154] 0003 0035 0000057b
2022-04-02 17:28:07.399556 False [  158010.562154] 0003 0036 000004de
2022-04-02 17:28:07.409484 False [  158010.570424] 0003 0035 00000581
2022-04-02 17:28:07.409484 False [  158010.570424] 0003 0036 000004d0
2022-04-02 17:28:07.415552 False [  158010.578748] 0003 0035 00000583
2022-04-02 17:28:07.415552 False [  158010.578748] 0003 0036 000004cb
2022-04-02 17:28:07.424484 False [  158010.586971] 0003 0035 00000585
2022-04-02 17:28:07.426483 False [  158010.586971] 0003 0036 000004bb
2022-04-02 17:28:07.432710 False [  158010.595328] 0003 0035 00000586
2022-04-02 17:28:07.432710 False [  158010.595328] 0003 0036 000004b1
2022-04-02 17:28:07.442254 False [  158010.603609] 0003 0036 000004aa
2022-04-02 17:28:07.450814 False [  158010.612176] 0003 0035 0000057f
2022-04-02 17:28:07.450814 False [  158010.612176] 0003 0036 000004a3
2022-04-02 17:28:07.458322 False [  158010.620452] 0003 0035 00000574
2022-04-02 17:28:07.458322 False [  158010.620452] 0003 0036 0000049d
2022-04-02 17:28:07.466169 False [  158010.628704] 0003 0035 00000565
2022-04-02 17:28:07.466169 False [  158010.628704] 0003 0036 00000499
2022-04-02 17:28:07.476981 False [  158010.637750] 0003 0035 00000554
2022-04-02 17:28:07.476981 False [  158010.637750] 0003 0036 00000498
2022-04-02 17:28:07.483475 False [  158010.645274] 0003 0035 00000541
2022-04-02 17:28:07.491771 True [  158010.653504] 0003 0035 0000052d
2022-04-02 17:28:07.491771 True [  158010.653504] 0003 0036 00000499
2022-04-02 17:28:07.498071 True [  158010.661855] 0003 0035 00000517
2022-04-02 17:28:07.498071 True [  158010.661855] 0003 0036 0000049b
2022-04-02 17:28:07.507372 True [  158010.670346] 0003 0035 00000502
2022-04-02 17:28:07.507372 True [  158010.670346] 0003 0036 0000049f
2022-04-02 17:28:07.513444 True [  158010.678486] 0003 0035 000004f0
2022-04-02 17:28:07.513444 True [  158010.678486] 0003 0036 000004a3
2022-04-02 17:28:07.523527 True [  158010.686852] 0003 0035 000004e1
2022-04-02 17:28:07.523527 True [  158010.686852] 0003 0036 000004a7
2022-04-02 17:28:07.533347 True [  158010.695500] 0003 0035 000004d4
2022-04-02 17:28:07.533347 True [  158010.695500] 0003 0036 000004ab
2022-04-02 17:28:07.539829 True [  158010.703396] 0003 0035 000004cb
2022-04-02 17:28:07.539829 True [  158010.703396] 0003 0036 000004ae
2022-04-02 17:28:07.548689 True [  158010.711728] 0003 0035 000004c5
2022-04-02 17:28:07.548689 True [  158010.711728] 0003 0036 000004af
2022-04-02 17:28:07.560228 True [  158010.721164] 0003 0035 000004c1
2022-04-02 17:28:07.567379 True [  158010.728504] 0003 0036 000004ae
2022-04-02 17:28:07.573427 True [  158010.736625] 0003 0036 000004ad
2022-04-02 17:28:07.583378 True [  158010.745005] 0003 0035 000004c0
2022-04-02 17:28:07.591184 True [  158010.753440] 0003 0035 000004c7
2022-04-02 17:28:07.591184 True [  158010.753440] 0003 0036 000004a4
2022-04-02 17:28:07.597875 True [  158010.761676] 0003 0035 000004cc
2022-04-02 17:28:07.597875 True [  158010.761676] 0003 0036 0000049e
2022-04-02 17:28:07.605905 True [  158010.769857] 0003 0035 000004db
2022-04-02 17:28:07.605905 True [  158010.769857] 0003 0036 0000048b
2022-04-02 17:28:07.613504 True [  158010.778239] 0003 0035 000004e3
2022-04-02 17:28:07.613504 True [  158010.778239] 0003 0036 00000482
2022-04-02 17:28:07.623462 True [  158010.786607] 0003 0035 000004fb
2022-04-02 17:28:07.623462 True [  158010.786607] 0003 0036 00000463
2022-04-02 17:28:07.633367 False [  158010.794903] 0003 0035 0000050d
2022-04-02 17:28:07.633367 False [  158010.794903] 0003 0036 0000044a
2022-04-02 17:28:07.640984 False [  158010.803026] 0003 0035 00000514
2022-04-02 17:28:07.640984 False [  158010.803026] 0003 0036 00000441
2022-04-02 17:28:07.649709 False [  158010.811463] 0003 0035 00000527
2022-04-02 17:28:07.649709 False [  158010.811463] 0003 0036 00000425
2022-04-02 17:28:07.657902 False [  158010.819943] 0003 0035 0000052f
2022-04-02 17:28:07.657902 False [  158010.819943] 0003 0036 00000419
2022-04-02 17:28:07.667024 False [  158010.828306] 0003 0035 00000532
2022-04-02 17:28:07.667024 False [  158010.828306] 0003 0036 00000415
2022-04-02 17:28:07.672899 False [  158010.836344] 0003 0035 0000053a
2022-04-02 17:28:07.672899 False [  158010.836344] 0003 0036 00000405
2022-04-02 17:28:07.680906 False [  158010.844692] 0003 0035 0000053e
2022-04-02 17:28:07.680906 False [  158010.844692] 0003 0036 000003fc
2022-04-02 17:28:07.688524 False [  158010.852923] 0003 0035 0000053f
2022-04-02 17:28:07.688524 False [  158010.852923] 0003 0036 000003f6
2022-04-02 17:28:07.698575 False [  158010.861406] 0003 0035 0000053e
2022-04-02 17:28:07.698575 False [  158010.861406] 0003 0036 000003f3
2022-04-02 17:28:07.723433 False [  158010.878138] 0003 0035 00000539
2022-04-02 17:28:07.723433 False [  158010.878138] 0003 0036 000003f6
2022-04-02 17:28:07.732383 False [  158010.886314] 0003 0035 00000530
2022-04-02 17:28:07.732383 False [  158010.886314] 0003 0036 000003fb
2022-04-02 17:28:07.740249 False [  158010.895231] 0003 0035 00000522
2022-04-02 17:28:07.740249 False [  158010.895231] 0003 0036 00000404
2022-04-02 17:28:07.747155 False [  158010.903139] 0003 0035 00000512
2022-04-02 17:28:07.747155 False [  158010.903139] 0003 0036 0000040e
2022-04-02 17:28:07.757528 False [  158010.911721] 0003 0035 00000500
