Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.8397956257209316 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:13:01.453009 False [     173.882875] 0003 0036 00000291
2022-04-06 14:13:01.461165 False [     173.891257] 0003 0035 0000047a
2022-04-06 14:13:01.461165 False [     173.891257] 0003 0036 00000293
2022-04-06 14:13:01.469236 False [     173.899500] 0003 0035 00000476
2022-04-06 14:13:01.469850 False [     173.899500] 0003 0036 00000294
2022-04-06 14:13:01.477586 False [     173.907956] 0003 0035 00000473
2022-04-06 14:13:01.477586 False [     173.907956] 0003 0036 00000295
2022-04-06 14:13:01.485273 False [     173.916191] 0003 0035 00000471
2022-04-06 14:13:01.486272 False [     173.916191] 0003 0036 00000296
2022-04-06 14:13:01.493887 False [     173.924588] 0003 0035 0000046f
2022-04-06 14:13:01.502063 False [     173.932903] 0003 0035 0000046a
2022-04-06 14:13:01.503088 False [     173.932903] 0003 0036 00000297
2022-04-06 14:13:01.511480 False [     173.941292] 0003 0035 00000466
2022-04-06 14:13:01.511480 False [     173.941292] 0003 0036 00000298
2022-04-06 14:13:01.519315 False [     173.949538] 0003 0035 00000463
2022-04-06 14:13:01.519315 False [     173.949538] 0003 0036 00000299
2022-04-06 14:13:01.528726 False [     173.957978] 0003 0035 00000461
2022-04-06 14:13:01.536032 False [     173.966126] 0003 0035 0000045f
2022-04-06 14:13:01.544882 False [     173.974667] 0003 0035 0000045a
2022-04-06 14:13:01.552973 False [     173.982911] 0003 0035 00000457
2022-04-06 14:13:01.561734 False [     173.991327] 0003 0035 00000455
2022-04-06 14:13:01.568397 False [     173.999515] 0003 0035 00000453
2022-04-06 14:13:01.578016 False [     174.007966] 0003 0035 00000450
2022-04-06 14:13:01.584636 False [     174.016175] 0003 0035 0000044c
2022-04-06 14:13:01.593549 False [     174.024633] 0003 0035 00000448
2022-04-06 14:13:01.602323 False [     174.032975] 0003 0035 00000444
2022-04-06 14:13:01.610681 False [     174.041277] 0003 0035 00000442
2022-04-06 14:13:01.618793 False [     174.049563] 0003 0035 00000441
2022-04-06 14:13:01.627458 False [     174.058051] 0003 0035 0000043b
2022-04-06 14:13:01.628861 False [     174.058051] 0003 0036 00000298
2022-04-06 14:13:01.634731 False [     174.066306] 0003 0035 00000437
2022-04-06 14:13:01.635720 False [     174.066306] 0003 0036 00000297
2022-04-06 14:13:01.643749 False [     174.074628] 0003 0035 00000434
2022-04-06 14:13:01.652304 False [     174.082872] 0003 0035 00000432
2022-04-06 14:13:01.662000 False [     174.091337] 0003 0035 0000042f
2022-04-06 14:13:01.663004 False [     174.091337] 0003 0036 00000296
2022-04-06 14:13:01.668894 False [     174.099572] 0003 0035 0000042e
2022-04-06 14:13:01.676931 False [     174.108073] 0003 0035 00000429
2022-04-06 14:13:01.677903 False [     174.108073] 0003 0036 00000295
2022-04-06 14:13:01.687095 False [     174.116310] 0003 0035 00000425
2022-04-06 14:13:01.694560 False [     174.124667] 0003 0035 00000422
2022-04-06 14:13:01.702366 False [     174.132966] 0003 0035 00000420
2022-04-06 14:13:01.703082 False [     174.132966] 0003 0036 00000294
2022-04-06 14:13:01.709562 False [     174.141396] 0003 0035 0000041e
2022-04-06 14:13:01.719661 False [     174.149616] 0003 0035 0000041a
2022-04-06 14:13:01.719661 False [     174.149616] 0003 0036 00000293
2022-04-06 14:13:01.727778 False [     174.158037] 0003 0035 00000416
2022-04-06 14:13:01.728849 False [     174.158037] 0003 0036 00000292
2022-04-06 14:13:01.738920 False [     174.166246] 0003 0035 00000412
2022-04-06 14:13:01.738920 False [     174.166246] 0003 0036 00000291
2022-04-06 14:13:01.744386 False [     174.174697] 0003 0035 00000410
2022-04-06 14:13:01.752648 False [     174.182960] 0003 0035 0000040f
2022-04-06 14:13:01.761732 False [     174.191409] 0003 0035 00000409
2022-04-06 14:13:01.770677 False [     174.199619] 0003 0035 00000405
2022-04-06 14:13:01.770677 False [     174.199619] 0003 0036 00000290
2022-04-06 14:13:01.777885 False [     174.208048] 0003 0035 00000401
2022-04-06 14:13:01.777885 False [     174.208048] 0003 0036 0000028f
2022-04-06 14:13:01.785235 False [     174.216304] 0003 0035 000003ff
2022-04-06 14:13:01.794377 False [     174.224721] 0003 0035 000003fd
2022-04-06 14:13:01.794377 False [     174.224721] 0003 0036 0000028e
2022-04-06 14:13:01.803859 False [     174.232958] 0003 0035 000003f9
2022-04-06 14:13:01.810678 False [     174.241499] 0003 0035 000003f5
2022-04-06 14:13:01.810678 False [     174.241499] 0003 0036 0000028d
2022-04-06 14:13:01.819028 False [     174.249663] 0003 0035 000003f2
2022-04-06 14:13:01.827982 False [     174.258079] 0003 0035 000003f0
2022-04-06 14:13:01.827982 False [     174.258079] 0003 0036 0000028c
2022-04-06 14:13:01.836297 False [     174.266319] 0003 0035 000003ee
2022-04-06 14:13:01.844568 False [     174.274748] 0003 0035 000003e9
2022-04-06 14:13:01.852933 False [     174.282950] 0003 0035 000003e5
2022-04-06 14:13:01.862264 False [     174.291426] 0003 0035 000003e2
2022-04-06 14:13:01.869668 False [     174.299686] 0003 0035 000003e0
2022-04-06 14:13:01.877060 False [     174.308132] 0003 0035 000003da
2022-04-06 14:13:01.886931 False [     174.316374] 0003 0035 000003d6
2022-04-06 14:13:01.894308 False [     174.324750] 0003 0035 000003d2
2022-04-06 14:13:01.903031 False [     174.333078] 0003 0035 000003d0
2022-04-06 14:13:01.911691 False [     174.341603] 0003 0035 000003ce
