Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.1021286018060765 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:57:36.734017 True [     533.090171] 0003 0035 00000187
2022-03-10 16:57:36.751274 True [     533.107540] 0003 0035 0000018b
2022-03-10 16:57:36.768312 True [     533.123921] 0003 0035 0000018b
2022-03-10 16:57:36.785817 True [     533.141728] 0003 0035 0000018b
2022-03-10 16:57:36.802365 True [     533.158416] 0003 0035 0000018b
2022-03-10 16:57:36.819203 True [     533.174751] 0003 0035 0000018b
2022-03-10 16:57:36.835786 True [     533.191656] 0003 0035 0000018b
2022-03-10 16:57:36.853739 True [     533.208900] 0003 0035 0000018b
2022-03-10 16:57:36.870316 True [     533.225442] 0003 0035 0000018f
2022-03-10 16:57:36.886640 True [     533.242244] 0003 0035 0000018f
2022-03-10 16:57:36.903211 True [     533.259008] 0003 0035 0000018f
2022-03-10 16:57:36.921395 True [     533.276119] 0003 0035 00000192
2022-03-10 16:57:36.937468 True [     533.293146] 0003 0035 00000192
2022-03-10 16:57:36.953777 True [     533.309924] 0003 0035 00000192
2022-03-10 16:57:36.972604 True [     533.327551] 0003 0035 00000192
2022-03-10 16:57:36.988010 True [     533.343773] 0003 0035 00000196
2022-03-10 16:57:37.005628 True [     533.361371] 0003 0035 00000196
2022-03-10 16:57:37.022157 True [     533.378572] 0003 0035 00000196
2022-03-10 16:57:37.039647 True [     533.395150] 0003 0035 00000196
2022-03-10 16:57:37.055634 True [     533.411547] 0003 0035 00000199
2022-03-10 16:57:37.073909 True [     533.429387] 0003 0035 00000199
2022-03-10 16:57:37.091263 True [     533.446918] 0003 0035 0000019c
2022-03-10 16:57:37.107048 True [     533.462658] 0003 0035 0000019c
2022-03-10 16:57:37.124078 True [     533.479826] 0003 0035 0000019f
2022-03-10 16:57:37.141645 True [     533.497151] 0003 0035 0000019f
2022-03-10 16:57:37.157723 True [     533.513297] 0003 0035 0000019f
2022-03-10 16:57:37.175159 True [     533.530892] 0003 0035 000001a4
2022-03-10 16:57:37.192284 True [     533.547358] 0003 0035 000001a4
2022-03-10 16:57:37.208817 True [     533.564430] 0003 0035 000001a9
2022-03-10 16:57:37.226223 True [     533.581870] 0003 0035 000001ae
2022-03-10 16:57:37.243139 False [     533.599128] 0003 0035 000001b4
2022-03-10 16:57:37.258575 False [     533.614948] 0003 0035 000001bc
2022-03-10 16:57:37.275805 False [     533.631862] 0003 0035 000001c3
2022-03-10 16:57:37.292794 False [     533.648821] 0003 0035 000001ca
