Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.9919058381522681 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:37:16.370770 False [  147759.570889] 0003 0035 00000149
2022-04-02 14:37:16.370770 False [  147759.570889] 0003 0036 00000394
2022-04-02 14:37:16.370770 False [  147759.587428] 0003 0035 0000014a
2022-04-02 14:37:16.370770 False [  147759.587428] 0003 0036 00000395
2022-04-02 14:37:16.370770 False [  147759.603005] 0003 0035 0000014c
2022-04-02 14:37:16.370770 False [  147759.603005] 0003 0036 00000397
2022-04-02 14:37:16.370770 False [  147759.619487] 0003 0036 0000039a
2022-04-02 14:37:16.439238 False [  147759.636515] 0003 0035 0000014d
2022-04-02 14:37:16.439238 False [  147759.636515] 0003 0036 0000039b
2022-04-02 14:37:16.439238 False [  147759.653302] 0003 0035 0000014e
2022-04-02 14:37:16.439238 False [  147759.653302] 0003 0036 0000039d
2022-04-02 14:37:16.439238 False [  147759.664726] 0003 0035 0000014f
2022-04-02 14:37:16.439238 False [  147759.664726] 0003 0036 0000039f
2022-04-02 14:37:16.546017 False [  147759.676586] 0003 0035 00000151
2022-04-02 14:37:16.546017 False [  147759.676586] 0003 0036 000003a0
2022-04-02 14:37:16.546017 False [  147759.693615] 0003 0035 00000152
2022-04-02 14:37:16.546017 False [  147759.693615] 0003 0036 000003a2
2022-04-02 14:37:16.546017 False [  147759.709869] 0003 0035 00000153
2022-04-02 14:37:16.546017 False [  147759.709869] 0003 0036 000003a4
2022-04-02 14:37:16.546017 False [  147759.725781] 0003 0035 00000155
2022-04-02 14:37:16.546017 False [  147759.725781] 0003 0036 000003a6
2022-04-02 14:37:16.546017 False [  147759.741255] 0003 0035 00000156
2022-04-02 14:37:16.546017 False [  147759.741255] 0003 0036 000003a7
2022-04-02 14:37:16.546017 False [  147759.757608] 0003 0035 00000158
2022-04-02 14:37:16.546017 False [  147759.757608] 0003 0036 000003aa
2022-04-02 14:37:16.546017 False [  147759.768319] 0003 0035 0000015a
2022-04-02 14:37:16.546017 False [  147759.768319] 0003 0036 000003ab
2022-04-02 14:37:16.567744 False [  147759.776096] 0003 0035 0000015d
2022-04-02 14:37:16.567744 False [  147759.776096] 0003 0036 000003ae
2022-04-02 14:37:16.567744 False [  147759.789648] 0003 0036 000003af
2022-04-02 14:37:16.567744 False [  147759.798543] 0003 0035 0000015e
2022-04-02 14:37:16.567744 False [  147759.813028] 0003 0035 0000015f
2022-04-02 14:37:16.567744 False [  147759.828719] 0003 0035 00000160
2022-04-02 14:37:16.567744 False [  147759.828719] 0003 0036 000003b1
2022-04-02 14:37:16.567744 False [  147759.836851] 0003 0036 000003b2
2022-04-02 14:37:16.571370 False [  147759.850928] 0003 0036 000003b3
2022-04-02 14:37:16.728840 False [  147759.908976] 0003 0036 000003b2
2022-04-02 14:37:16.844127 False [  147759.935281] 0003 0035 0000015f
2022-04-02 14:37:16.844127 False [  147759.951172] 0003 0036 000003b1
2022-04-02 14:37:16.844127 False [  147759.968734] 0003 0035 0000015e
2022-04-02 14:37:16.844127 False [  147759.968734] 0003 0036 000003b0
2022-04-02 14:37:16.844127 False [  147759.991837] 0003 0035 0000015d
2022-04-02 14:37:16.844127 False [  147759.991837] 0003 0036 000003af
2022-04-02 14:37:16.844127 False [  147760.002222] 0003 0036 000003ae
2022-04-02 14:37:16.844127 False [  147760.015644] 0003 0035 0000015c
2022-04-02 14:37:16.844127 False [  147760.015644] 0003 0036 000003ad
2022-04-02 14:37:16.844127 False [  147760.030539] 0003 0035 0000015b
2022-04-02 14:37:16.844127 False [  147760.030539] 0003 0036 000003ac
2022-04-02 14:37:16.994191 False [  147760.048706] 0003 0035 0000015a
2022-04-02 14:37:16.994191 False [  147760.048706] 0003 0036 000003aa
2022-04-02 14:37:16.994191 False [  147760.060635] 0003 0035 00000159
2022-04-02 14:37:16.994191 False [  147760.060635] 0003 0036 000003a8
2022-04-02 14:37:16.994191 False [  147760.068783] 0003 0035 00000158
2022-04-02 14:37:16.994191 False [  147760.068783] 0003 0036 000003a6
2022-04-02 14:37:16.994191 False [  147760.075284] 0003 0036 000003a5
2022-04-02 14:37:16.994191 False [  147760.093372] 0003 0035 00000157
2022-04-02 14:37:16.994191 False [  147760.093372] 0003 0036 000003a4
2022-04-02 14:37:16.994191 False [  147760.109840] 0003 0035 00000156
2022-04-02 14:37:16.994191 False [  147760.127062] 0003 0036 000003a2
2022-04-02 14:37:16.994191 False [  147760.145589] 0003 0035 00000155
2022-04-02 14:37:16.994191 False [  147760.145589] 0003 0036 000003a0
2022-04-02 14:37:17.105836 False [  147760.165338] 0003 0035 00000153
2022-04-02 14:37:17.105836 False [  147760.165338] 0003 0036 0000039e
2022-04-02 14:37:17.105836 False [  147760.184522] 0003 0035 00000150
2022-04-02 14:37:17.105836 False [  147760.184522] 0003 0036 0000039a
2022-04-02 14:37:17.105836 False [  147760.203182] 0003 0035 0000014f
2022-04-02 14:37:17.105836 False [  147760.203182] 0003 0036 00000398
2022-04-02 14:37:17.105836 False [  147760.222248] 0003 0035 0000014c
2022-04-02 14:37:17.105836 False [  147760.222248] 0003 0036 00000393
2022-04-02 14:37:17.105836 False [  147760.239945] 0003 0035 00000148
2022-04-02 14:37:17.105836 False [  147760.239945] 0003 0036 0000038d
2022-04-02 14:37:17.105836 False [  147760.257626] 0003 0035 00000144
2022-04-02 14:37:17.105836 False [  147760.257626] 0003 0036 00000388
2022-04-02 14:37:17.105836 False [  147760.277129] 0003 0035 0000013a
2022-04-02 14:37:17.105836 False [  147760.277129] 0003 0036 00000379
2022-04-02 14:37:17.105836 False [  147760.295438] 0003 0035 00000137
