Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.18936422742587952 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:58:19.138991 False [  145413.044382] 0003 0035 00000110
2022-04-02 13:58:19.138991 False [  145413.044382] 0003 0036 00000172
2022-04-02 13:58:19.147364 False [  145413.052851] 0003 0035 00000112
2022-04-02 13:58:19.147364 False [  145413.052851] 0003 0036 00000174
2022-04-02 13:58:19.154228 False [  145413.060925] 0003 0035 00000113
2022-04-02 13:58:19.154228 False [  145413.060925] 0003 0036 00000177
2022-04-02 13:58:19.163009 False [  145413.069375] 0003 0035 00000116
2022-04-02 13:58:19.163009 False [  145413.069375] 0003 0036 00000179
2022-04-02 13:58:19.172178 False [  145413.077597] 0003 0035 00000118
2022-04-02 13:58:19.172178 False [  145413.077597] 0003 0036 0000017d
2022-04-02 13:58:19.180097 False [  145413.086019] 0003 0035 0000011b
2022-04-02 13:58:19.180097 False [  145413.086019] 0003 0036 00000180
2022-04-02 13:58:19.187376 False [  145413.094163] 0003 0035 0000011d
2022-04-02 13:58:19.187376 False [  145413.094163] 0003 0036 00000184
2022-04-02 13:58:19.197074 False [  145413.102580] 0003 0035 00000120
2022-04-02 13:58:19.197074 False [  145413.102580] 0003 0036 00000189
2022-04-02 13:58:19.204919 False [  145413.110962] 0003 0035 00000123
2022-04-02 13:58:19.204919 False [  145413.110962] 0003 0036 0000018e
2022-04-02 13:58:19.212152 False [  145413.119210] 0003 0035 00000125
2022-04-02 13:58:19.212152 False [  145413.119210] 0003 0036 00000192
2022-04-02 13:58:19.220020 False [  145413.127377] 0003 0035 00000128
2022-04-02 13:58:19.220020 False [  145413.127377] 0003 0036 00000197
2022-04-02 13:58:19.230093 False [  145413.135879] 0003 0035 0000012b
2022-04-02 13:58:19.230093 False [  145413.135879] 0003 0036 0000019c
2022-04-02 13:58:19.239562 False [  145413.144042] 0003 0035 0000012f
2022-04-02 13:58:19.239562 False [  145413.144042] 0003 0036 000001a1
2022-04-02 13:58:19.245444 False [  145413.152752] 0003 0035 00000132
2022-04-02 13:58:19.245444 False [  145413.152752] 0003 0036 000001a6
2022-04-02 13:58:19.253748 False [  145413.160742] 0003 0035 00000134
2022-04-02 13:58:19.253748 False [  145413.160742] 0003 0036 000001ab
2022-04-02 13:58:19.262627 False [  145413.169054] 0003 0035 00000137
2022-04-02 13:58:19.262627 False [  145413.169054] 0003 0036 000001b0
2022-04-02 13:58:19.270549 False [  145413.177296] 0003 0035 0000013a
