Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:42:20.763392 True [   88063.633968] 0003 0035 000004c0
2022-03-10 15:42:20.778614 True [   88063.650902] 0003 0035 000004c0
2022-03-10 15:42:20.796247 True [   88063.668432] 0003 0035 000004c0
2022-03-10 15:42:20.812141 True [   88063.684885] 0003 0035 000004c0
2022-03-10 15:42:22.981914 True [   88065.854724] 0003 0035 000004d7
2022-03-10 15:42:22.997885 True [   88065.870644] 0003 0035 000004d7
2022-03-10 15:42:23.015363 True [   88065.887889] 0003 0035 000004d7
2022-03-10 15:42:23.031738 True [   88065.904354] 0003 0035 000004d7
2022-03-10 15:42:23.050317 True [   88065.921364] 0003 0035 000004d7
2022-03-10 15:42:23.064796 True [   88065.937749] 0003 0035 000004d7
2022-03-10 15:42:23.081835 True [   88065.954711] 0003 0035 000004d7
2022-03-10 15:42:23.099442 True [   88065.971631] 0003 0035 000004d7
2022-03-10 15:42:23.116069 True [   88065.988702] 0003 0035 000004d7
2022-03-10 15:42:23.132681 True [   88066.005856] 0003 0035 000004d7
2022-03-10 15:42:23.149925 True [   88066.022331] 0003 0035 000004d7
