Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.901435743010982 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:54:59.205706 True [  156022.399819] 0003 0035 000004ab
2022-04-02 16:54:59.213673 True [  156022.408038] 0003 0035 000004aa
2022-04-02 16:54:59.213673 True [  156022.408038] 0003 0036 000003fd
2022-04-02 16:54:59.221918 True [  156022.416461] 0003 0035 000004a9
2022-04-02 16:54:59.230230 True [  156022.424640] 0003 0035 000004a8
2022-04-02 16:54:59.230230 True [  156022.424640] 0003 0036 000003fc
2022-04-02 16:54:59.246680 True [  156022.441190] 0003 0035 000004a7
2022-04-02 16:54:59.246680 True [  156022.441190] 0003 0036 000003fb
2022-04-02 16:54:59.254076 True [  156022.449605] 0003 0035 000004a6
2022-04-02 16:54:59.254076 True [  156022.449605] 0003 0036 000003fa
2022-04-02 16:54:59.263450 True [  156022.457885] 0003 0035 000004a5
2022-04-02 16:54:59.271125 True [  156022.466288] 0003 0036 000003f9
2022-04-02 16:54:59.279589 True [  156022.474531] 0003 0035 000004a4
2022-04-02 16:54:59.296202 True [  156022.491089] 0003 0035 000004a3
2022-04-02 16:54:59.296202 True [  156022.491089] 0003 0036 000003f8
2022-04-02 16:54:59.314952 True [  156022.507991] 0003 0035 000004a2
2022-04-02 16:54:59.321321 True [  156022.516121] 0003 0036 000003f7
2022-04-02 16:54:59.338501 True [  156022.532762] 0003 0035 000004a1
2022-04-02 16:54:59.355413 True [  156022.549372] 0003 0036 000003f6
2022-04-02 16:54:59.387556 True [  156022.582647] 0003 0036 000003f5
2022-04-02 16:54:59.412999 True [  156022.607481] 0003 0035 000004a2
2022-04-02 16:54:59.422684 True [  156022.615897] 0003 0035 000004a3
2022-04-02 16:54:59.437674 True [  156022.632519] 0003 0035 000004a5
2022-04-02 16:54:59.446859 True [  156022.640729] 0003 0035 000004a6
2022-04-02 16:54:59.446859 True [  156022.640729] 0003 0036 000003f6
2022-04-02 16:54:59.454228 True [  156022.649099] 0003 0035 000004a8
