X,Y,Picture,Participant
0.5369746524015891,0.9088153012566912,00,Antipushina
0.5369746524015891,0.9088153012566912,00,Antipushina
0.5369746524015891,0.9088153012566912,00,Antipushina
0.5369746524015891,0.9088153012566912,00,Antipushina
0.5369746524015891,0.9088153012566912,00,Antipushina
0.5369746524015891,0.9088153012566912,00,Antipushina
0.5369746524015891,0.907802137937321,00,Antipushina
0.5369746524015891,0.907802137937321,00,Antipushina
0.5369746524015891,0.9067889746179508,00,Antipushina
0.5380575117370892,0.9067889746179508,00,Antipushina
0.5380575117370892,0.9057758112985809,00,Antipushina
0.5380575117370892,0.9057758112985809,00,Antipushina
0.5380575117370892,0.9047626479792108,00,Antipushina
0.5380575117370892,0.9047626479792108,00,Antipushina
0.5380575117370892,0.9037494846598406,00,Antipushina
0.5391403710725893,0.9027363213404705,00,Antipushina
0.5391403710725893,0.9017231580211004,00,Antipushina
0.5391403710725893,0.9017231580211004,00,Antipushina
0.5391403710725893,0.9007099947017303,00,Antipushina
0.5391403710725893,0.8996968313823603,00,Antipushina
0.5391403710725893,0.8996968313823603,00,Antipushina
0.5391403710725893,0.8996968313823603,00,Antipushina
0.5445546677500903,0.8490386654138553,00,Antipushina
0.5445546677500903,0.8490386654138553,00,Antipushina
0.5445546677500903,0.8490386654138553,00,Antipushina
0.5445546677500903,0.8490386654138553,00,Antipushina
0.5445546677500903,0.8480255020944852,00,Antipushina
0.5445546677500903,0.8480255020944852,00,Antipushina
0.5445546677500903,0.8470123387751151,00,Antipushina
0.5445546677500903,0.8470123387751151,00,Antipushina
0.5445546677500903,0.845999175455745,00,Antipushina
0.5445546677500903,0.844986012136375,00,Antipushina
0.5456375270855907,0.8419465221782646,00,Antipushina
0.5456375270855907,0.8419465221782646,00,Antipushina
0.5456375270855907,0.8409333588588944,00,Antipushina
0.5456375270855907,0.8399201955395244,00,Antipushina
0.5456375270855907,0.8389070322201544,00,Antipushina
0.5456375270855907,0.8378938689007842,00,Antipushina
0.5456375270855907,0.8358675422620441,00,Antipushina
0.5456375270855907,0.8358675422620441,00,Antipushina
0.5456375270855907,0.834854378942674,00,Antipushina
0.5467203864210907,0.8338412156233039,00,Antipushina
